date,county,constitution,democratic,republican,other,npa_ind,inactive
2016-04-06,Aurora,,819,761,6,233,106
2016-04-06,Beadle,4,3577,4301,64,1931,1168
2016-04-06,Bennett,,887,653,3,265,228
2016-04-06,Bon Homme,2,1387,1842,11,574,236
2016-04-06,Brookings,27,5289,7130,72,4702,2798
2016-04-06,Brown,7,8887,9518,93,3768,2679
2016-04-06,Brule,5,1334,1406,12,522,217
2016-04-06,Buffalo,,650,164,2,100,49
2016-04-06,Butte,9,1154,3946,32,1331,529
2016-04-06,Campbell,,149,873,1,90,114
2016-04-06,Charles Mix,2,2457,2145,2,725,490
2016-04-06,Clark,2,796,1357,4,338,193
2016-04-06,Clay,3,2949,2355,35,1912,1268
2016-04-06,Codington,18,5294,7173,57,3497,1790
2016-04-06,Corson,1,1261,667,12,383,234
2016-04-06,Custer,13,1190,3474,30,1290,617
2016-04-06,Davison,2,3588,5205,34,2214,1228
2016-04-06,Day,2,1969,1441,17,605,226
2016-04-06,Deuel,8,926,1190,6,666,237
2016-04-06,Dewey,1,2088,686,5,501,174
2016-04-06,Douglas,,344,1554,2,185,160
2016-04-06,Edmunds,,915,1413,12,431,191
2016-04-06,Fall River,1,1015,2695,45,1059,671
2016-04-06,Faulk,1,428,810,1,274,112
2016-04-06,Grant,4,1572,2229,18,906,527
2016-04-06,Gregory,2,1001,1479,5,296,168
2016-04-06,Haakon,,221,1013,1,115,50
2016-04-06,Hamlin,3,837,2308,3,568,246
2016-04-06,Hand,1,711,1427,4,261,173
2016-04-06,Hanson,2,901,1637,6,724,493
2016-04-06,Harding,,115,752,3,71,71
2016-04-06,Hughes,4,2348,6640,36,1586,1061
2016-04-06,Hutchinson,5,1069,3082,8,538,291
2016-04-06,Hyde,,233,649,6,92,49
2016-04-06,Jackson,,683,847,23,252,89
2016-04-06,Jerauld,2,487,588,1,167,82
2016-04-06,Jones,1,105,512,1,65,38
2016-04-06,Kingsbury,2,1073,1756,4,540,232
2016-04-06,Lake,6,3088,4325,36,1946,597
2016-04-06,Lawrence,11,3916,8505,95,3478,2195
2016-04-06,Lincoln,33,8395,16198,86,7529,2719
2016-04-06,Lyman,1,888,1094,6,253,172
2016-04-06,Marshall,,1247,1027,12,427,279
2016-04-06,McCook,6,1157,1753,10,592,274
2016-04-06,McPherson,,299,1246,3,253,86
2016-04-06,Meade,38,3149,8842,76,3131,2020
2016-04-06,Mellette,1,513,489,1,132,90
2016-04-06,Miner,2,681,567,3,261,128
2016-04-06,Minnehaha,144,37433,45164,472,26276,12568
2016-04-06,Moody,1,1680,1434,10,874,327
2016-04-06,Oglala Lakota,1,5663,575,72,1572,619
2016-04-06,Pennington,97,16837,33099,411,16640,6874
2016-04-06,Perkins,3,472,1335,7,301,177
2016-04-06,Potter,2,340,1322,2,161,59
2016-04-06,Roberts,2,3310,1815,26,1175,550
2016-04-06,Sanborn,1,538,797,3,189,85
2016-04-06,Spink,1,1565,1952,10,620,292
2016-04-06,Stanley,1,499,1322,4,247,20
2016-04-06,Sully,,240,748,2,110,27
2016-04-06,Todd,4,3164,695,14,762,778
2016-04-06,Tripp,6,1018,2126,3,485,307
2016-04-06,Turner,2,1506,2955,11,942,434
2016-04-06,Union,7,2862,4960,34,2749,1434
2016-04-06,Walworth,5,837,2365,8,437,366
2016-04-06,Yankton,6,4371,5745,51,2929,1446
2016-04-06,Ziebach,,884,390,6,258,136
