date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2025-02-03,Aurora,517,2,989,232,2,101,,102
2025-02-03,Beadle,2489,26,5165,1379,40,1154,1,754
2025-02-03,Bennett,687,7,730,207,2,203,,186
2025-02-03,Bon Homme,881,12,2388,485,,230,,285
2025-02-03,Brookings,5101,109,10045,3643,22,2840,1,1573
2025-02-03,Brown,7240,102,12993,3595,11,1981,3,1109
2025-02-03,Brule,896,15,1769,459,4,221,,169
2025-02-03,Buffalo,536,2,152,74,4,101,,116
2025-02-03,Butte,781,57,4619,881,20,651,,1333
2025-02-03,Campbell,104,1,917,75,,41,,72
2025-02-03,Charles Mix,1779,9,2727,584,,352,,442
2025-02-03,Clark,535,4,1652,260,,155,,137
2025-02-03,Clay,2894,37,3060,1451,12,1153,5,1221
2025-02-03,Codington,3864,63,10548,2615,28,1908,,1579
2025-02-03,Corson,976,5,756,283,3,299,,230
2025-02-03,Custer,1051,38,5178,1116,24,677,1,974
2025-02-03,Davison,2772,31,6900,1901,34,1502,4,1255
2025-02-03,Day,1251,12,1920,583,1,169,,223
2025-02-03,Deuel,588,11,1772,485,,285,1,119
2025-02-03,Dewey,1785,4,776,425,2,404,,227
2025-02-03,Douglas,202,1,1665,140,,101,,109
2025-02-03,Edmunds,511,7,1780,256,2,179,,141
2025-02-03,Fall River,891,40,3978,901,2,675,1,392
2025-02-03,Faulk,189,,1127,219,,38,,58
2025-02-03,Grant,1045,18,2723,702,10,354,,333
2025-02-03,Gregory,611,4,1862,343,,86,,151
2025-02-03,Haakon,116,2,1168,87,2,30,2,61
2025-02-03,Hamlin,537,7,3096,379,1,266,,214
2025-02-03,Hand,394,8,1661,187,4,57,,88
2025-02-03,Hanson,590,6,1885,495,7,369,,485
2025-02-03,Harding,63,6,842,76,1,42,,49
2025-02-03,Hughes,2150,46,7373,1417,19,965,,1027
2025-02-03,Hutchinson,712,16,3438,533,8,332,,203
2025-02-03,Hyde,147,1,658,95,,30,,42
2025-02-03,Jackson,581,6,906,166,1,163,,130
2025-02-03,Jerauld,326,6,729,131,1,69,,69
2025-02-03,Jones,62,1,523,58,,27,1,51
2025-02-03,Kingsbury,663,8,2313,390,3,322,,275
2025-02-03,Lake,1908,25,4366,971,5,615,2,2124
2025-02-03,Lawrence,3948,177,12306,3294,41,2727,6,2366
2025-02-03,Lincoln,10172,234,25815,7799,80,5343,12,4885
2025-02-03,Lyman,654,4,1161,218,1,158,,108
2025-02-03,Marshall,958,2,1307,382,2,174,,162
2025-02-03,McCook,796,7,2406,520,3,270,,146
2025-02-03,McPherson,187,8,1333,134,,71,,159
2025-02-03,Meade,2810,153,13019,2861,23,2137,2,1612
2025-02-03,Mellette,412,1,501,189,,67,,67
2025-02-03,Miner,429,5,845,233,,115,,80
2025-02-03,Minnehaha,36252,746,59429,22687,256,18772,17,16955
2025-02-03,Moody,1308,15,1954,706,4,425,2,204
2025-02-03,Oglala Lakota,5297,18,609,993,1,1246,,614
2025-02-03,Pennington,18078,682,46888,13277,223,12193,27,9807
2025-02-03,Perkins,258,4,1561,195,5,160,,178
2025-02-03,Potter,180,1,1350,107,6,40,1,141
2025-02-03,Roberts,2383,9,2266,934,19,625,,472
2025-02-03,Sanborn,354,7,992,166,,125,1,59
2025-02-03,Spink,995,8,2568,452,3,233,,200
2025-02-03,Stanley,333,7,1591,192,,123,,201
2025-02-03,Sully,160,4,838,109,,36,,68
2025-02-03,Todd,2735,7,656,580,5,555,,760
2025-02-03,Tripp,566,7,2428,345,7,223,,378
2025-02-03,Turner,1126,15,3671,899,2,380,,230
2025-02-03,Union,2317,44,6659,2215,9,1494,2,2187
2025-02-03,Walworth,581,8,2475,334,11,260,,465
2025-02-03,Yankton,3478,60,7505,2557,16,1336,1,1566
2025-02-03,Ziebach,744,5,433,174,1,251,,95
