date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-09-01,Aurora,788,1,783,,249,3,96
2017-09-01,Beadle,4391,20,3499,6,2141,40,648
2017-09-01,Bennett,659,1,819,,317,2,215
2017-09-01,Bon Homme,1914,10,1327,2,620,1,301
2017-09-01,Brookings,7264,71,5106,21,4991,21,1796
2017-09-01,Brown,9674,61,8245,7,4042,30,2878
2017-09-01,Brule,1418,10,1226,5,524,2,207
2017-09-01,Buffalo,168,1,653,,110,2,43
2017-09-01,Butte,3802,29,1030,7,1297,5,812
2017-09-01,Campbell,875,,123,,90,,128
2017-09-01,Charles Mix,2254,3,2400,2,827,,457
2017-09-01,Clark,1349,1,749,3,363,2,205
2017-09-01,Clay,2343,33,2846,3,2010,7,938
2017-09-01,Codington,7473,25,5011,13,3701,27,1652
2017-09-01,Corson,641,7,1185,2,410,6,264
2017-09-01,Custer,3708,16,1182,9,1416,20,630
2017-09-01,Davison,5270,20,3379,2,2349,24,1083
2017-09-01,Day,1514,9,1899,2,666,11,161
2017-09-01,Deuel,1293,8,887,7,717,1,207
2017-09-01,Dewey,704,3,2041,1,555,4,205
2017-09-01,Douglas,1531,2,330,,192,,164
2017-09-01,Edmunds,1458,8,813,,398,6,201
2017-09-01,Fall River,2789,16,948,1,1153,21,615
2017-09-01,Faulk,839,,407,1,306,,95
2017-09-01,Grant,2255,10,1485,2,941,12,495
2017-09-01,Gregory,1474,4,932,2,310,,139
2017-09-01,Haakon,1045,1,193,,132,,38
2017-09-01,Hamlin,2349,1,763,3,555,2,282
2017-09-01,Hand,1433,4,662,1,265,1,130
2017-09-01,Hanson,1568,3,799,2,674,2,560
2017-09-01,Harding,750,1,103,,78,,69
2017-09-01,Hughes,6756,33,2306,4,1784,15,848
2017-09-01,Hutchinson,3196,4,1054,6,638,4,187
2017-09-01,Hyde,662,2,226,,104,3,43
2017-09-01,Jackson,861,4,703,1,304,18,77
2017-09-01,Jerauld,597,1,476,2,184,,48
2017-09-01,Jones,506,1,90,,80,,38
2017-09-01,Kingsbury,1773,4,983,1,583,1,227
2017-09-01,Lake,4448,29,2919,2,2212,5,1085
2017-09-01,Lawrence,8625,86,3633,10,3670,18,2184
2017-09-01,Lincoln,17651,90,8920,30,9016,27,1529
2017-09-01,Lyman,1098,4,836,1,263,2,156
2017-09-01,Marshall,1045,9,1207,,482,1,207
2017-09-01,McCook,1766,14,1102,6,664,,247
2017-09-01,McPherson,1261,2,274,,219,1,107
2017-09-01,Meade,9544,79,3142,33,3683,5,1154
2017-09-01,Mellette,479,1,480,1,135,,128
2017-09-01,Miner,579,2,635,1,269,1,78
2017-09-01,Minnehaha,47538,415,38327,136,31083,161,7133
2017-09-01,Moody,1474,7,1609,4,900,3,332
2017-09-01,Oglala Lakota,532,11,5511,2,1747,52,798
2017-09-01,Pennington,34715,355,17092,87,19025,143,3898
2017-09-01,Perkins,1378,6,421,3,319,5,170
2017-09-01,Potter,1293,1,293,2,152,2,102
2017-09-01,Roberts,1829,7,3135,4,1245,17,689
2017-09-01,Sanborn,822,3,511,1,221,3,68
2017-09-01,Spink,2014,5,1517,1,673,5,209
2017-09-01,Stanley,1307,2,458,2,273,,130
2017-09-01,Sully,739,,227,,113,1,55
2017-09-01,Todd,686,6,2979,3,814,5,667
2017-09-01,Tripp,2179,2,943,7,507,1,285
2017-09-01,Turner,2980,8,1441,3,1044,10,390
2017-09-01,Union,5125,23,2720,8,2960,13,1467
2017-09-01,Walworth,2425,6,801,5,469,1,254
2017-09-01,Yankton,5814,46,4179,5,3130,14,1236
2017-09-01,Ziebach,395,4,855,,277,4,129
