date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-12-01,Aurora,790,1,771,,256,3,96
2017-12-01,Beadle,4255,18,3399,5,2094,39,954
2017-12-01,Bennett,657,1,811,,311,2,215
2017-12-01,Bon Homme,1898,11,1313,2,617,1,319
2017-12-01,Brookings,7318,69,5113,21,5060,23,1791
2017-12-01,Brown,9812,65,8353,7,4185,41,2518
2017-12-01,Brule,1418,10,1227,5,535,2,209
2017-12-01,Buffalo,165,1,624,,106,2,83
2017-12-01,Butte,3731,30,979,7,1251,5,993
2017-12-01,Campbell,871,,122,,87,,132
2017-12-01,Charles Mix,2264,3,2376,2,835,,445
2017-12-01,Clark,1340,1,743,3,363,2,208
2017-12-01,Clay,2361,32,2830,3,2065,7,952
2017-12-01,Codington,7452,26,4938,14,3713,26,1811
2017-12-01,Corson,641,7,1183,2,415,6,266
2017-12-01,Custer,3665,19,1147,8,1400,20,779
2017-12-01,Davison,5201,18,3322,3,2341,26,1212
2017-12-01,Day,1471,9,1812,2,645,12,295
2017-12-01,Deuel,1273,8,868,7,702,1,251
2017-12-01,Dewey,708,3,2022,1,555,5,208
2017-12-01,Douglas,1534,2,326,,191,,163
2017-12-01,Edmunds,1457,8,809,,401,5,197
2017-12-01,Fall River,2795,16,951,2,1159,20,617
2017-12-01,Faulk,846,,401,1,305,,96
2017-12-01,Grant,2240,8,1454,2,916,12,569
2017-12-01,Gregory,1478,4,924,2,313,,136
2017-12-01,Haakon,1038,1,192,1,132,,39
2017-12-01,Hamlin,2357,2,758,1,563,2,283
2017-12-01,Hand,1427,4,654,1,268,1,130
2017-12-01,Hanson,1566,3,789,3,667,2,572
2017-12-01,Harding,750,,104,,79,,70
2017-12-01,Hughes,6763,33,2300,4,1806,13,855
2017-12-01,Hutchinson,3187,4,1046,7,649,4,186
2017-12-01,Hyde,628,,217,,101,3,95
2017-12-01,Jackson,841,4,688,1,308,18,59
2017-12-01,Jerauld,611,1,475,2,187,,46
2017-12-01,Jones,504,1,88,,81,,38
2017-12-01,Kingsbury,1780,7,980,1,595,1,224
2017-12-01,Lake,4513,33,2916,2,2277,4,1081
2017-12-01,Lawrence,8666,91,3628,11,3752,18,2180
2017-12-01,Lincoln,17040,91,8545,28,8681,26,3158
2017-12-01,Lyman,1096,4,831,1,263,2,155
2017-12-01,Marshall,1043,9,1198,,484,1,218
2017-12-01,McCook,1756,15,1088,6,665,,250
2017-12-01,McPherson,1245,2,273,,217,1,128
2017-12-01,Meade,9362,78,3048,32,3628,6,1615
2017-12-01,Mellette,479,1,474,1,132,,134
2017-12-01,Miner,573,2,630,1,272,1,80
2017-12-01,Minnehaha,46924,418,37641,135,31070,157,9306
2017-12-01,Moody,1465,7,1616,4,906,3,337
2017-12-01,Oglala Lakota,526,11,5390,2,1728,49,915
2017-12-01,Pennington,33117,346,15881,85,18086,129,8220
2017-12-01,Perkins,1374,6,420,3,326,5,172
2017-12-01,Potter,1281,1,292,2,148,2,111
2017-12-01,Roberts,1825,7,3131,4,1260,18,678
2017-12-01,Sanborn,818,3,495,1,219,3,83
2017-12-01,Spink,1973,5,1468,1,655,5,321
2017-12-01,Stanley,1299,3,454,2,277,,137
2017-12-01,Sully,736,,227,,114,1,55
2017-12-01,Todd,685,5,2978,3,836,6,665
2017-12-01,Tripp,2174,2,935,7,519,1,286
2017-12-01,Turner,2997,8,1448,2,1060,9,345
2017-12-01,Union,5128,23,2695,9,2978,12,1445
2017-12-01,Walworth,2433,6,805,5,473,1,251
2017-12-01,Yankton,5815,51,4166,4,3171,14,1226
2017-12-01,Ziebach,395,4,851,,276,4,131
