date,county,democratic,libertarian,republican,npa_ind,other,inactive
2022-12-01,Aurora,577,4,923,301,2,95
2022-12-01,Beadle,2761,22,4835,2369,37,636
2022-12-01,Bennett,729,3,720,401,2,186
2022-12-01,Bon Homme,959,11,2230,684,2,299
2022-12-01,Brookings,5168,97,9086,6028,34,1457
2022-12-01,Brown,7615,90,11916,5010,51,1856
2022-12-01,Brule,970,12,1668,627,6,116
2022-12-01,Buffalo,580,2,169,167,3,74
2022-12-01,Butte,838,54,4318,1425,16,1319
2022-12-01,Campbell,106,1,926,97,,91
2022-12-01,Charles Mix,1925,9,2596,873,5,397
2022-12-01,Clark,591,4,1575,370,15,168
2022-12-01,Clay,3022,39,2914,2483,19,744
2022-12-01,Codington,4154,56,9610,3966,29,1555
2022-12-01,Corson,1066,6,728,516,3,222
2022-12-01,Custer,1114,33,4759,1634,32,1131
2022-12-01,Davison,2904,31,6311,2850,37,1251
2022-12-01,Day,1411,10,1814,704,16,151
2022-12-01,Deuel,677,9,1645,688,8,179
2022-12-01,Dewey,1879,3,754,706,8,234
2022-12-01,Douglas,239,,1689,206,,65
2022-12-01,Edmunds,573,6,1713,390,3,180
2022-12-01,Fall River,902,36,3636,1362,33,601
2022-12-01,Faulk,215,,1085,243,2,55
2022-12-01,Grant,1172,13,2587,992,10,375
2022-12-01,Gregory,702,3,1750,395,,171
2022-12-01,Haakon,130,5,1143,115,1,60
2022-12-01,Hamlin,614,7,2875,596,3,158
2022-12-01,Hand,442,8,1586,227,5,100
2022-12-01,Hanson,660,6,1789,808,12,539
2022-12-01,Harding,73,5,812,101,,57
2022-12-01,Hughes,2224,53,7258,2136,22,843
2022-12-01,Hutchinson,780,9,3360,739,7,195
2022-12-01,Hyde,167,1,669,110,3,28
2022-12-01,Jackson,631,9,872,321,9,73
2022-12-01,Jerauld,375,6,673,192,1,64
2022-12-01,Jones,69,1,513,80,1,42
2022-12-01,Kingsbury,763,7,2230,625,3,308
2022-12-01,Lake,2110,26,4167,1644,9,1856
2022-12-01,Lawrence,3812,159,11113,5017,44,2222
2022-12-01,Lincoln,9904,211,22871,11506,73,4576
2022-12-01,Lyman,723,7,1141,350,1,58
2022-12-01,Marshall,1024,6,1247,528,4,210
2022-12-01,McCook,842,14,2245,753,6,126
2022-12-01,McPherson,217,8,1303,215,2,196
2022-12-01,Meade,3042,151,12198,4645,36,806
2022-12-01,Mellette,422,3,497,210,1,76
2022-12-01,Miner,481,4,779,316,3,83
2022-12-01,Minnehaha,36985,705,55363,38175,312,17002
2022-12-01,Moody,1381,14,1770,1009,3,340
2022-12-01,Oglala Lakota,5352,18,542,2002,44,828
2022-12-01,Pennington,18029,659,44019,23725,280,9233
2022-12-01,Perkins,284,5,1483,332,6,193
2022-12-01,Potter,211,3,1336,155,4,137
2022-12-01,Roberts,2607,15,2145,1432,22,451
2022-12-01,Sanborn,367,7,941,257,4,97
2022-12-01,Spink,1098,11,2430,620,7,207
2022-12-01,Stanley,367,4,1494,273,13,216
2022-12-01,Sully,183,4,798,146,3,59
2022-12-01,Todd,2847,5,688,1020,7,849
2022-12-01,Tripp,671,9,2318,562,8,427
2022-12-01,Turner,1220,12,3438,1195,17,197
2022-12-01,Union,2506,37,6122,3658,13,2078
2022-12-01,Walworth,643,9,2426,483,8,527
2022-12-01,Yankton,3661,64,7144,3750,15,1526
2022-12-01,Ziebach,792,7,423,386,3,112
