date,county,republican,democratic,other
1990-05-21,Aurora,876,1219,95
1990-05-21,Beadle,4529,6027,975
1990-05-21,Bennett,791,947,82
1990-05-21,Bon Homme,2438,2165,190
1990-05-21,Brookings,6721,4662,1791
1990-05-21,Brown,8991,10733,1568
1990-05-21,Brule,1186,1958,154
1990-05-21,Buffalo,189,742,30
1990-05-21,Butte,3142,1076,169
1990-05-21,Campbell,1343,213,28
1990-05-21,Charles Mix,2002,3475,236
1990-05-21,Clark,1660,1193,135
1990-05-21,Clay,2776,3082,733
1990-05-21,Codington,5287,5618,1329
1990-05-21,Corson,960,1239,127
1990-05-21,Custer,2462,1177,425
1990-05-21,Davison,4409,4801,866
1990-05-21,Day,1915,2558,205
1990-05-21,Deuel,1440,1408,306
1990-05-21,Dewey,992,1706,201
1990-05-21,Douglas,1928,591,63
1990-05-21,Edmunds,1518,1435,161
1990-05-21,Fall River,2515,1590,385
1990-05-21,Faulk,1013,878,69
1990-05-21,Grant,2533,2159,437
1990-05-21,Gregory,1643,1714,108
1990-05-21,Haakon,1102,448,49
1990-05-21,Hamlin,1868,1136,198
1990-05-21,Hand,1612,1324,218
1990-05-21,Hanson,775,939,308
1990-05-21,Harding,779,293,51
1990-05-21,Hughes,5846,2944,817
1990-05-21,Hutchinson,4155,1404,148
1990-05-21,Hyde,635,557,63
1990-05-21,Jackson,938,570,57
1990-05-21,Jerauld,955,749,82
1990-05-21,Jones,703,270,19
1990-05-21,Kingsbury,2430,1341,198
1990-05-21,Lake,2913,3426,371
1990-05-21,Lawrence,6637,3835,983
1990-05-21,Lincoln,4476,3422,715
1990-05-21,Lyman,1243,833,75
1990-05-21,Marshall,1313,1693,85
1990-05-21,McCook,1984,1693,308
1990-05-21,McPherson,1923,448,77
1990-05-21,Meade,6130,3733,866
1990-05-21,Mellette,655,577,66
1990-05-21,Miner,776,1256,152
1990-05-21,Minnehaha,33660,33269,5449
1990-05-21,Moody,1533,1953,348
1990-05-21,Pennington,23712,14963,3787
1990-05-21,Perkins,1563,994,132
1990-05-21,Potter,1593,650,69
1990-05-21,Roberts,1973,3333,427
1990-05-21,Sanborn,1144,882,108
1990-05-21,Shannon,597,2507,248
1990-05-21,Spink,2112,2512,387
1990-05-21,Stanley,856,689,128
1990-05-21,Sully,718,515,34
1990-05-21,Todd,721,2165,245
1990-05-21,Tripp,2341,1700,241
1990-05-21,Turner,3437,1716,300
1990-05-21,Union,2238,3117,523
1990-05-21,Walworth,2493,1100,192
1990-05-21,Yankton,5152,4394,786
1990-05-21,Ziebach,492,507,97
