date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-09-03,Aurora,522,2,969,223,2,94,,110
2024-09-03,Beadle,2506,26,4969,1380,41,1085,1,803
2024-09-03,Bennett,684,6,704,204,2,193,,198
2024-09-03,Bon Homme,893,13,2340,478,,215,,298
2024-09-03,Brookings,4992,101,9649,3579,21,2662,,1616
2024-09-03,Brown,7277,95,12649,3564,11,1834,1,1145
2024-09-03,Brule,903,14,1714,457,4,203,,175
2024-09-03,Buffalo,525,2,148,65,3,80,,130
2024-09-03,Butte,779,56,4499,882,20,602,,1380
2024-09-03,Campbell,101,1,916,77,,39,,76
2024-09-03,Charles Mix,1729,9,2685,567,,338,,469
2024-09-03,Clark,545,4,1620,262,1,152,,144
2024-09-03,Clay,2838,37,2926,1381,10,1071,2,1244
2024-09-03,Codington,3849,61,10184,2574,26,1753,,1665
2024-09-03,Corson,964,5,729,272,2,267,,236
2024-09-03,Custer,1059,36,5026,1100,22,610,,1001
2024-09-03,Davison,2756,28,6715,1876,37,1426,3,1313
2024-09-03,Day,1270,11,1872,581,,151,,231
2024-09-03,Deuel,600,10,1718,487,,260,,129
2024-09-03,Dewey,1754,3,756,408,,354,,250
2024-09-03,Douglas,203,,1646,141,,90,,119
2024-09-03,Edmunds,523,7,1745,255,1,163,,144
2024-09-03,Fall River,894,41,3877,902,1,608,1,414
2024-09-03,Faulk,198,1,1113,212,,32,,62
2024-09-03,Grant,1066,17,2660,698,11,325,,352
2024-09-03,Gregory,634,4,1800,329,,77,,157
2024-09-03,Haakon,121,2,1159,87,2,28,,64
2024-09-03,Hamlin,542,8,3014,368,,239,,227
2024-09-03,Hand,409,7,1642,184,4,49,,99
2024-09-03,Hanson,606,6,1835,493,6,353,,493
2024-09-03,Harding,64,6,831,73,,41,,53
2024-09-03,Hughes,2113,45,7270,1386,17,860,,1067
2024-09-03,Hutchinson,714,14,3408,521,8,318,,223
2024-09-03,Hyde,149,1,649,94,,24,,44
2024-09-03,Jackson,581,8,904,166,1,159,,135
2024-09-03,Jerauld,340,5,696,131,1,64,,70
2024-09-03,Jones,60,1,519,60,,27,1,54
2024-09-03,Kingsbury,685,9,2301,395,2,302,,296
2024-09-03,Lake,1896,25,4245,940,4,567,1,2155
2024-09-03,Lawrence,3859,170,11920,3187,45,2443,4,2432
2024-09-03,Lincoln,9949,230,24567,7619,79,4929,3,5125
2024-09-03,Lyman,658,5,1150,218,1,149,,110
2024-09-03,Marshall,962,2,1275,376,2,167,,172
2024-09-03,McCook,799,8,2316,517,3,269,,152
2024-09-03,McPherson,191,8,1311,131,,65,,178
2024-09-03,Meade,2783,157,12506,2792,19,1973,,1679
2024-09-03,Mellette,401,3,500,181,,57,,65
2024-09-03,Miner,429,3,828,228,,102,,83
2024-09-03,Minnehaha,35451,718,57212,22206,256,17580,5,18193
2024-09-03,Moody,1306,15,1883,687,4,390,1,214
2024-09-03,Oglala Lakota,5178,19,583,988,1,1185,,660
2024-09-03,Pennington,17599,665,45517,12896,210,11493,5,10122
2024-09-03,Perkins,261,4,1544,195,4,155,,180
2024-09-03,Potter,183,1,1343,108,6,38,1,150
2024-09-03,Roberts,2362,10,2195,927,20,566,,510
2024-09-03,Sanborn,351,7,957,156,,126,1,65
2024-09-03,Spink,998,11,2524,442,2,200,,214
2024-09-03,Stanley,331,7,1539,189,,100,,205
2024-09-03,Sully,162,5,819,110,,38,,68
2024-09-03,Todd,2677,7,665,572,6,529,,784
2024-09-03,Tripp,575,8,2418,349,7,212,,400
2024-09-03,Turner,1125,15,3579,898,,339,,251
2024-09-03,Union,2297,44,6440,2189,8,1418,1,2225
2024-09-03,Walworth,580,7,2426,335,11,234,,480
2024-09-03,Yankton,3461,61,7323,2522,14,1243,,1615
2024-09-03,Ziebach,751,5,427,169,,232,,95
