date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-05-01,Aurora,810,1,814,,253,3,91
2017-05-01,Beadle,4436,20,3554,6,2112,43,994
2017-05-01,Bennett,689,1,889,,330,2,198
2017-05-01,Bon Homme,1971,11,1381,2,643,1,203
2017-05-01,Brookings,7597,79,5449,24,5363,22,2472
2017-05-01,Brown,10186,62,8918,7,4336,37,2382
2017-05-01,Brule,1464,11,1310,5,560,2,196
2017-05-01,Buffalo,169,,662,,106,2,49
2017-05-01,Butte,4122,34,1159,8,1423,6,485
2017-05-01,Campbell,912,,139,,94,,98
2017-05-01,Charles Mix,2254,5,2424,2,801,,432
2017-05-01,Clark,1394,2,782,3,380,2,173
2017-05-01,Clay,2502,37,3081,3,2161,7,1154
2017-05-01,Codington,7705,31,5229,15,3847,31,1530
2017-05-01,Corson,679,7,1257,2,422,7,206
2017-05-01,Custer,3735,16,1226,11,1428,21,540
2017-05-01,Davison,5461,20,3605,2,2453,23,1084
2017-05-01,Day,1521,9,1943,2,677,12,193
2017-05-01,Deuel,1276,8,898,7,703,1,210
2017-05-01,Dewey,711,3,2094,1,564,4,148
2017-05-01,Douglas,1564,2,340,,196,,137
2017-05-01,Edmunds,1511,8,858,,430,7,169
2017-05-01,Fall River,2886,16,1025,2,1207,28,627
2017-05-01,Faulk,864,1,419,1,308,,87
2017-05-01,Grant,2341,9,1531,2,979,12,451
2017-05-01,Gregory,1523,5,969,2,318,,149
2017-05-01,Haakon,1060,1,205,,127,1,45
2017-05-01,Hamlin,2441,1,810,3,606,1,217
2017-05-01,Hand,1474,3,682,1,279,1,148
2017-05-01,Hanson,1725,3,893,2,787,2,481
2017-05-01,Harding,777,3,108,,78,,54
2017-05-01,Hughes,6899,36,2423,5,1829,15,917
2017-05-01,Hutchinson,3193,4,1058,7,628,4,281
2017-05-01,Hyde,662,2,228,1,105,4,41
2017-05-01,Jackson,860,4,719,1,289,18,76
2017-05-01,Jerauld,600,1,479,3,183,,76
2017-05-01,Jones,522,1,98,,84,,35
2017-05-01,Kingsbury,1829,5,1038,1,616,2,195
2017-05-01,Lake,4685,35,3156,5,2328,6,517
2017-05-01,Lawrence,9111,92,4012,11,3959,18,1942
2017-05-01,Lincoln,17503,82,8929,29,8780,24,2396
2017-05-01,Lyman,1132,4,870,1,273,2,146
2017-05-01,Marshall,1076,9,1240,,493,1,240
2017-05-01,McCook,1809,14,1149,6,687,,228
2017-05-01,McPherson,1316,2,291,,236,,71
2017-05-01,Meade,9650,79,3235,32,3631,5,1834
2017-05-01,Mellette,497,1,518,1,142,,81
2017-05-01,Miner,587,2,662,2,291,1,108
2017-05-01,Minnehaha,47389,399,38368,135,30222,164,11286
2017-05-01,Moody,1534,8,1704,3,941,3,298
2017-05-01,Oglala Lakota,564,11,5723,1,1783,62,603
2017-05-01,Pennington,34828,353,17347,90,18730,144,5943
2017-05-01,Perkins,1415,6,438,3,337,3,164
2017-05-01,Potter,1373,1,312,2,174,2,50
2017-05-01,Roberts,1901,10,3338,4,1296,18,493
2017-05-01,Sanborn,843,3,527,1,224,3,65
2017-05-01,Spink,2026,5,1549,1,674,5,260
2017-05-01,Stanley,1369,4,499,2,283,,17
2017-05-01,Sully,761,,236,,113,1,22
2017-05-01,Todd,715,6,3134,3,822,10,746
2017-05-01,Tripp,2235,3,998,7,528,1,267
2017-05-01,Turner,3050,6,1502,3,1052,10,317
2017-05-01,Union,5364,27,2906,8,3072,15,1347
2017-05-01,Walworth,2460,6,822,5,467,1,318
2017-05-01,Yankton,6062,49,4393,8,3269,16,1288
2017-05-01,Ziebach,403,3,887,,294,5,117
