date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-07-01,Aurora,529,2,959,223,2,96,,111
2024-07-01,Beadle,2549,27,4959,1393,39,1086,1,708
2024-07-01,Bennett,728,6,729,221,2,199,,122
2024-07-01,Bon Homme,899,11,2325,477,,208,,299
2024-07-01,Brookings,4971,100,9552,3540,21,2601,,1626
2024-07-01,Brown,7275,94,12524,3542,11,1765,1,1152
2024-07-01,Brule,906,14,1692,457,4,203,,178
2024-07-01,Buffalo,530,2,151,67,3,80,,123
2024-07-01,Butte,775,56,4485,885,20,599,,1355
2024-07-01,Campbell,102,1,908,77,,38,,78
2024-07-01,Charles Mix,1732,9,2672,562,,336,,469
2024-07-01,Clark,550,4,1602,259,1,146,,145
2024-07-01,Clay,2823,39,2905,1359,10,1044,2,1252
2024-07-01,Codington,3862,61,10058,2557,27,1667,,1675
2024-07-01,Corson,976,6,733,274,2,259,,230
2024-07-01,Custer,1067,34,5002,1112,24,609,,950
2024-07-01,Davison,2741,28,6648,1848,37,1393,3,1325
2024-07-01,Day,1273,11,1860,571,,148,,233
2024-07-01,Deuel,610,10,1700,486,,255,,130
2024-07-01,Dewey,1762,3,748,404,,347,,255
2024-07-01,Douglas,206,,1637,141,,86,,123
2024-07-01,Edmunds,529,7,1745,257,1,158,,136
2024-07-01,Fall River,887,40,3847,903,1,591,1,417
2024-07-01,Faulk,198,1,1114,214,,29,,62
2024-07-01,Grant,1072,17,2636,701,12,315,,348
2024-07-01,Gregory,634,4,1788,325,,75,,160
2024-07-01,Haakon,123,2,1151,86,2,28,,61
2024-07-01,Hamlin,540,8,2981,367,,242,,227
2024-07-01,Hand,415,7,1627,181,4,49,,99
2024-07-01,Hanson,613,5,1814,494,5,347,,490
2024-07-01,Harding,65,6,826,73,1,40,,53
2024-07-01,Hughes,2098,46,7202,1371,18,808,1,1082
2024-07-01,Hutchinson,724,14,3383,515,5,298,,222
2024-07-01,Hyde,156,1,647,94,,23,,44
2024-07-01,Jackson,580,8,895,166,2,160,,138
2024-07-01,Jerauld,339,5,683,131,1,55,,73
2024-07-01,Jones,62,1,511,61,,27,1,54
2024-07-01,Kingsbury,686,9,2277,396,3,288,,301
2024-07-01,Lake,1925,25,4217,946,6,568,1,2079
2024-07-01,Lawrence,3800,169,11764,3143,46,2353,2,2442
2024-07-01,Lincoln,9874,229,24238,7545,79,4748,1,4910
2024-07-01,Lyman,659,5,1145,216,1,150,,99
2024-07-01,Marshall,967,2,1248,379,2,163,,168
2024-07-01,McCook,793,9,2283,515,,262,,160
2024-07-01,McPherson,198,8,1304,133,,64,,181
2024-07-01,Meade,2812,162,12414,2828,17,1997,,1462
2024-07-01,Mellette,397,3,502,178,,57,,68
2024-07-01,Miner,427,3,826,231,,103,,84
2024-07-01,Minnehaha,35261,713,56449,22040,261,17332,2,18346
2024-07-01,Moody,1321,15,1859,686,3,373,1,226
2024-07-01,Oglala Lakota,5181,21,581,987,1,1152,,665
2024-07-01,Pennington,17534,668,45200,12814,203,11349,4,9823
2024-07-01,Perkins,269,4,1542,194,5,155,,170
2024-07-01,Potter,181,2,1342,108,5,39,1,152
2024-07-01,Roberts,2393,9,2174,931,20,562,,474
2024-07-01,Sanborn,355,7,965,161,,126,1,68
2024-07-01,Spink,996,11,2496,440,2,202,,213
2024-07-01,Stanley,333,7,1524,186,,96,,205
2024-07-01,Sully,165,5,816,109,,35,,65
2024-07-01,Todd,2675,7,659,562,5,521,,786
2024-07-01,Tripp,589,6,2386,346,7,197,,409
2024-07-01,Turner,1143,14,3550,893,,336,,251
2024-07-01,Union,2291,43,6374,2181,6,1396,3,2182
2024-07-01,Walworth,588,8,2447,346,10,224,,438
2024-07-01,Yankton,3451,62,7279,2499,15,1236,,1626
2024-07-01,Ziebach,749,5,421,175,,230,,96
