date,county,democratic,libertarian,republican,independent,other,npa,inactive
2025-12-01,Aurora,486,2,992,229,3,97,76
2025-12-01,Beadle,2402,30,5210,1355,44,1221,533
2025-12-01,Bennett,651,8,727,193,3,198,126
2025-12-01,Bon Homme,832,10,2392,480,,229,256
2025-12-01,Brookings,5059,106,10191,3650,22,2877,1047
2025-12-01,Brown,6309,88,12241,3169,10,1763,2818
2025-12-01,Brule,844,12,1730,444,4,221,187
2025-12-01,Buffalo,528,2,150,78,4,100,55
2025-12-01,Butte,732,54,4609,861,22,658,995
2025-12-01,Campbell,95,1,887,69,,49,79
2025-12-01,Charles Mix,1744,9,2740,581,1,364,326
2025-12-01,Clark,492,4,1652,251,,175,154
2025-12-01,Clay,2740,36,2980,1378,19,1065,1083
2025-12-01,Codington,3699,59,10589,2556,23,2127,1425
2025-12-01,Corson,912,4,744,270,3,298,215
2025-12-01,Custer,996,38,5172,1124,24,700,694
2025-12-01,Davison,2697,33,6929,1894,34,1520,735
2025-12-01,Day,1194,11,1953,562,1,183,164
2025-12-01,Deuel,568,8,1788,478,1,313,70
2025-12-01,Dewey,1764,4,779,426,3,439,169
2025-12-01,Douglas,189,1,1651,130,,103,86
2025-12-01,Edmunds,493,7,1817,253,2,184,61
2025-12-01,Fall River,859,36,4000,888,3,723,437
2025-12-01,Faulk,174,,1084,210,,43,89
2025-12-01,Grant,985,19,2693,683,10,387,301
2025-12-01,Gregory,594,4,1872,345,,93,114
2025-12-01,Haakon,104,2,1148,79,5,39,50
2025-12-01,Hamlin,516,7,3044,364,1,290,215
2025-12-01,Hand,360,9,1642,185,4,50,57
2025-12-01,Hanson,502,4,1764,442,7,347,481
2025-12-01,Harding,57,5,828,72,1,44,32
2025-12-01,Hughes,2135,53,7413,1425,19,1048,562
2025-12-01,Hutchinson,685,15,3395,510,8,344,173
2025-12-01,Hyde,142,1,638,96,,33,49
2025-12-01,Jackson,577,6,919,171,1,173,76
2025-12-01,Jerauld,314,6,747,134,1,84,33
2025-12-01,Jones,58,1,503,55,1,28,61
2025-12-01,Kingsbury,605,7,2275,372,3,331,251
2025-12-01,Lake,1820,24,4314,934,7,625,1428
2025-12-01,Lawrence,3820,168,12235,3259,49,2879,1902
2025-12-01,Lincoln,9973,217,25998,7773,96,5421,3970
2025-12-01,Lyman,635,4,1164,216,1,178,57
2025-12-01,Marshall,917,2,1323,379,2,183,90
2025-12-01,McCook,764,9,2372,503,5,268,154
2025-12-01,McPherson,172,8,1277,118,1,74,68
2025-12-01,Meade,2632,141,12843,2798,27,2104,1429
2025-12-01,Mellette,402,,501,196,,73,62
2025-12-01,Miner,404,5,851,216,1,106,72
2025-12-01,Minnehaha,35539,719,59529,22549,237,19194,10964
2025-12-01,Moody,1277,17,2015,701,5,444,53
2025-12-01,Oglala Lakota,5183,17,601,955,1,1248,548
2025-12-01,Pennington,17636,668,46865,13169,237,12127,7463
2025-12-01,Perkins,235,4,1546,179,4,150,177
2025-12-01,Potter,179,1,1353,112,5,50,94
2025-12-01,Roberts,2271,8,2271,919,15,645,418
2025-12-01,Sanborn,345,7,995,158,1,119,72
2025-12-01,Spink,931,8,2529,442,3,238,186
2025-12-01,Stanley,329,8,1592,203,,132,123
2025-12-01,Sully,154,4,842,108,,41,62
2025-12-01,Todd,2596,6,645,574,3,554,653
2025-12-01,Tripp,525,4,2412,325,5,213,315
2025-12-01,Turner,1089,15,3661,881,2,385,209
2025-12-01,Union,2213,44,6621,2154,11,1479,1364
2025-12-01,Walworth,532,11,2436,323,9,284,371
2025-12-01,Yankton,3279,57,7431,2417,21,1299,1328
2025-12-01,Ziebach,724,5,431,175,1,259,49
