date,county,libertarian,republican,democratic,npa_ind,other,inactive
2019-06-03,Aurora,1,805,733,272,4,84
2019-06-03,Beadle,16,4357,3252,2233,42,994
2019-06-03,Bennett,2,689,801,346,2,204
2019-06-03,Bon Homme,10,2083,1215,621,3,288
2019-06-03,Brookings,74,7864,5212,5447,47,1645
2019-06-03,Brown,65,10515,8187,4382,50,2262
2019-06-03,Brule,9,1478,1168,585,6,86
2019-06-03,Buffalo,1,165,622,141,1,75
2019-06-03,Butte,33,3957,972,1327,16,939
2019-06-03,Campbell,,900,126,85,,117
2019-06-03,Charles Mix,3,2327,2266,848,2,608
2019-06-03,Clark,2,1402,704,371,5,185
2019-06-03,Clay,38,2471,2943,2263,13,870
2019-06-03,Codington,29,8272,4714,3751,38,1607
2019-06-03,Corson,9,659,1218,477,9,234
2019-06-03,Custer,23,3937,1147,1471,31,794
2019-06-03,Davison,22,5492,3247,2556,32,1119
2019-06-03,Day,9,1558,1726,665,14,262
2019-06-03,Deuel,9,1370,811,680,6,268
2019-06-03,Dewey,3,735,2067,601,8,186
2019-06-03,Douglas,2,1597,311,203,,141
2019-06-03,Edmunds,8,1504,761,413,4,171
2019-06-03,Fall River,25,3042,944,1233,28,590
2019-06-03,Faulk,,1048,272,247,,85
2019-06-03,Grant,9,2337,1390,954,12,524
2019-06-03,Gregory,5,1569,891,344,2,114
2019-06-03,Haakon,3,1074,173,140,2,34
2019-06-03,Hamlin,2,2548,716,569,3,249
2019-06-03,Hand,3,1453,604,259,2,121
2019-06-03,Hanson,3,1652,798,753,7,550
2019-06-03,Harding,2,780,100,86,,64
2019-06-03,Hughes,39,6998,2381,1912,22,772
2019-06-03,Hutchinson,3,3269,991,751,10,162
2019-06-03,Hyde,,661,197,106,3,82
2019-06-03,Jackson,6,837,644,308,12,138
2019-06-03,Jerauld,3,625,455,190,2,43
2019-06-03,Jones,1,507,89,92,,32
2019-06-03,Kingsbury,11,1986,915,593,1,204
2019-06-03,Lake,31,4513,2706,2259,9,1024
2019-06-03,Lawrence,105,9190,3733,4098,31,2038
2019-06-03,Lincoln,123,18745,9002,9839,63,2877
2019-06-03,Lyman,6,1137,806,288,1,133
2019-06-03,Marshall,8,1102,1166,520,1,190
2019-06-03,McCook,11,1847,1035,747,6,238
2019-06-03,McPherson,8,1258,264,233,1,114
2019-06-03,Meade,90,10138,3063,3955,40,1507
2019-06-03,Mellette,1,489,477,172,1,124
2019-06-03,Miner,2,637,603,318,3,65
2019-06-03,Minnehaha,474,47719,36267,33191,313,14140
2019-06-03,Moody,6,1529,1580,985,6,340
2019-06-03,Oglala Lakota,11,525,5509,1913,52,824
2019-06-03,Pennington,410,35933,16668,20406,258,7503
2019-06-03,Perkins,5,1409,386,346,9,159
2019-06-03,Potter,1,1321,280,145,4,97
2019-06-03,Roberts,10,2005,3053,1343,21,604
2019-06-03,Sanborn,3,842,463,228,3,77
2019-06-03,Spink,5,2181,1328,643,5,304
2019-06-03,Stanley,2,1373,443,283,2,122
2019-06-03,Sully,2,748,210,126,1,48
2019-06-03,Todd,4,685,3027,957,11,681
2019-06-03,Tripp,3,2235,886,574,10,286
2019-06-03,Turner,10,3109,1405,1139,14,287
2019-06-03,Union,27,5557,2755,3318,22,1451
2019-06-03,Walworth,7,2444,776,488,7,295
2019-06-03,Yankton,57,6307,4064,3487,20,1103
2019-06-03,Ziebach,5,398,887,321,4,137
