date,county,republican,democratic,libertarian,constitution,other,inactive
2004-05-17,Aurora,818,1067,2,0,119,121
2004-05-17,Beadle,4581,4915,24,0,1416,1000
2004-05-17,Bennett,707,1412,2,0,171,202
2004-05-17,Bon Homme,2098,1825,4,0,397,178
2004-05-17,Brookings,7296,5455,63,2,3125,2901
2004-05-17,Brown,9336,10168,27,0,2817,1973
2004-05-17,Brule,1300,1729,3,2,337,25
2004-05-17,Buffalo,160,817,0,0,99,64
2004-05-17,Butte,3422,1232,30,0,658,508
2004-05-17,Campbell,1002,187,3,0,44,115
2004-05-17,Charles Mix,1976,3190,3,0,417,593
2004-05-17,Clark,1574,1060,3,0,203,122
2004-05-17,Clay,3177,3600,20,0,1630,1707
2004-05-17,Codington,6871,6322,20,1,2288,1323
2004-05-17,Corson,775,1445,13,0,302,237
2004-05-17,Custer,3089,1230,19,0,806,675
2004-05-17,Davison,4974,4271,14,0,1277,1101
2004-05-17,Day,1653,2287,1,0,403,382
2004-05-17,Deuel,1258,1173,1,0,481,172
2004-05-17,Dewey,897,2625,3,0,456,116
2004-05-17,Douglas,1740,486,0,0,133,46
2004-05-17,Edmunds,1450,1265,3,2,216,241
2004-05-17,Fall River,2603,1385,18,0,333,535
2004-05-17,Faulk,873,628,0,0,298,76
2004-05-17,Grant,2338,1978,1,0,755,522
2004-05-17,Gregory,1709,1455,3,0,261,24
2004-05-17,Haakon,1153,346,0,2,72,50
2004-05-17,Hamlin,2014,1207,3,1,349,292
2004-05-17,Hand,1557,1057,2,0,226,146
2004-05-17,Hanson,1062,1028,2,0,565,64
2004-05-17,Harding,744,167,0,0,38,83
2004-05-17,Hughes,6980,2612,17,1,1004,828
2004-05-17,Hutchinson,3454,1291,5,0,268,609
2004-05-17,Hyde,693,393,1,0,70,85
2004-05-17,Jackson,820,753,2,0,180,228
2004-05-17,Jerauld,817,678,1,0,122,1
2004-05-17,Jones,614,166,1,0,41,54
2004-05-17,Kingsbury,2143,1248,5,0,361,483
2004-05-17,Lake,3600,3013,15,1,699,588
2004-05-17,Lawrence,7897,3887,86,0,1939,2343
2004-05-17,Lincoln,9493,5613,17,5,2570,1580
2004-05-17,Lyman,1186,1207,1,2,138,108
2004-05-17,Marshall,1068,1465,3,0,163,337
2004-05-17,McCook,1918,1608,6,2,458,194
2004-05-17,McPherson,1565,382,1,0,173,132
2004-05-17,Meade,7816,3350,33,0,2055,3397
2004-05-17,Mellette,578,632,1,0,99,120
2004-05-17,Miner,676,949,2,0,224,138
2004-05-17,Minnehaha,40693,34516,220,34,12369,10807
2004-05-17,Moody,1521,2085,1,0,609,274
2004-05-17,Pennington,27508,15556,265,7,9688,8856
2004-05-17,Perkins,1367,697,1,1,214,234
2004-05-17,Potter,1377,534,0,0,96,154
2004-05-17,Roberts,2033,3758,5,0,869,516
2004-05-17,Sanborn,948,814,1,0,117,111
2004-05-17,Shannon,488,5553,11,0,472,434
2004-05-17,Spink,2085,2025,4,0,439,384
2004-05-17,Stanley,1118,675,0,0,157,68
2004-05-17,Sully,704,343,4,0,77,85
2004-05-17,Todd,723,3703,3,0,639,229
2004-05-17,Tripp,2203,1434,0,2,312,164
2004-05-17,Turner,3247,1858,4,0,666,280
2004-05-17,Union,3738,3167,6,0,1545,1014
2004-05-17,Walworth,2423,1076,12,0,421,353
2004-05-17,Yankton,5740,4886,28,1,7,1864
2004-05-17,Ziebach,420,930,0,0,175,219
