date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-11-05,Aurora,518,2,982,230,2,100,,107
2024-11-05,Beadle,2501,26,5113,1383,41,1123,1,787
2024-11-05,Bennett,685,6,727,207,2,197,,190
2024-11-05,Bon Homme,888,13,2369,480,,230,,291
2024-11-05,Brookings,5103,106,9938,3624,21,2794,1,1594
2024-11-05,Brown,7278,99,12860,3582,10,1950,2,1132
2024-11-05,Brule,903,15,1746,466,4,213,,173
2024-11-05,Buffalo,533,2,151,73,4,94,,120
2024-11-05,Butte,777,56,4572,877,19,641,,1365
2024-11-05,Campbell,104,1,909,76,,40,,73
2024-11-05,Charles Mix,1786,9,2713,588,,343,,446
2024-11-05,Clark,543,4,1641,265,,152,,142
2024-11-05,Clay,2894,37,3037,1439,11,1133,5,1231
2024-11-05,Codington,3894,63,10431,2605,28,1832,,1625
2024-11-05,Corson,969,5,742,282,2,284,,234
2024-11-05,Custer,1055,36,5110,1114,23,655,1,992
2024-11-05,Davison,2785,33,6857,1905,36,1471,3,1275
2024-11-05,Day,1269,11,1910,588,,164,,228
2024-11-05,Deuel,592,10,1762,485,,276,,122
2024-11-05,Dewey,1774,3,765,426,,383,,241
2024-11-05,Douglas,205,1,1665,144,,93,,114
2024-11-05,Edmunds,519,7,1777,255,2,169,,143
2024-11-05,Fall River,893,41,3950,904,2,641,1,398
2024-11-05,Faulk,195,1,1127,217,,39,,60
2024-11-05,Grant,1058,18,2724,706,11,342,,341
2024-11-05,Gregory,617,4,1853,343,,85,,155
2024-11-05,Haakon,117,2,1168,86,2,29,,62
2024-11-05,Hamlin,543,7,3066,371,,254,,224
2024-11-05,Hand,402,7,1649,187,4,51,,97
2024-11-05,Hanson,599,6,1882,495,6,367,,487
2024-11-05,Harding,63,6,835,75,1,42,,51
2024-11-05,Hughes,2146,46,7345,1401,18,936,,1046
2024-11-05,Hutchinson,719,14,3427,525,8,323,,214
2024-11-05,Hyde,150,1,657,95,,29,,43
2024-11-05,Jackson,583,6,916,166,1,164,,131
2024-11-05,Jerauld,330,6,721,132,1,68,,70
2024-11-05,Jones,62,1,525,60,,28,1,53
2024-11-05,Kingsbury,672,7,2297,395,2,310,,282
2024-11-05,Lake,1903,25,4327,960,5,606,2,2140
2024-11-05,Lawrence,3938,173,12171,3263,41,2626,4,2396
2024-11-05,Lincoln,10127,231,25302,7728,80,5277,10,5025
2024-11-05,Lyman,658,4,1160,218,1,151,,108
2024-11-05,Marshall,966,2,1305,383,2,168,,165
2024-11-05,McCook,793,8,2389,523,3,271,,150
2024-11-05,McPherson,191,8,1331,132,,68,,163
2024-11-05,Meade,2818,155,12840,2837,20,2099,2,1637
2024-11-05,Mellette,411,1,502,182,,63,,64
2024-11-05,Miner,433,5,846,233,,110,,81
2024-11-05,Minnehaha,36159,740,58652,22570,253,18426,16,17710
2024-11-05,Moody,1307,15,1945,702,4,412,1,210
2024-11-05,Oglala Lakota,5256,19,587,980,1,1217,,637
2024-11-05,Pennington,18026,679,46455,13160,211,12031,24,9965
2024-11-05,Perkins,259,4,1565,194,4,157,,178
2024-11-05,Potter,181,1,1346,108,6,41,1,145
2024-11-05,Roberts,2382,10,2240,938,19,607,,495
2024-11-05,Sanborn,358,7,988,165,,126,1,62
2024-11-05,Spink,1006,10,2549,449,3,229,,207
2024-11-05,Stanley,335,7,1568,189,,113,,203
2024-11-05,Sully,162,5,822,109,,36,,68
2024-11-05,Todd,2745,7,662,581,5,557,,764
2024-11-05,Tripp,568,7,2438,348,7,223,,381
2024-11-05,Turner,1132,15,3643,904,,364,,240
2024-11-05,Union,2318,45,6576,2205,9,1463,1,2203
2024-11-05,Walworth,580,8,2473,336,11,254,,472
2024-11-05,Yankton,3497,62,7460,2559,14,1316,,1597
2024-11-05,Ziebach,751,5,435,173,,245,,96
