date,county,republican,democratic,libertarian,other
1994-05-23,Aurora,806,1176,,75
1994-05-23,Beadle,4370,5703,9,1119
1994-05-23,Bennett,707,927,,96
1994-05-23,Bon Homme,2284,1874,1,202
1994-05-23,Brookings,7188,5209,15,2408
1994-05-23,Brown,8795,10366,9,1889
1994-05-23,Brule,1196,1861,,176
1994-05-23,Buffalo,208,649,,25
1994-05-23,Butte,2983,1187,8,280
1994-05-23,Campbell,1230,211,,30
1994-05-23,Charles Mix,1747,2792,2,232
1994-05-23,Clark,1599,1076,,151
1994-05-23,Clay,3142,3368,6,1138
1994-05-23,Codington,5522,6015,7,1753
1994-05-23,Corson,863,973,,121
1994-05-23,Custer,2539,1127,11,517
1994-05-23,Davison,4308,4561,4,996
1994-05-23,Day,1823,2499,,277
1994-05-23,Deuel,1301,1333,,304
1994-05-23,Dewey,974,1801,,182
1994-05-23,Douglas,1807,525,,72
1994-05-23,Edmunds,1390,1363,,162
1994-05-23,Fall River,2424,1586,3,479
1994-05-23,Faulk,917,753,,48
1994-05-23,Grant,2510,2263,,511
1994-05-23,Gregory,1577,1580,,128
1994-05-23,Haakon,1067,421,,53
1994-05-23,Hamlin,1919,1199,,243
1994-05-23,Hand,1550,1270,,167
1994-05-23,Hanson,717,901,,316
1994-05-23,Harding,783,229,,34
1994-05-23,Hughes,6381,2688,6,803
1994-05-23,Hutchinson,3867,1265,1,165
1994-05-23,Hyde,690,449,,65
1994-05-23,Jackson,890,514,2,87
1994-05-23,Jerauld,842,743,2,100
1994-05-23,Jones,680,225,1,29
1994-05-23,Kingsbury,2285,1312,1,237
1994-05-23,Lake,3426,2835,1,439
1994-05-23,Lawrence,6764,4042,34,1305
1994-05-23,Lincoln,5041,3659,2,945
1994-05-23,Lyman,1163,692,2,63
1994-05-23,Marshall,1210,1607,1,124
1994-05-23,McCook,1772,1580,2,286
1994-05-23,McPherson,1692,421,,74
1994-05-23,Meade,7011,4059,16,1468
1994-05-23,Mellette,628,583,,58
1994-05-23,Miner,690,1061,,141
1994-05-23,Minnehaha,34929,33224,93,6986
1994-05-23,Moody,1519,1930,,360
1994-05-23,Pennington,25015,16037,152,6301
1994-05-23,Perkins,1428,893,1,133
1994-05-23,Potter,1526,600,,77
1994-05-23,Roberts,1865,3028,,434
1994-05-23,Sanborn,993,869,1,79
1994-05-23,Shannon,524,2678,,544
1994-05-23,Spink,2064,2346,2,396
1994-05-23,Stanley,969,710,,147
1994-05-23,Sully,676,466,,43
1994-05-23,Todd,611,2049,,372
1994-05-23,Tripp,2317,1625,,255
1994-05-23,Turner,3225,1753,,341
1994-05-23,Union,2456,3111,,764
1994-05-23,Walworth,2490,1044,1,228
1994-05-23,Yankton,5228,4868,6,1083
1994-05-23,Ziebach,430,609,,85
