date,county,republican,democratic,libertarian,constitution,other,inactive
2006-10-23,Aurora,815,1059,1,0,130,114
2006-10-23,Beadle,4727,4906,31,5,1616,837
2006-10-23,Bennett,776,1389,2,0,215,147
2006-10-23,Bon Homme,2087,1807,2,0,445,95
2006-10-23,Brookings,7835,6048,58,5,3891,2090
2006-10-23,Brown,9934,10557,35,2,3112,1719
2006-10-23,Brule,1357,1672,2,6,380,127
2006-10-23,Buffalo,181,898,0,0,117,33
2006-10-23,Butte,3641,1228,35,9,793,1003
2006-10-23,Campbell,992,193,4,4,50,129
2006-10-23,Charles Mix,2101,3431,2,0,482,558
2006-10-23,Clark,1616,1032,2,0,215,151
2006-10-23,Clay,3048,3735,27,0,1928,1823
2006-10-23,Codington,7340,6603,20,2,2530,1192
2006-10-23,Corson,769,1575,10,0,304,95
2006-10-23,Custer,3436,1351,17,15,969,445
2006-10-23,Davison,5473,4478,14,10,1504,457
2006-10-23,Day,1689,2412,0,2,474,245
2006-10-23,Deuel,1291,1221,2,4,504,175
2006-10-23,Dewey,829,2564,4,0,409,422
2006-10-23,Douglas,1698,494,0,0,125,78
2006-10-23,Edmunds,1451,1218,3,2,227,144
2006-10-23,Fall River,2847,1476,24,3,916,454
2006-10-23,Faulk,861,605,0,0,259,69
2006-10-23,Grant,2349,2016,1,1,845,436
2006-10-23,Gregory,1710,1427,3,0,258,160
2006-10-23,Haakon,1167,311,0,2,75,66
2006-10-23,Hamlin,2115,1182,2,3,404,220
2006-10-23,Hand,1488,1015,1,0,233,211
2006-10-23,Hanson,1351,1191,6,1,719,89
2006-10-23,Harding,776,160,0,0,46,51
2006-10-23,Hughes,7166,2715,18,5,1148,1307
2006-10-23,Hutchinson,3545,1333,8,2,350,431
2006-10-23,Hyde,751,354,0,0,58,73
2006-10-23,Jackson,830,815,1,0,191,205
2006-10-23,Jerauld,790,659,1,0,146,13
2006-10-23,Jones,599,160,4,0,53,76
2006-10-23,Kingsbury,2121,1310,5,0,429,339
2006-10-23,Lake,3838,3143,16,2,812,611
2006-10-23,Lawrence,8517,4420,99,5,2497,1343
2006-10-23,Lincoln,12250,6955,35,21,3719,1165
2006-10-23,Lyman,1183,1228,1,3,158,178
2006-10-23,Marshall,1131,1549,3,1,212,297
2006-10-23,McCook,1963,1607,5,5,521,161
2006-10-23,McPherson,1477,372,1,0,170,132
2006-10-23,Meade,8538,3673,32,21,2395,4239
2006-10-23,Mellette,585,661,1,0,139,117
2006-10-23,Miner,674,932,3,2,225,126
2006-10-23,Minnehaha,44584,38033,270,141,15932,7415
2006-10-23,Moody,1570,2296,4,0,668,245
2006-10-23,Pennington,30180,16724,245,32,10962,9064
2006-10-23,Perkins,1338,649,1,8,222,189
2006-10-23,Potter,1413,503,0,0,113,176
2006-10-23,Roberts,2047,3887,7,8,975,296
2006-10-23,Sanborn,934,773,3,0,131,150
2006-10-23,Shannon,710,5915,15,0,1206,460
2006-10-23,Spink,2198,1988,3,1,472,263
2006-10-23,Stanley,1218,666,0,0,190,111
2006-10-23,Sully,699,326,8,0,76,58
2006-10-23,Todd,816,3995,5,0,703,340
2006-10-23,Tripp,2219,1437,0,2,327,182
2006-10-23,Turner,3297,1884,7,3,728,304
2006-10-23,Union,4243,3355,8,1,1897,856
2006-10-23,Walworth,2405,1080,9,2,449,434
2006-10-23,Yankton,6103,5237,42,9,1951,1540
2006-10-23,Ziebach,419,1017,0,0,208,175
