date,county,libertarian,republican,democratic,npa_ind,other,inactive
2019-12-02,Aurora,1,804,702,268,2,106
2019-12-02,Beadle,15,4289,3159,2192,39,484
2019-12-02,Bennett,2,679,781,320,1,197
2019-12-02,Bon Homme,8,2066,1160,594,2,272
2019-12-02,Brookings,70,7768,5105,5345,42,1268
2019-12-02,Brown,62,10394,7952,4324,46,2801
2019-12-02,Brule,8,1463,1126,565,7,179
2019-12-02,Buffalo,1,158,591,138,1,100
2019-12-02,Butte,34,3832,910,1259,16,1273
2019-12-02,Campbell,,888,124,82,,89
2019-12-02,Charles Mix,3,2312,2160,834,2,423
2019-12-02,Clark,2,1382,676,352,7,171
2019-12-02,Clay,32,2397,2820,2119,12,789
2019-12-02,Codington,31,8226,4573,3695,33,1328
2019-12-02,Corson,8,648,1151,472,7,213
2019-12-02,Custer,22,3866,1109,1457,31,1028
2019-12-02,Davison,20,5450,3140,2523,33,1347
2019-12-02,Day,6,1524,1648,639,11,224
2019-12-02,Deuel,9,1390,808,703,6,135
2019-12-02,Dewey,4,708,1983,573,7,214
2019-12-02,Douglas,1,1580,298,210,,60
2019-12-02,Edmunds,6,1480,738,373,4,173
2019-12-02,Fall River,25,2978,889,1207,33,627
2019-12-02,Faulk,,1032,256,232,,69
2019-12-02,Grant,9,2308,1332,941,11,330
2019-12-02,Gregory,5,1579,882,355,2,73
2019-12-02,Haakon,3,1033,164,134,2,69
2019-12-02,Hamlin,3,2517,671,544,2,239
2019-12-02,Hand,2,1428,578,241,2,175
2019-12-02,Hanson,2,1628,770,751,8,663
2019-12-02,Harding,3,764,98,88,,61
2019-12-02,Hughes,40,7014,2372,1938,25,533
2019-12-02,Hutchinson,3,3274,975,751,9,32
2019-12-02,Hyde,,655,191,106,3,17
2019-12-02,Jackson,6,829,639,308,12,111
2019-12-02,Jerauld,7,604,432,174,2,66
2019-12-02,Jones,1,500,88,94,,30
2019-12-02,Kingsbury,11,1984,895,589,2,228
2019-12-02,Lake,26,4207,2503,1987,7,1443
2019-12-02,Lawrence,96,9107,3622,4042,35,2502
2019-12-02,Lincoln,121,18478,8940,9715,63,4204
2019-12-02,Lyman,5,1104,778,281,1,73
2019-12-02,Marshall,8,1070,1127,515,2,246
2019-12-02,McCook,11,1832,1009,729,5,194
2019-12-02,McPherson,8,1229,244,224,1,172
2019-12-02,Meade,89,10044,2986,3837,41,857
2019-12-02,Mellette,1,481,466,172,1,47
2019-12-02,Miner,2,631,574,318,2,94
2019-12-02,Minnehaha,491,48519,36500,34140,320,13975
2019-12-02,Moody,7,1500,1544,963,4,407
2019-12-02,Oglala Lakota,13,491,5249,1842,52,944
2019-12-02,Pennington,423,36070,16638,20745,259,9036
2019-12-02,Perkins,5,1405,361,335,8,142
2019-12-02,Potter,1,1278,259,143,3,162
2019-12-02,Roberts,9,2010,3003,1331,21,100
2019-12-02,Sanborn,3,828,443,223,3,94
2019-12-02,Spink,5,2139,1289,626,4,161
2019-12-02,Stanley,2,1352,420,263,3,186
2019-12-02,Sully,2,727,205,124,3,80
2019-12-02,Todd,4,660,2868,911,9,925
2019-12-02,Tripp,3,2165,834,549,8,419
2019-12-02,Turner,11,3071,1373,1131,15,203
2019-12-02,Union,27,5512,2709,3300,19,1636
2019-12-02,Walworth,7,2447,777,495,8,283
2019-12-02,Yankton,54,6252,3989,3458,19,1401
2019-12-02,Ziebach,5,386,855,308,4,127
