date,county,democratic,republican,other
1978-05-22,Aurora,1405,1039,138
1978-05-22,Beadle,6757,4601,1096
1978-05-22,Bennett,996,814,110
1978-05-22,Bon Homme,2474,2779,346
1978-05-22,Brookings,5176,6166,2155
1978-05-22,Brown,11373,8467,1700
1978-05-22,Brule,2229,1101,184
1978-05-22,Buffalo,465,274,35
1978-05-22,Butte,1409,3124,275
1978-05-22,Campbell,3657,1824,269
1978-05-22,Charles Mix,3657,1824,269
1978-05-22,Clark,1410,1911,184
1978-05-22,Clay,3076,2651,1016
1978-05-22,Codington,5610,4629,1525
1978-05-22,Corson,1289,1179,158
1978-05-22,Custer,1295,1518,343
1978-05-22,Davison,5278,3769,1036
1978-05-22,Day,3098,2270,296
1978-05-22,Deuel,1430,1643,353
1978-05-22,Dewey,1038,1092,146
1978-05-22,Douglas,779,1951,112
1978-05-22,Edmunds,1848,1738,169
1978-05-22,Fall River,2091,2962,453
1978-05-22,Faulk,1165,1134,118
1978-05-22,Grant,2416,2571,577
1978-05-22,Gregory,2148,1830,138
1978-05-22,Haakon,584,1022,80
1978-05-22,Hamlin,1365,2024,223
1978-05-22,Hand,1658,1842,232
1978-05-22,Hanson,956,884,276
1978-05-22,Harding,381,758,66
1978-05-22,Hughes,3087,4713,856
1978-05-22,Hutchinson,1664,4630,120
1978-05-22,Hyde,774,736,59
1978-05-22,Jackson,663,981,81
1978-05-22,Jerauld,923,1046,102
1978-05-22,Jones,429,601,35
1978-05-22,Kingsbury,1597,2742,259
1978-05-22,Lake,3108,3146,436
1978-05-22,Lawrence,3514,5780,722
1978-05-22,Lincoln,3174,3998,708
1978-05-22,Lyman,944,1409,58
1978-05-22,McCook,1971,2086,469
1978-05-22,McPherson,517,2491,97
1978-05-22,Marshall,2101,1574,146
1978-05-22,Meade,3378,3919,630
1978-05-22,Mellette,545,680,86
1978-05-22,Miner,1523,964,184
1978-05-22,Minnehaha,29852,27720,5208
1978-05-22,Moody,2368,1654,617
1978-05-22,Pennington,14004,15187,3294
1978-05-22,Perkins,1336,1772,164
1978-05-22,Potter,982,1567,96
1978-05-22,Roberts,3529,1951,506
1978-05-22,Sanborn,1101,1111,179
1978-05-22,Spink,3065,2409,472
1978-05-22,Stanley,772,776,143
1978-05-22,Sully,568,863,58
1978-05-22,Tripp,2242,2260,381
1978-05-22,Turner,1936,4015,608
1978-05-22,Union,3275,2543,744
1978-05-22,Walworth,1647,2852,263
1978-05-22,Yankton,4484,5199,752
1978-05-22,Ziebach,492,515,64
1978-05-22,Shannon,1583,479,248
1978-05-22,Todd,1620,729,231
