county,libertarian,republican,democratic,npa_ind,other,inactive
Aurora,2,870,654,292,2,91
Beadle,21,4581,3056,2358,42,395
Bennett,3,711,769,372,2,161
Bon Homme,12,2210,1059,672,2,243
Brookings,92,8560,5366,5911,42,1116
Brown,86,11177,7933,4804,50,2452
Brule,8,1610,1061,594,4,27
Buffalo,1,164,602,155,2,86
Butte,54,4211,915,1387,13,1157
Campbell,,917,119,96,,80
Charles Mix,6,2516,2065,847,4,400
Clark,4,1476,644,382,14,138
Clay,37,2663,3017,2371,17,709
Codington,49,9092,4453,4009,31,1131
Corson,8,702,1157,523,5,197
Custer,28,4311,1158,1626,32,948
Davison,27,6014,3117,2758,30,1203
Day,8,1669,1543,681,12,187
Deuel,9,1536,756,699,8,147
Dewey,3,759,2010,672,8,182
Douglas,1,1649,269,209,,51
Edmunds,6,1605,669,415,4,144
Fall River,32,3305,940,1277,37,616
Faulk,,1055,231,231,2,60
Grant,10,2505,1278,994,12,284
Gregory,5,1716,792,385,,82
Haakon,3,1114,149,131,1,64
Hamlin,6,2660,652,580,2,204
Hand,5,1516,523,245,4,138
Hanson,6,1839,754,836,9,631
Harding,4,810,86,94,,57
Hughes,53,7214,2400,2167,24,482
Hutchinson,7,3263,854,750,9,
Hyde,,667,182,114,3,13
Jackson,8,865,669,319,9,62
Jerauld,6,642,404,187,2,56
Jones,1,532,84,86,1,23
Kingsbury,7,2130,872,614,3,208
Lake,32,4292,2370,1894,8,1338
Lawrence,128,10047,3806,4523,44,2277
Lincoln,178,21052,9794,10902,65,3801
Lyman,7,1139,773,318,1,59
Marshall,8,1186,1096,542,4,210
McCook,12,2014,964,787,8,157
McPherson,8,1294,243,235,2,153
Meade,116,11275,3159,4314,38,760
Mellette,3,507,452,190,1,38
Miner,4,688,539,331,3,69
Minnehaha,615,52226,37530,36575,347,16348
Moody,11,1650,1499,1016,4,340
Oglala Lakota,19,525,5467,1959,52,858
Pennington,569,40401,18082,23040,260,8439
Perkins,5,1469,326,341,6,127
Potter,1,1314,248,167,4,144
Roberts,11,2089,2914,1394,26,246
Sanborn,5,895,418,250,4,80
Spink,6,2279,1269,642,9,125
Stanley,3,1430,402,295,11,168
Sully,2,780,196,136,3,68
Todd,6,700,2958,974,9,833
Tripp,8,2321,770,572,11,370
Turner,12,3276,1321,1189,15,173
Union,35,6006,2708,3696,17,1548
Walworth,9,2535,777,522,8,247
Yankton,65,6706,3940,3827,18,1307
Ziebach,7,405,847,376,3,110
