date,county,republican,democratic,libertarian,constitution,other,inactive
2006-05-22,Aurora,811,1053,1,0,123,118
2006-05-22,Beadle,4562,4815,29,4,1504,859
2006-05-22,Bennett,816,1466,2,0,241,148
2006-05-22,Bon Homme,2066,1783,3,0,419,97
2006-05-22,Brookings,7515,5723,55,3,3511,2145
2006-05-22,Brown,9638,10300,33,1,2955,1766
2006-05-22,Brule,1295,1647,2,6,354,126
2006-05-22,Buffalo,164,876,0,0,103,36
2006-05-22,Butte,3507,1166,33,9,724,1024
2006-05-22,Campbell,988,186,3,4,49,130
2006-05-22,Charles Mix,2035,3412,1,0,460,569
2006-05-22,Clark,1610,1035,2,0,210,152
2006-05-22,Clay,2887,3431,20,0,1563,1842
2006-05-22,Codington,7131,6425,18,4,2391,1223
2006-05-22,Corson,767,1583,12,0,298,102
2006-05-22,Custer,3280,1300,16,14,885,459
2006-05-22,Davison,5284,4372,13,8,1375,472
2006-05-22,Day,1664,2336,1,0,447,251
2006-05-22,Deuel,1266,1200,2,4,504,183
2006-05-22,Dewey,834,2646,3,0,436,280
2006-05-22,Douglas,1685,468,0,0,123,80
2006-05-22,Edmunds,1436,1200,3,2,210,147
2006-05-22,Fall River,2721,1410,20,4,851,473
2006-05-22,Faulk,867,609,0,0,249,72
2006-05-22,Grant,2333,1972,1,1,826,446
2006-05-22,Gregory,1680,1420,3,0,251,164
2006-05-22,Haakon,1150,316,0,2,72,65
2006-05-22,Hamlin,2076,1183,3,3,371,227
2006-05-22,Hand,1465,999,3,0,223,217
2006-05-22,Hanson,1285,1159,5,1,637,91
2006-05-22,Harding,767,154,0,0,42,52
2006-05-22,Hughes,6982,2641,18,6,1054,1337
2006-05-22,Hutchinson,3504,1324,5,0,316,447
2006-05-22,Hyde,802,361,0,0,2,75
2006-05-22,Jackson,823,821,1,0,190,209
2006-05-22,Jerauld,791,666,1,0,140,13
2006-05-22,Jones,601,156,3,0,45,1
2006-05-22,Kingsbury,2120,1290,5,0,413,353
2006-05-22,Lake,3713,3041,13,2,727,627
2006-05-22,Lawrence,8180,4133,95,4,2238,1379
2006-05-22,Lincoln,11454,6511,30,22,3280,1191
2006-05-22,Lyman,1169,1220,1,3,159,179
2006-05-22,Marshall,1135,1540,3,0,198,303
2006-05-22,McCook,1950,1598,5,5,480,169
2006-05-22,McPherson,1486,364,1,0,162,139
2006-05-22,Meade,8219,3484,30,19,2213,4325
2006-05-22,Mellette,611,728,1,0,146,120
2006-05-22,Miner,679,932,3,2,1,133
2006-05-22,Minnehaha,43137,36663,245,138,14528,7740
2006-05-22,Moody,1521,2251,1,0,636,258
2006-05-22,Pennington,29357,16048,242,33,10253,9109
2006-05-22,Perkins,1322,643,1,8,220,196
2006-05-22,Potter,1400,497,0,0,112,183
2006-05-22,Roberts,2003,3684,7,4,925,305
2006-05-22,Sanborn,921,771,3,0,126,154
2006-05-22,Shannon,635,5900,15,0,1172,478
2006-05-22,Spink,2261,2072,3,1,512,274
2006-05-22,Stanley,1167,652,2,0,180,114
2006-05-22,Sully,699,328,8,0,74,63
2006-05-22,Todd,806,4010,3,0,697,338
2006-05-22,Tripp,2196,1447,0,2,310,189
2006-05-22,Turner,3256,1856,6,2,695,319
2006-05-22,Union,4060,3286,5,1,1764,876
2006-05-22,Walworth,2385,1067,10,1,436,449
2006-05-22,Yankton,5952,5131,39,6,1778,1555
2006-05-22,Ziebach,417,1007,0,0,204,184
