date,county,libertarian,republican,democratic,npa_ind,other,inactive
2020-10-01,Aurora,1,842,678,268,2,96
2020-10-01,Beadle,16,4440,3088,2233,42,443
2020-10-01,Bennett,2,710,762,350,2,188
2020-10-01,Bon Homme,7,2152,1096,640,2,255
2020-10-01,Brookings,79,8226,5283,5616,42,1202
2020-10-01,Brown,71,10846,7963,4535,48,2652
2020-10-01,Brule,7,1533,1093,586,5,188
2020-10-01,Buffalo,1,164,592,145,1,94
2020-10-01,Butte,41,3957,916,1284,16,1222
2020-10-01,Campbell,,898,121,86,,83
2020-10-01,Charles Mix,6,2450,2035,825,3,448
2020-10-01,Clark,2,1419,654,359,12,159
2020-10-01,Clay,35,2543,2921,2216,13,747
2020-10-01,Codington,40,8758,4495,3817,30,1246
2020-10-01,Corson,9,679,1135,484,5,205
2020-10-01,Custer,22,4127,1137,1510,31,990
2020-10-01,Davison,24,5798,3137,2616,31,1264
2020-10-01,Day,8,1614,1588,660,10,203
2020-10-01,Deuel,8,1464,767,690,7,152
2020-10-01,Dewey,4,744,2007,606,6,200
2020-10-01,Douglas,,1616,275,206,,57
2020-10-01,Edmunds,6,1551,694,396,6,158
2020-10-01,Fall River,27,3169,924,1195,35,635
2020-10-01,Faulk,,1044,240,230,1,65
2020-10-01,Grant,9,2426,1315,960,11,300
2020-10-01,Gregory,5,1695,819,366,,86
2020-10-01,Haakon,3,1082,152,132,1,67
2020-10-01,Hamlin,3,2614,660,556,2,217
2020-10-01,Hand,2,1503,539,245,2,151
2020-10-01,Hanson,6,1768,764,798,7,642
2020-10-01,Harding,4,801,87,90,,59
2020-10-01,Hughes,46,7185,2380,2019,24,512
2020-10-01,Hutchinson,3,3351,949,757,9,26
2020-10-01,Hyde,,667,186,107,2,13
2020-10-01,Jackson,8,867,640,308,10,100
2020-10-01,Jerauld,6,637,409,184,2,60
2020-10-01,Jones,1,525,84,86,,28
2020-10-01,Kingsbury,6,2071,879,611,3,219
2020-10-01,Lake,30,4185,2398,1882,8,1371
2020-10-01,Lawrence,115,9658,3725,4205,36,2386
2020-10-01,Lincoln,145,19997,9501,10219,65,4021
2020-10-01,Lyman,5,1129,772,300,1,64
2020-10-01,Marshall,7,1137,1103,519,4,231
2020-10-01,McCook,11,1952,983,742,8,175
2020-10-01,McPherson,8,1272,244,234,2,159
2020-10-01,Meade,109,10742,3080,4057,40,812
2020-10-01,Mellette,3,508,467,170,1,44
2020-10-01,Miner,4,662,560,326,3,81
2020-10-01,Minnehaha,518,49804,36514,34316,296,17511
2020-10-01,Moody,10,1603,1533,979,2,375
2020-10-01,Oglala Lakota,13,509,5312,1902,54,906
2020-10-01,Pennington,493,38898,17579,21826,252,8729
2020-10-01,Perkins,5,1461,337,330,7,136
2020-10-01,Potter,1,1300,254,157,4,154
2020-10-01,Roberts,10,2030,2909,1339,26,271
2020-10-01,Sanborn,3,862,433,233,4,88
2020-10-01,Spink,5,2188,1282,643,5,143
2020-10-01,Stanley,2,1410,398,266,8,176
2020-10-01,Sully,2,760,198,128,3,76
2020-10-01,Todd,3,689,2868,944,8,881
2020-10-01,Tripp,5,2254,782,547,11,388
2020-10-01,Turner,12,3226,1327,1161,14,187
2020-10-01,Union,28,5799,2709,3465,18,1596
2020-10-01,Walworth,7,2508,781,499,6,269
2020-10-01,Yankton,58,6527,3937,3649,18,1376
2020-10-01,Ziebach,6,403,855,323,3,121
