date,county,republican,libertarian,democratic,constitution,other,npa_ind,inactive
2018-05-01,Aurora,789,1,763,,3,256,92
2018-05-01,Beadle,4277,19,3360,5,39,2133,946
2018-05-01,Bennett,663,2,816,,2,316,208
2018-05-01,Bon Homme,1971,11,1282,2,,635,313
2018-05-01,Brookings,7425,72,5103,21,23,5168,1749
2018-05-01,Brown,10012,61,8239,7,41,4196,2450
2018-05-01,Brule,1426,10,1205,5,2,542,233
2018-05-01,Buffalo,165,1,622,,2,110,82
2018-05-01,Butte,3791,31,982,8,5,1272,986
2018-05-01,Campbell,884,,123,,,87,129
2018-05-01,Charles Mix,2302,3,2351,2,,849,438
2018-05-01,Clark,1353,3,729,3,2,364,205
2018-05-01,Clay,2368,33,2841,3,7,2103,931
2018-05-01,Codington,7704,27,4817,14,25,3715,1766
2018-05-01,Corson,641,7,1172,2,6,427,261
2018-05-01,Custer,3713,20,1143,6,20,1391,825
2018-05-01,Davison,5240,19,3288,3,27,2397,1202
2018-05-01,Day,1489,9,1791,2,12,663,284
2018-05-01,Deuel,1286,9,840,7,1,679,294
2018-05-01,Dewey,707,3,2006,1,5,554,204
2018-05-01,Douglas,1544,2,318,,,193,155
2018-05-01,Edmunds,1464,9,796,,5,401,192
2018-05-01,Fall River,2843,23,931,2,21,1185,615
2018-05-01,Faulk,982,,302,1,,275,94
2018-05-01,Grant,2261,8,1428,2,11,927,557
2018-05-01,Gregory,1482,4,920,2,,316,132
2018-05-01,Haakon,1044,1,186,1,,135,39
2018-05-01,Hamlin,2401,2,737,1,2,573,273
2018-05-01,Hand,1433,3,637,1,1,265,129
2018-05-01,Hanson,1557,3,782,3,2,664,568
2018-05-01,Harding,741,,102,,,80,70
2018-05-01,Hughes,6815,34,2308,4,12,1811,848
2018-05-01,Hutchinson,3232,4,1035,7,4,692,182
2018-05-01,Hyde,652,,212,,3,102,94
2018-05-01,Jackson,806,3,642,1,14,296,147
2018-05-01,Jerauld,630,2,473,2,,186,43
2018-05-01,Jones,508,1,90,,,80,37
2018-05-01,Kingsbury,1862,8,954,1,1,586,218
2018-05-01,Lake,4585,33,2898,2,4,2330,1071
2018-05-01,Lawrence,8761,96,3608,11,18,3833,2140
2018-05-01,Lincoln,17403,97,8590,31,28,8954,3102
2018-05-01,Lyman,1104,5,827,1,1,263,149
2018-05-01,Marshall,1060,9,1193,,1,488,216
2018-05-01,McCook,1763,15,1074,7,,694,242
2018-05-01,McPherson,1248,6,272,,1,221,124
2018-05-01,Meade,9570,82,3022,28,6,3715,1584
2018-05-01,Mellette,471,1,467,1,,137,133
2018-05-01,Miner,584,2,618,1,1,275,78
2018-05-01,Minnehaha,45215,418,35508,129,155,29992,15290
2018-05-01,Moody,1494,6,1593,4,4,931,324
2018-05-01,Oglala Lakota,524,10,5344,2,49,1778,908
2018-05-01,Pennington,33598,365,15886,89,139,18594,8036
2018-05-01,Perkins,1389,6,403,3,5,335,171
2018-05-01,Potter,1289,1,283,2,2,152,107
2018-05-01,Roberts,1869,6,3099,4,17,1278,663
2018-05-01,Sanborn,822,3,489,1,3,220,81
2018-05-01,Spink,2053,5,1380,,5,638,345
2018-05-01,Stanley,1306,3,448,2,,284,140
2018-05-01,Sully,751,,216,,1,113,55
2018-05-01,Todd,668,6,2908,3,7,847,744
2018-05-01,Tripp,2193,3,908,7,1,540,320
2018-05-01,Turner,3017,7,1431,2,9,1085,324
2018-05-01,Union,5241,24,2687,10,12,3068,1427
2018-05-01,Walworth,2394,7,778,4,1,474,319
2018-05-01,Yankton,5999,51,4057,5,14,3236,1197
2018-05-01,Ziebach,401,4,847,,4,280,129
