date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-01-03,Aurora,806,1,821,,251,3,91
2017-01-03,Beadle,4414,20,3581,5,2082,42,1004
2017-01-03,Bennett,694,1,894,,327,2,201
2017-01-03,Bon Homme,1963,11,1395,2,632,1,206
2017-01-03,Brookings,7560,79,5462,24,5234,19,2527
2017-01-03,Brown,10137,62,8974,7,4259,37,2404
2017-01-03,Brule,1466,11,1323,5,560,2,200
2017-01-03,Buffalo,170,,664,,108,2,49
2017-01-03,Butte,4114,33,1166,8,1416,6,489
2017-01-03,Campbell,915,,143,,91,,98
2017-01-03,Charles Mix,2218,3,2455,2,786,,452
2017-01-03,Clark,1390,2,789,2,370,2,176
2017-01-03,Clay,2503,35,3102,3,2125,7,1162
2017-01-03,Codington,7637,33,5265,15,3797,31,1575
2017-01-03,Corson,677,7,1276,2,413,7,203
2017-01-03,Custer,3726,14,1225,12,1400,24,543
2017-01-03,Davison,5457,21,3643,2,2417,23,1102
2017-01-03,Day,1512,8,1947,2,657,12,194
2017-01-03,Deuel,1270,7,904,7,696,1,212
2017-01-03,Dewey,709,3,2105,1,557,4,151
2017-01-03,Douglas,1580,2,343,,195,,140
2017-01-03,Edmunds,1509,8,863,,424,6,173
2017-01-03,Fall River,2867,14,1035,2,1193,30,634
2017-01-03,Faulk,843,1,422,1,280,,89
2017-01-03,Grant,2341,9,1546,2,968,12,457
2017-01-03,Gregory,1527,4,978,2,321,,149
2017-01-03,Haakon,1049,1,207,,122,1,46
2017-01-03,Hamlin,2422,2,819,3,601,1,221
2017-01-03,Hand,1477,3,690,1,278,1,151
2017-01-03,Hanson,1722,3,897,2,779,2,483
2017-01-03,Harding,779,3,110,,78,,54
2017-01-03,Hughes,6888,35,2429,5,1784,15,919
2017-01-03,Hutchinson,3183,4,1052,7,606,4,282
2017-01-03,Hyde,664,2,231,1,103,4,41
2017-01-03,Jackson,859,4,720,1,281,18,79
2017-01-03,Jerauld,607,1,483,3,181,,81
2017-01-03,Jones,519,1,109,,81,,36
2017-01-03,Kingsbury,1821,5,1044,1,609,2,201
2017-01-03,Lake,4674,32,3173,5,2283,6,527
2017-01-03,Lawrence,9088,89,4026,11,3906,19,1958
2017-01-03,Lincoln,17455,85,8905,31,8633,25,2441
2017-01-03,Lyman,1135,4,872,1,268,2,149
2017-01-03,Marshall,1069,9,1243,,482,1,246
2017-01-03,McCook,1811,14,1160,6,661,,234
2017-01-03,McPherson,1321,2,292,,234,,71
2017-01-03,Meade,9576,74,3235,33,3572,7,1838
2017-01-03,Mellette,503,1,522,1,143,,84
2017-01-03,Miner,588,2,673,2,290,1,109
2017-01-03,Minnehaha,47334,401,38579,139,29452,160,11419
2017-01-03,Moody,1539,7,1717,2,945,3,302
2017-01-03,Oglala Lakota,568,9,5705,1,1719,65,613
2017-01-03,Pennington,35099,349,17631,92,18636,142,6226
2017-01-03,Perkins,1412,6,444,3,324,3,167
2017-01-03,Potter,1376,1,316,2,170,2,51
2017-01-03,Roberts,1894,10,3352,4,1281,18,499
2017-01-03,Sanborn,841,3,535,1,217,3,65
2017-01-03,Spink,2024,5,1559,1,659,6,260
2017-01-03,Stanley,1361,4,507,2,276,,17
2017-01-03,Sully,761,,238,,111,1,22
2017-01-03,Todd,713,6,3164,3,808,10,750
2017-01-03,Tripp,2216,2,1016,7,520,1,277
2017-01-03,Turner,3051,6,1519,3,1033,10,321
2017-01-03,Union,5332,26,2917,8,3015,15,1356
2017-01-03,Walworth,2443,6,826,5,465,1,323
2017-01-03,Yankton,6035,50,4436,8,3184,16,1302
2017-01-03,Ziebach,405,3,898,,289,6,117
