date,county,democratic,libertarian,republican,npa_ind,other,inactive
2023-06-01,Aurora,562,4,943,316,2,97
2023-06-01,Beadle,2754,21,4913,2439,37,628
2023-06-01,Bennett,728,5,717,414,2,182
2023-06-01,Bon Homme,952,11,2262,680,2,293
2023-06-01,Brookings,5156,101,9245,6111,34,1442
2023-06-01,Brown,7537,90,12043,5054,49,1443
2023-06-01,Brule,959,12,1685,640,6,113
2023-06-01,Buffalo,577,2,167,167,3,72
2023-06-01,Butte,830,55,4406,1499,13,1298
2023-06-01,Campbell,105,1,929,102,,90
2023-06-01,Charles Mix,1884,9,2629,894,5,369
2023-06-01,Clark,588,4,1587,369,16,163
2023-06-01,Clay,3026,37,2958,2546,19,737
2023-06-01,Codington,4098,57,9720,4001,26,1523
2023-06-01,Corson,1054,6,731,516,3,215
2023-06-01,Custer,1099,34,4847,1671,35,1122
2023-06-01,Davison,2883,32,6439,3007,38,1241
2023-06-01,Day,1404,12,1832,706,15,147
2023-06-01,Deuel,667,9,1660,695,9,176
2023-06-01,Dewey,1863,3,751,714,8,231
2023-06-01,Douglas,237,,1689,223,,64
2023-06-01,Edmunds,565,7,1718,391,3,174
2023-06-01,Fall River,906,39,3666,1402,31,604
2023-06-01,Faulk,210,,1089,241,2,55
2023-06-01,Grant,1142,17,2626,1010,10,367
2023-06-01,Gregory,687,3,1764,403,1,165
2023-06-01,Haakon,127,5,1147,116,1,58
2023-06-01,Hamlin,609,9,2940,594,3,151
2023-06-01,Hand,426,8,1564,230,4,113
2023-06-01,Hanson,658,6,1809,836,11,535
2023-06-01,Harding,72,6,820,107,,56
2023-06-01,Hughes,2208,51,7315,2177,22,844
2023-06-01,Hutchinson,776,12,3404,771,7,189
2023-06-01,Hyde,165,1,665,110,3,28
2023-06-01,Jackson,634,9,884,324,9,74
2023-06-01,Jerauld,369,5,673,190,1,60
2023-06-01,Jones,68,1,516,83,1,41
2023-06-01,Kingsbury,740,9,2249,645,3,303
2023-06-01,Lake,2101,26,4169,1641,9,1845
2023-06-01,Lawrence,3862,158,11342,5196,49,2204
2023-06-01,Lincoln,10000,223,23391,11846,76,4559
2023-06-01,Lyman,710,7,1149,358,1,56
2023-06-01,Marshall,1010,6,1253,533,4,210
2023-06-01,McCook,836,12,2271,761,6,120
2023-06-01,McPherson,217,8,1304,211,2,195
2023-06-01,Meade,3038,156,12408,4736,34,841
2023-06-01,Mellette,421,3,492,218,1,79
2023-06-01,Miner,472,3,789,333,3,79
2023-06-01,Minnehaha,36982,717,56040,39023,309,16978
2023-06-01,Moody,1361,14,1799,1023,3,340
2023-06-01,Oglala Lakota,5372,20,549,2024,44,812
2023-06-01,Pennington,18093,677,44660,24021,286,7739
2023-06-01,Perkins,282,5,1506,340,6,192
2023-06-01,Potter,207,3,1338,155,4,136
2023-06-01,Roberts,2581,14,2150,1467,22,453
2023-06-01,Sanborn,362,7,958,270,3,94
2023-06-01,Spink,1069,11,2465,636,8,197
2023-06-01,Stanley,362,6,1514,276,11,213
2023-06-01,Sully,180,4,806,147,3,57
2023-06-01,Todd,2854,8,695,1088,7,808
2023-06-01,Tripp,662,9,2354,563,10,414
2023-06-01,Turner,1204,12,3471,1214,15,194
2023-06-01,Union,2496,40,6224,3699,15,2067
2023-06-01,Walworth,637,9,2454,522,8,507
2023-06-01,Yankton,3628,64,7206,3787,17,1460
2023-06-01,Ziebach,791,7,428,394,3,112
