date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-07-01,Aurora,456,2,1011,227,3,101,72
2026-07-01,Beadle,2260,29,5350,1323,44,1195,697
2026-07-01,Bennett,651,7,727,201,2,199,127
2026-07-01,Bon Homme,797,10,2451,467,,234,252
2026-07-01,Brookings,4895,94,10516,3559,21,2804,1291
2026-07-01,Brown,5859,85,12979,3023,8,1834,2773
2026-07-01,Brule,806,12,1819,426,2,215,182
2026-07-01,Buffalo,522,4,161,85,4,110,54
2026-07-01,Butte,718,54,4718,820,24,665,988
2026-07-01,Campbell,91,2,898,63,,47,77
2026-07-01,Charles Mix,1684,7,2818,579,,380,290
2026-07-01,Clark,456,4,1766,244,,176,150
2026-07-01,Clay,2701,37,3091,1384,20,1081,1074
2026-07-01,Codington,3514,56,10723,2496,22,2159,1606
2026-07-01,Corson,914,4,758,270,3,302,210
2026-07-01,Custer,989,40,5309,1096,26,674,706
2026-07-01,Davison,2627,34,7168,1867,34,1534,730
2026-07-01,Day,1132,10,2059,544,3,182,163
2026-07-01,Deuel,525,8,1853,470,1,307,69
2026-07-01,Dewey,1746,5,812,427,3,446,167
2026-07-01,Douglas,179,2,1695,120,,95,92
2026-07-01,Edmunds,428,6,1842,234,2,175,133
2026-07-01,Fall River,763,31,3956,778,3,643,901
2026-07-01,Faulk,149,,1152,196,,37,85
2026-07-01,Grant,933,19,2790,649,8,387,294
2026-07-01,Gregory,548,4,1925,303,,99,155
2026-07-01,Haakon,101,3,1154,83,4,31,53
2026-07-01,Hamlin,499,8,3118,363,1,295,211
2026-07-01,Hand,335,10,1665,178,3,55,57
2026-07-01,Hanson,480,4,1820,425,8,351,485
2026-07-01,Harding,55,4,829,70,3,48,32
2026-07-01,Hughes,1951,48,7426,1305,16,1029,971
2026-07-01,Hutchinson,664,15,3468,500,6,324,170
2026-07-01,Hyde,135,3,656,96,,31,48
2026-07-01,Jackson,555,7,931,164,1,175,115
2026-07-01,Jerauld,303,6,775,129,2,86,33
2026-07-01,Jones,52,1,508,51,,27,61
2026-07-01,Kingsbury,565,9,2355,357,3,333,245
2026-07-01,Lake,1718,25,4428,921,6,617,1477
2026-07-01,Lawrence,3765,162,12734,3278,52,2930,1926
2026-07-01,Lincoln,9926,212,27135,7807,91,5552,4007
2026-07-01,Lyman,624,4,1179,221,1,190,53
2026-07-01,Marshall,869,2,1373,359,3,185,132
2026-07-01,McCook,716,10,2465,472,4,277,169
2026-07-01,McPherson,163,7,1327,110,1,66,64
2026-07-01,Meade,2573,142,13205,2746,27,2114,1465
2026-07-01,Mellette,391,,505,214,,71,66
2026-07-01,Miner,386,4,879,218,1,107,62
2026-07-01,Minnehaha,34437,679,60811,22092,220,18996,13572
2026-07-01,Moody,1226,15,2076,686,4,418,111
2026-07-01,Oglala Lakota,5032,17,591,928,1,1225,760
2026-07-01,Pennington,16682,625,46612,12671,229,11500,11391
2026-07-01,Perkins,228,5,1601,176,4,143,169
2026-07-01,Potter,161,,1373,110,5,53,91
2026-07-01,Roberts,2198,9,2341,901,14,655,434
2026-07-01,Sanborn,336,7,1011,162,1,110,71
2026-07-01,Spink,866,12,2615,433,4,250,193
2026-07-01,Stanley,309,8,1622,188,,127,170
2026-07-01,Sully,140,4,857,103,1,42,65
2026-07-01,Todd,2599,6,654,603,3,538,628
2026-07-01,Tripp,502,4,2502,319,4,177,301
2026-07-01,Turner,1044,18,3796,854,2,373,206
2026-07-01,Union,2140,50,6790,2098,11,1475,1455
2026-07-01,Walworth,524,10,2448,316,9,289,367
2026-07-01,Yankton,3122,56,7807,2371,22,1300,1290
2026-07-01,Ziebach,703,4,436,180,1,270,83
