date,county,libertarian,republican,democratic,npa_ind,other,inactive
2020-11-02,Aurora,1,861,671,278,2,94
2020-11-02,Beadle,16,4538,3084,2296,42,424
2020-11-02,Bennett,3,713,765,362,2,182
2020-11-02,Bon Homme,9,2195,1097,657,2,248
2020-11-02,Brookings,88,8424,5361,5769,42,1174
2020-11-02,Brown,77,11056,8029,4688,51,2573
2020-11-02,Brule,7,1572,1089,600,5,184
2020-11-02,Buffalo,1,164,616,150,2,87
2020-11-02,Butte,48,4103,926,1325,15,1204
2020-11-02,Campbell,,910,120,90,,82
2020-11-02,Charles Mix,6,2464,2099,840,3,422
2020-11-02,Clark,2,1452,655,365,13,151
2020-11-02,Clay,39,2620,3002,2341,15,727
2020-11-02,Codington,44,8949,4508,3945,31,1211
2020-11-02,Corson,9,696,1146,523,5,203
2020-11-02,Custer,24,4236,1154,1540,31,975
2020-11-02,Davison,24,5938,3158,2676,31,1236
2020-11-02,Day,9,1639,1589,664,11,197
2020-11-02,Deuel,8,1517,765,700,8,152
2020-11-02,Dewey,3,748,2045,651,9,191
2020-11-02,Douglas,,1636,278,208,,53
2020-11-02,Edmunds,6,1564,692,405,3,154
2020-11-02,Fall River,28,3266,932,1223,35,621
2020-11-02,Faulk,,1060,241,232,1,63
2020-11-02,Grant,9,2484,1313,971,11,296
2020-11-02,Gregory,5,1721,811,374,,85
2020-11-02,Haakon,3,1104,152,130,1,66
2020-11-02,Hamlin,5,2646,660,570,2,215
2020-11-02,Hand,2,1524,530,242,3,151
2020-11-02,Hanson,6,1795,761,815,7,638
2020-11-02,Harding,4,803,86,91,,59
2020-11-02,Hughes,46,7220,2406,2095,24,506
2020-11-02,Hutchinson,6,3396,954,770,9,25
2020-11-02,Hyde,,670,186,108,2,13
2020-11-02,Jackson,9,881,674,317,10,99
2020-11-02,Jerauld,6,648,407,190,2,57
2020-11-02,Jones,1,531,88,85,1,26
2020-11-02,Kingsbury,7,2100,888,615,3,216
2020-11-02,Lake,31,4253,2396,1887,8,1354
2020-11-02,Lawrence,123,9893,3808,4343,42,2329
2020-11-02,Lincoln,160,20629,9744,10575,65,3893
2020-11-02,Lyman,6,1141,783,315,1,62
2020-11-02,Marshall,7,1163,1109,538,4,224
2020-11-02,McCook,13,1986,980,766,8,166
2020-11-02,McPherson,8,1286,244,236,2,156
2020-11-02,Meade,116,11078,3154,4185,39,790
2020-11-02,Mellette,3,516,464,178,1,42
2020-11-02,Miner,4,675,560,332,3,77
2020-11-02,Minnehaha,569,51524,37460,35645,336,16996
2020-11-02,Moody,10,1616,1530,1012,3,365
2020-11-02,Oglala Lakota,17,523,5419,1943,52,882
2020-11-02,Pennington,536,39684,17978,22400,257,8544
2020-11-02,Perkins,5,1474,329,342,6,133
2020-11-02,Potter,1,1314,253,163,4,152
2020-11-02,Roberts,10,2056,2944,1374,26,259
2020-11-02,Sanborn,3,883,430,238,4,83
2020-11-02,Spink,5,2254,1291,642,6,141
2020-11-02,Stanley,2,1420,408,273,8,174
2020-11-02,Sully,2,771,199,128,3,74
2020-11-02,Todd,6,704,2946,960,7,856
2020-11-02,Tripp,6,2294,782,558,11,376
2020-11-02,Turner,11,3287,1330,1174,14,181
2020-11-02,Union,32,5927,2725,3584,17,1562
2020-11-02,Walworth,8,2527,786,508,6,262
2020-11-02,Yankton,63,6651,3981,3756,18,1344
2020-11-02,Ziebach,6,409,862,373,3,116
