date,county,republican,democratic,libertarian,constitution,other,independent,inactive
2010-05-24,Aurora,752,966,3,,,175,129
2010-05-24,Beadle,4441,4713,21,4,103,1587,1076
2010-05-24,Bennett,638,1031,1,,,178,520
2010-05-24,Bon Homme,1906,1684,6,,,481,191
2010-05-24,Brookings,7506,6532,51,8,29,4269,2136
2010-05-24,Brown,9262,10356,41,2,20,3085,2749
2010-05-24,Brule,1363,1638,4,6,1,444,188
2010-05-24,Buffalo,166,782,,,,88,125
2010-05-24,Butte,3774,1428,31,9,,993,389
2010-05-24,Campbell,966,184,4,4,,73,46
2010-05-24,Charles Mix,2018,2922,1,,3,537,892
2010-05-24,Clark,1529,1008,1,1,1,222,137
2010-05-24,Clay,2589,3862,30,1,14,1936,1250
2010-05-24,Codington,7048,6477,23,5,11,2751,1711
2010-05-24,Corson,668,1397,7,,4,285,400
2010-05-24,Custer,3289,1401,15,12,3,979,492
2010-05-24,Davison,5144,4385,12,5,9,1664,1257
2010-05-24,Day,1489,2261,3,1,,492,385
2010-05-24,Deuel,1222,1165,1,4,,552,215
2010-05-24,Dewey,720,2349,1,,10,365,260
2010-05-24,Douglas,1645,454,1,,,141,109
2010-05-24,Edmunds,1418,1118,3,,3,242,144
2010-05-24,Fall River,2829,1341,12,3,14,932,697
2010-05-24,Faulk,831,548,1,,2,266,26
2010-05-24,Grant,2279,1969,2,2,2,868,423
2010-05-24,Gregory,1494,1218,1,1,,213,431
2010-05-24,Haakon,1088,278,,,,65,110
2010-05-24,Hamlin,2120,1141,,3,1,459,255
2010-05-24,Hand,1400,942,1,1,1,224,198
2010-05-24,Hanson,1526,1118,5,2,,771,210
2010-05-24,Harding,707,148,,,,64,37
2010-05-24,Hughes,6725,2697,17,1,4,1231,1267
2010-05-24,Hutchinson,3123,1223,7,5,,372,751
2010-05-24,Hyde,718,268,2,,4,53,110
2010-05-24,Jackson,842,724,2,,,194,209
2010-05-24,Jerauld,587,593,1,,,125,87
2010-05-24,Jones,545,144,5,1,,63,60
2010-05-24,Kingsbury,1854,1251,2,1,,429,346
2010-05-24,Lake,3710,3292,19,4,9,1150,746
2010-05-24,Lawrence,8864,5061,84,9,18,2997,849
2010-05-24,Lincoln,13639,8355,44,22,20,4916,2114
2010-05-24,Lyman,1088,1105,4,2,1,170,273
2010-05-24,Marshall,1028,1481,4,,1,273,357
2010-05-24,McCook,1802,1449,4,7,,525,301
2010-05-24,McPherson,1328,360,1,,2,157,190
2010-05-24,Meade,8797,4045,38,10,,2714,3621
2010-05-24,Mellette,545,560,1,,,110,159
2010-05-24,Miner,587,881,2,,1,212,161
2010-05-24,Minnehaha,43449,41396,232,120,142,18414,10315
2010-05-24,Moody,1493,2084,7,,,721,460
2010-05-24,Pennington,31132,18863,203,33,99,12061,5745
2010-05-24,Perkins,1302,607,3,4,,257,177
2010-05-24,Potter,1276,463,,1,,105,132
2010-05-24,Roberts,1820,3634,7,9,5,959,952
2010-05-24,Sanborn,836,726,2,,,124,148
2010-05-24,Shannon,578,5760,8,,45,1039,1237
2010-05-24,Spink,2123,1796,6,3,2,472,367
2010-05-24,Stanley,1238,636,3,1,,183,238
2010-05-24,Sully,669,301,3,,,81,47
2010-05-24,Todd,796,3559,4,,10,595,981
2010-05-24,Tripp,2130,1325,4,2,,375,350
2010-05-24,Turner,3106,1832,5,6,1,769,412
2010-05-24,Union,4655,3467,8,4,1,2213,1121
2010-05-24,Walworth,2279,1016,6,2,,434,516
2010-05-24,Yankton,5911,5319,32,7,9,2302,1236
2010-05-24,Ziebach,383,934,3,,4,207,202
