date,county,republican,democratic,other
1986-05-19,Aurora,887,1291,93
1986-05-19,Beadle,4591,6005,1051
1986-05-19,Bennett,857,1054,106
1986-05-19,Bon Homme,2576,2242,223
1986-05-19,Brookings,6952,4843,2220
1986-05-19,Brown,9430,11102,1741
1986-05-19,Brule,1250,2041,122
1986-05-19,Buffalo,281,684,67
1986-05-19,Butte,3286,1101,165
1986-05-19,Campbell,1478,217,29
1986-05-19,Charles Mix,1910,3336,232
1986-05-19,Clark,1851,1278,141
1986-05-19,Clay,3048,3394,923
1986-05-19,Codington,5157,5525,1491
1986-05-19,Corson,1057,1420,141
1986-05-19,Custer,2190,1203,421
1986-05-19,Davison,4248,4889,888
1986-05-19,Day,2043,2757,220
1986-05-19,Deuel,1503,1265,307
1986-05-19,Dewey,1068,1286,177
1986-05-19,Douglas,1981,637,86
1986-05-19,Edmunds,1517,1514,119
1986-05-19,Fall River,2816,1896,518
1986-05-19,Faulk,1006,953,187
1986-05-19,Grant,2598,2266,547
1986-05-19,Gregory,1799,1922,134
1986-05-19,Haakon,1183,493,53
1986-05-19,Hamlin,1961,1246,272
1986-05-19,Hand,1735,1375,213
1986-05-19,Hanson,799,927,267
1986-05-19,Harding,766,329,51
1986-05-19,Hughes,5286,2805,882
1986-05-19,Hutchinson,4213,1397,109
1986-05-19,Hyde,686,652,74
1986-05-19,Jackson,998,593,57
1986-05-19,Jerauld,967,879,124
1986-05-19,Jones,646,330,26
1986-05-19,Kingsbury,2553,1385,222
1986-05-19,Lake,3529,2892,362
1986-05-19,Lawrence,6227,3659,908
1986-05-19,Lincoln,4353,3303,742
1986-05-19,Lyman,1273,842,67
1986-05-19,Marshall,1405,1848,91
1986-05-19,McCook,2201,1959,386
1986-05-19,McPherson,2104,491,87
1986-05-19,Meade,5531,3600,872
1986-05-19,Mellette,718,665,93
1986-05-19,Miner,851,1370,152
1986-05-19,Minnehaha,32508,31482,5249
1986-05-19,Moody,1643,1969,402
1986-05-19,Pennington,22105,14449,4026
1986-05-19,Perkins,1655,1142,154
1986-05-19,Potter,1737,678,64
1986-05-19,Roberts,2025,3575,547
1986-05-19,Sanborn,1084,947,116
1986-05-19,Shannon,681,2709,318
1986-05-19,Spink,2262,2581,409
1986-05-19,Stanley,831,709,122
1986-05-19,Sully,767,520,50
1986-05-19,Todd,793,2040,280
1986-05-19,Tripp,2484,1952,300
1986-05-19,Turner,3653,1662,317
1986-05-19,Union,2296,3095,609
1986-05-19,Walworth,2729,1222,222
1986-05-19,Yankton,5362,4248,801
1986-05-19,Ziebach,515,501,84
