date,county,republican,democratic,libertarian,other
1994-11-08,Aurora,857,1187,0,76
1994-11-08,Beadle,4564,5816,11,1213
1994-11-08,Bennett,695,881,0,95
1994-11-08,Bon Homme,2338,1907,2,213
1994-11-08,Brookings,7552,5364,19,2580
1994-11-08,Brown,9141,10651,10,2084
1994-11-08,Brule,1232,1900,0,200
1994-11-08,Buffalo,211,665,0,29
1994-11-08,Butte,3115,1226,10,300
1994-11-08,Campbell,1244,217,0,32
1994-11-08,Charles Mix,1841,2878,2,252
1994-11-08,Clark,1672,1080,0,153
1994-11-08,Clay,3292,3535,8,1210
1994-11-08,Codington,5924,6241,5,1885
1994-11-08,Corson,867,998,0,137
1994-11-08,Custer,2605,1190,10,552
1994-11-08,Davison,4635,4747,7,1055
1994-11-08,Day,1855,2533,0,276
1994-11-08,Deuel,1351,1311,2,332
1994-11-08,Dewey,1000,1887,0,194
1994-11-08,Douglas,1853,547,0,75
1994-11-08,Edmunds,1463,1386,0,179
1994-11-08,Fall River,2513,1629,4,515
1994-11-08,Faulk,928,764,0,50
1994-11-08,Grant,2586,2302,0,551
1994-11-08,Gregory,1614,1594,0,144
1994-11-08,Haakon,1102,433,0,55
1994-11-08,Hamlin,2008,1234,1,272
1994-11-08,Hand,1572,1286,0,180
1994-11-08,Hanson,749,915,0,322
1994-11-08,Harding,776,235,0,28
1994-11-08,Hughes,6650,2800,7,833
1994-11-08,Hutchinson,3937,1296,1,176
1994-11-08,Hyde,688,447,0,67
1994-11-08,Jackson,908,542,1,91
1994-11-08,Jerauld,848,737,2,101
1994-11-08,Jones,686,218,1,29
1994-11-08,Kingsbury,2353,1332,1,253
1994-11-08,Lake,3501,2917,1,461
1994-11-08,Lawrence,7273,4225,42,1416
1994-11-08,Lincoln,5426,3847,2,1048
1994-11-08,Lyman,1230,775,2,69
1994-11-08,Marshall,1194,1580,1,128
1994-11-08,McCook,1811,1600,1,299
1994-11-08,McPherson,1676,421,0,110
1994-11-08,Meade,7397,4174,14,1601
1994-11-08,Mellette,660,606,0,58
1994-11-08,Miner,722,1083,0,164
1994-11-08,Minnehaha,36931,34213,125,7635
1994-11-08,Moody,1567,1963,0,378
1994-11-08,Pennington,26093,16323,163,6525
1994-11-08,Perkins,1449,909,1,146
1994-11-08,Potter,1548,615,0,88
1994-11-08,Roberts,1913,3129,1,490
1994-11-08,Sanborn,1014,873,1,81
1994-11-08,Shannon,461,2613,0,514
1994-11-08,Spink,2152,2438,2,415
1994-11-08,Stanley,1017,706,0,162
1994-11-08,Sully,696,467,0,50
1994-11-08,Todd,663,2044,0,384
1994-11-08,Tripp,2364,1637,0,261
1994-11-08,Turner,3342,1812,1,350
1994-11-08,Union,2709,3283,1,870
1994-11-08,Walworth,2546,1060,1,246
1994-11-08,Yankton,5517,4993,6,1152
1994-11-08,Ziebach,447,664,,89
