date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-08-01,Aurora,906,3,598,286,2,98
2022-08-01,Beadle,4712,23,2792,2306,38,648
2022-08-01,Bennett,721,3,723,366,2,193
2022-08-01,Bon Homme,2215,10,976,659,2,310
2022-08-01,Brookings,8790,88,5127,5861,34,1493
2022-08-01,Brown,11681,93,7619,4921,48,1897
2022-08-01,Brule,1636,11,988,592,6,124
2022-08-01,Buffalo,167,1,591,160,3,76
2022-08-01,Butte,4213,51,841,1370,15,1338
2022-08-01,Campbell,921,,103,91,,98
2022-08-01,Charles Mix,2565,9,1939,832,5,415
2022-08-01,Clark,1541,4,599,367,14,178
2022-08-01,Clay,2797,39,2927,2354,19,758
2022-08-01,Codington,9326,54,4150,3896,30,1612
2022-08-01,Corson,714,6,1057,503,3,231
2022-08-01,Custer,4604,32,1118,1604,34,1145
2022-08-01,Davison,6145,29,2911,2713,35,1277
2022-08-01,Day,1776,10,1426,698,16,159
2022-08-01,Deuel,1600,10,688,682,7,184
2022-08-01,Dewey,742,3,1893,652,7,241
2022-08-01,Douglas,1664,,241,197,,67
2022-08-01,Edmunds,1673,6,588,384,3,190
2022-08-01,Fall River,3544,33,899,1341,34,607
2022-08-01,Faulk,1069,,213,233,2,57
2022-08-01,Grant,2555,13,1181,986,11,384
2022-08-01,Gregory,1692,3,710,373,,178
2022-08-01,Haakon,1125,3,135,119,1,62
2022-08-01,Hamlin,2831,6,620,587,1,162
2022-08-01,Hand,1552,7,452,228,4,124
2022-08-01,Hanson,1759,5,674,778,12,545
2022-08-01,Harding,803,5,75,89,,60
2022-08-01,Hughes,7159,54,2229,2093,22,878
2022-08-01,Hutchinson,3313,9,791,734,7,204
2022-08-01,Hyde,659,1,168,111,3,28
2022-08-01,Jackson,856,9,634,314,9,78
2022-08-01,Jerauld,646,6,380,189,2,67
2022-08-01,Jones,511,1,73,78,1,44
2022-08-01,Kingsbury,2205,6,775,603,3,314
2022-08-01,Lake,4048,28,2126,1634,8,1873
2022-08-01,Lawrence,10751,147,3711,4787,44,2211
2022-08-01,Lincoln,22021,204,9692,11094,64,4674
2022-08-01,Lyman,1139,7,736,326,1,64
2022-08-01,Marshall,1202,6,1040,523,4,224
2022-08-01,McCook,2176,13,856,743,6,136
2022-08-01,McPherson,1280,8,219,213,2,206
2022-08-01,Meade,11883,139,3047,4506,35,833
2022-08-01,Mellette,502,3,423,193,1,77
2022-08-01,Miner,726,4,484,309,4,86
2022-08-01,Minnehaha,53849,671,36535,36977,323,17276
2022-08-01,Moody,1708,12,1384,998,4,354
2022-08-01,Oglala Lakota,527,18,5347,1961,47,846
2022-08-01,Pennington,42720,612,17631,23196,270,9923
2022-08-01,Perkins,1473,5,290,322,6,199
2022-08-01,Potter,1321,3,220,157,5,141
2022-08-01,Roberts,2110,13,2675,1369,22,416
2022-08-01,Sanborn,915,5,377,253,4,101
2022-08-01,Spink,2382,10,1126,603,8,214
2022-08-01,Stanley,1456,3,369,271,11,220
2022-08-01,Sully,791,4,182,136,3,63
2022-08-01,Todd,685,5,2846,987,8,862
2022-08-01,Tripp,2303,8,679,547,9,440
2022-08-01,Turner,3352,10,1225,1164,18,205
2022-08-01,Union,5967,33,2499,3586,13,2116
2022-08-01,Walworth,2388,10,647,461,8,540
2022-08-01,Yankton,7026,64,3644,3707,15,1597
2022-08-01,Ziebach,407,7,800,375,3,116
