county,libertarian,republican,democratic,npa_ind,other,inactive
Aurora,1,862,663,277,2,91
Beadle,19,4560,3076,2329,42,395
Bennett,3,715,775,373,2,164
Bon Homme,11,2194,1076,667,2,245
Brookings,90,8504,5360,5856,43,1128
Brown,85,11148,7971,4765,50,2474
Brule,7,1591,1075,594,5,176
Buffalo,1,165,609,150,2,87
Butte,50,4164,920,1356,14,1170
Campbell,,918,120,94,,81
Charles Mix,6,2485,2088,843,4,399
Clark,2,1464,652,371,14,141
Clay,39,2636,3013,2354,17,712
Codington,49,9045,4483,3995,30,1153
Corson,8,695,1153,524,5,198
Custer,25,4269,1151,1576,31,957
Davison,26,5960,3129,2716,30,1205
Day,9,1649,1555,673,10,192
Deuel,8,1527,761,703,8,148
Dewey,3,755,2036,668,8,183
Douglas,1,1642,274,204,,52
Edmunds,6,1591,680,413,3,147
Fall River,32,3280,945,1256,38,608
Faulk,,1052,238,233,1,61
Grant,8,2488,1289,986,12,290
Gregory,5,1717,803,375,,84
Haakon,3,1113,150,131,1,65
Hamlin,6,2648,653,563,2,207
Hand,3,1523,527,240,4,140
Hanson,6,1817,754,825,9,634
Harding,4,808,85,90,,57
Hughes,52,7231,2402,2133,23,489
Hutchinson,6,3392,944,776,9,20
Hyde,,668,186,110,2,13
Jackson,8,880,676,318,9,92
Jerauld,6,639,403,188,2,56
Jones,1,530,85,89,1,23
Kingsbury,8,2107,882,615,3,213
Lake,31,4244,2391,1873,8,1344
Lawrence,127,9977,3813,4457,44,2292
Lincoln,174,20888,9757,10755,65,3821
Lyman,7,1139,782,317,1,60
Marshall,7,1160,1108,537,4,224
McCook,12,1998,972,770,8,160
McPherson,8,1293,243,237,2,154
Meade,114,11238,3157,4244,39,765
Mellette,3,508,454,184,1,39
Miner,4,686,554,329,3,73
Minnehaha,594,52057,37542,36219,339,16492
Moody,11,1627,1516,1013,3,344
Oglala Lakota,18,532,5494,1955,53,835
Pennington,557,40047,18064,22728,257,8378
Perkins,5,1467,326,339,6,129
Potter,1,1319,250,166,4,145
Roberts,11,2076,2929,1380,26,254
Sanborn,5,889,424,240,4,81
Spink,6,2269,1273,645,8,126
Stanley,2,1432,402,283,12,168
Sully,2,776,199,133,3,69
Todd,6,709,2981,974,7,821
Tripp,7,2292,779,559,11,365
Turner,11,3278,1329,1183,14,173
Union,34,5969,2718,3640,17,1548
Walworth,8,2523,785,518,6,251
Yankton,61,6690,3960,3794,16,1314
Ziebach,6,408,854,371,3,113
