date,county,republican,democratic,other
1982-10-18,Aurora,953,1390,110
1982-10-18,Beadle,4768,6515,1055
1982-10-18,Bennett,810,1002,90
1982-10-18,Bon Homme,2908,2555,319
1982-10-18,Brookings,7162,6002,3246
1982-10-18,Brown,9614,12136,1966
1982-10-18,Brule,1188,2158,150
1982-10-18,Buffalo,287,629,62
1982-10-18,Butte,3481,1278,261
1982-10-18,Campbell,1453,262,41
1982-10-18,Charles Mix,1901,3561,245
1982-10-18,Clark,1893,1447,170
1982-10-18,Clay,3062,3387,1188
1982-10-18,Codington,5134,6100,1809
1982-10-18,Corson,1131,1556,193
1982-10-18,Custer,1880,1355,447
1982-10-18,Davison,4265,5410,1081
1982-10-18,Day,2209,3019,248
1982-10-18,Deuel,1790,1350,323
1982-10-18,Dewey,1226,1531,305
1982-10-18,Douglas,2000,750,121
1982-10-18,Edmunds,1652,1647,124
1982-10-18,Fall River,2816,2057,432
1982-10-18,Faulk,1098,1085,87
1982-10-18,Grant,2658,2393,537
1982-10-18,Gregory,1889,2140,151
1982-10-18,Haakon,1164,556,69
1982-10-18,Hamlin,2066,1374,275
1982-10-18,Hand,1782,1482,180
1982-10-18,Hanson,861,987,292
1982-10-18,Harding,786,364,47
1982-10-18,Hughes,4894,2981,969
1982-10-18,Hutchinson,4395,1528,121
1982-10-18,Hyde,697,704,70
1982-10-18,Jackson,1033,710,76
1982-10-18,Jerauld,1047,947,125
1982-10-18,Jones,656,398,44
1982-10-18,Kingsbury,2667,1477,259
1982-10-18,Lake,3287,3281,437
1982-10-18,Lawrence,5854,3619,978
1982-10-18,Lincoln,4298,3588,795
1982-10-18,Lyman,1307,940,72
1982-10-18,Marshall,1533,2044,104
1982-10-18,McCook,2025,1937,377
1982-10-18,McPherson,2329,507,108
1982-10-18,Meade,4887,3655,828
1982-10-18,Mellette,751,701,106
1982-10-18,Miner,918,1476,193
1982-10-18,Minnehaha,31295,33285,5434
1982-10-18,Moody,1639,2243,522
1982-10-18,Pennington,19343,15705,4043
1982-10-18,Perkins,1741,1299,192
1982-10-18,Potter,1755,796,68
1982-10-18,Roberts,2015,3768,585
1982-10-18,Sanborn,1128,1094,139
1982-10-18,Shannon,462,2977,416
1982-10-18,Spink,2373,2883,422
1982-10-18,Stanley,849,732,152
1982-10-18,Sully,842,575,53
1982-10-18,Todd,835,2457,343
1982-10-18,Tripp,2421,2048,303
1982-10-18,Turner,3763,1813,436
1982-10-18,Union,2554,3367,679
1982-10-18,Walworth,2887,1437,235
1982-10-18,Yankton,5501,4650,935
1982-10-18,Ziebach,574,608,138
