date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-06-07,Aurora,902,1,609,282,2,102
2022-06-07,Beadle,4636,23,2819,2312,41,651
2022-06-07,Bennett,711,3,720,365,2,195
2022-06-07,Bon Homme,2192,10,988,664,3,311
2022-06-07,Brookings,8693,88,5124,5838,34,1501
2022-06-07,Brown,11582,94,7667,4867,48,1905
2022-06-07,Brule,1623,11,996,593,5,125
2022-06-07,Buffalo,170,1,593,157,3,76
2022-06-07,Butte,4147,50,849,1354,17,1357
2022-06-07,Campbell,905,,104,96,,99
2022-06-07,Charles Mix,2535,8,1964,837,5,421
2022-06-07,Clark,1515,4,606,377,14,178
2022-06-07,Clay,2746,40,2928,2340,19,761
2022-06-07,Codington,9195,54,4185,3904,30,1626
2022-06-07,Corson,704,5,1069,499,3,233
2022-06-07,Custer,4486,30,1120,1608,33,1145
2022-06-07,Davison,6070,27,2945,2704,35,1291
2022-06-07,Day,1736,10,1438,703,16,161
2022-06-07,Deuel,1576,10,689,688,7,187
2022-06-07,Dewey,726,3,1905,638,7,248
2022-06-07,Douglas,1645,,246,205,,68
2022-06-07,Edmunds,1648,6,601,389,3,193
2022-06-07,Fall River,3496,33,900,1336,34,613
2022-06-07,Faulk,1075,,213,228,2,57
2022-06-07,Grant,2523,13,1195,977,11,386
2022-06-07,Gregory,1681,3,712,371,,179
2022-06-07,Haakon,1112,3,136,125,1,63
2022-06-07,Hamlin,2795,6,627,585,1,162
2022-06-07,Hand,1548,7,456,223,4,126
2022-06-07,Hanson,1724,5,687,774,12,549
2022-06-07,Harding,797,5,74,90,,60
2022-06-07,Hughes,7128,51,2245,2089,21,889
2022-06-07,Hutchinson,3269,8,799,740,6,205
2022-06-07,Hyde,663,,170,111,3,28
2022-06-07,Jackson,854,9,635,316,9,79
2022-06-07,Jerauld,637,6,386,185,2,67
2022-06-07,Jones,509,1,76,76,1,44
2022-06-07,Kingsbury,2186,5,779,600,3,317
2022-06-07,Lake,4057,28,2133,1646,8,1876
2022-06-07,Lawrence,10509,144,3684,4690,45,2233
2022-06-07,Lincoln,21641,205,9651,11026,65,4706
2022-06-07,Lyman,1127,7,741,327,1,67
2022-06-07,Marshall,1189,6,1044,528,3,228
2022-06-07,McCook,2142,13,866,744,7,137
2022-06-07,McPherson,1274,8,225,216,2,208
2022-06-07,Meade,11669,135,3054,4515,35,837
2022-06-07,Mellette,497,3,424,192,1,78
2022-06-07,Miner,720,4,487,307,4,86
2022-06-07,Minnehaha,52987,645,36499,36709,321,17370
2022-06-07,Moody,1677,12,1394,999,4,359
2022-06-07,Oglala Lakota,519,18,5335,1957,47,851
2022-06-07,Pennington,41911,608,17507,23062,269,9993
2022-06-07,Perkins,1466,5,295,323,6,200
2022-06-07,Potter,1323,3,221,158,5,142
2022-06-07,Roberts,2070,13,2693,1377,22,418
2022-06-07,Sanborn,914,5,380,252,4,103
2022-06-07,Spink,2362,8,1140,606,8,218
2022-06-07,Stanley,1454,3,365,271,11,221
2022-06-07,Sully,780,4,187,133,3,63
2022-06-07,Todd,680,6,2844,976,8,868
2022-06-07,Tripp,2292,8,684,550,9,445
2022-06-07,Turner,3319,10,1242,1161,17,207
2022-06-07,Union,5858,33,2504,3582,13,2121
2022-06-07,Walworth,2385,10,652,465,8,541
2022-06-07,Yankton,6961,67,3631,3686,14,1607
2022-06-07,Ziebach,408,7,796,372,3,118
