date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2016-12-01,Aurora,806,1,826,,245,3,94
2016-12-01,Beadle,4392,20,3571,4,2030,43,1053
2016-12-01,Bennett,694,1,893,,324,2,205
2016-12-01,Bon Homme,1954,11,1401,2,626,1,206
2016-12-01,Brookings,7531,77,5471,24,5204,19,2558
2016-12-01,Brown,10100,62,8965,7,4210,38,2494
2016-12-01,Brule,1476,11,1332,5,562,2,201
2016-12-01,Buffalo,170,,665,,108,2,49
2016-12-01,Butte,4105,33,1168,8,1412,6,495
2016-12-01,Campbell,915,,144,,91,,100
2016-12-01,Charles Mix,2218,3,2455,2,788,,455
2016-12-01,Clark,1394,2,789,2,367,2,176
2016-12-01,Clay,2494,35,3107,2,2114,8,1164
2016-12-01,Codington,7627,33,5274,15,3800,31,1583
2016-12-01,Corson,674,7,1280,2,416,7,206
2016-12-01,Custer,3714,14,1223,12,1393,23,547
2016-12-01,Davison,5459,20,3648,2,2411,23,1105
2016-12-01,Day,1513,8,1951,2,655,12,197
2016-12-01,Deuel,1271,7,903,7,694,1,212
2016-12-01,Dewey,710,3,2106,1,556,4,153
2016-12-01,Douglas,1580,2,344,,195,,141
2016-12-01,Edmunds,1507,8,866,,423,6,176
2016-12-01,Fall River,2849,14,1042,2,1172,30,642
2016-12-01,Faulk,847,1,421,1,279,,89
2016-12-01,Grant,2337,9,1557,2,963,12,461
2016-12-01,Gregory,1526,4,981,2,321,,149
2016-12-01,Haakon,1050,1,208,,122,1,47
2016-12-01,Hamlin,2405,2,818,3,600,1,223
2016-12-01,Hand,1480,3,690,1,278,1,152
2016-12-01,Hanson,1722,3,898,2,776,2,483
2016-12-01,Harding,780,3,110,,78,,54
2016-12-01,Hughes,6878,35,2428,5,1782,15,919
2016-12-01,Hutchinson,3186,4,1056,7,602,4,285
2016-12-01,Hyde,664,2,231,1,103,4,41
2016-12-01,Jackson,858,4,720,1,281,18,81
2016-12-01,Jerauld,609,1,486,3,182,,81
2016-12-01,Jones,521,1,108,,80,,36
2016-12-01,Kingsbury,1821,5,1042,1,610,2,202
2016-12-01,Lake,4681,32,3179,5,2275,6,530
2016-12-01,Lawrence,9084,89,4033,11,3904,19,1957
2016-12-01,Lincoln,17360,84,8874,30,8543,26,2463
2016-12-01,Lyman,1135,4,871,1,267,2,151
2016-12-01,Marshall,1069,9,1247,,480,1,247
2016-12-01,McCook,1811,14,1163,6,656,,237
2016-12-01,McPherson,1321,2,294,,236,,71
2016-12-01,Meade,9569,74,3237,33,3570,7,1845
2016-12-01,Mellette,502,1,524,1,143,,87
2016-12-01,Miner,588,2,675,2,288,1,109
2016-12-01,Minnehaha,47131,395,38570,140,29074,154,11659
2016-12-01,Moody,1535,7,1717,2,942,3,302
2016-12-01,Oglala Lakota,569,8,5692,1,1695,65,611
2016-12-01,Pennington,35089,345,17664,92,18577,142,6258
2016-12-01,Perkins,1410,6,446,3,322,3,167
2016-12-01,Potter,1377,1,315,2,171,2,51
2016-12-01,Roberts,1894,10,3362,4,1273,18,501
2016-12-01,Sanborn,842,3,536,1,216,3,67
2016-12-01,Spink,2025,5,1565,1,658,6,260
2016-12-01,Stanley,1360,4,508,2,274,,18
2016-12-01,Sully,759,,239,,110,1,22
2016-12-01,Todd,713,6,3164,3,809,10,751
2016-12-01,Tripp,2217,2,1017,7,520,1,277
2016-12-01,Turner,3054,6,1523,3,1034,10,322
2016-12-01,Union,5316,26,2909,8,3015,14,1353
2016-12-01,Walworth,2444,6,829,5,467,1,324
2016-12-01,Yankton,6036,50,4441,8,3170,16,1306
2016-12-01,Ziebach,404,3,899,,287,6,117
