date,county,libertarian,republican,democratic,npa_ind,other,inactive
2020-12-01,Aurora,1,862,667,277,2,93
2020-12-01,Beadle,16,4535,3080,2294,42,422
2020-12-01,Bennett,3,719,775,372,2,166
2020-12-01,Bon Homme,11,2201,1084,666,2,245
2020-12-01,Brookings,90,8446,5358,5794,42,1159
2020-12-01,Brown,84,11174,8007,4747,50,2482
2020-12-01,Brule,7,1583,1091,594,5,177
2020-12-01,Buffalo,1,164,614,150,2,87
2020-12-01,Butte,49,4126,925,1325,15,1185
2020-12-01,Campbell,,910,121,90,,82
2020-12-01,Charles Mix,6,2477,2097,844,3,408
2020-12-01,Clark,2,1465,655,371,15,144
2020-12-01,Clay,39,2631,3008,2353,17,719
2020-12-01,Codington,46,9036,4491,3977,30,1161
2020-12-01,Corson,8,695,1153,522,5,201
2020-12-01,Custer,25,4258,1152,1555,31,960
2020-12-01,Davison,26,5963,3136,2700,30,1206
2020-12-01,Day,9,1654,1572,666,11,194
2020-12-01,Deuel,8,1513,763,700,8,152
2020-12-01,Dewey,3,753,2048,664,9,187
2020-12-01,Douglas,1,1643,277,205,,52
2020-12-01,Edmunds,6,1580,690,410,3,149
2020-12-01,Fall River,28,3268,937,1231,37,620
2020-12-01,Faulk,,1052,238,232,1,61
2020-12-01,Grant,9,2493,1303,979,12,296
2020-12-01,Gregory,5,1715,808,370,,84
2020-12-01,Haakon,3,1108,150,130,1,65
2020-12-01,Hamlin,5,2643,659,567,2,215
2020-12-01,Hand,3,1528,531,241,4,141
2020-12-01,Hanson,6,1811,757,824,9,635
2020-12-01,Harding,4,804,86,90,,58
2020-12-01,Hughes,50,7238,2406,2121,24,484
2020-12-01,Hutchinson,7,3408,950,774,9,22
2020-12-01,Hyde,,670,187,108,2,13
2020-12-01,Jackson,9,886,678,320,9,98
2020-12-01,Jerauld,6,641,406,188,2,57
2020-12-01,Jones,1,531,87,88,1,24
2020-12-01,Kingsbury,7,2109,887,618,3,214
2020-12-01,Lake,31,4249,2397,1887,8,1351
2020-12-01,Lawrence,127,9980,3814,4384,43,2288
2020-12-01,Lincoln,164,20795,9758,10672,64,3826
2020-12-01,Lyman,7,1139,785,319,1,61
2020-12-01,Marshall,7,1162,1109,538,4,224
2020-12-01,McCook,13,2001,971,774,8,161
2020-12-01,McPherson,8,1291,245,237,2,155
2020-12-01,Meade,113,11211,3153,4226,39,769
2020-12-01,Mellette,3,511,456,184,1,39
2020-12-01,Miner,4,681,557,334,3,74
2020-12-01,Minnehaha,566,51468,37396,35605,336,16943
2020-12-01,Moody,10,1617,1521,1009,3,359
2020-12-01,Oglala Lakota,17,525,5442,1959,53,861
2020-12-01,Pennington,546,39932,18044,22493,258,8450
2020-12-01,Perkins,5,1472,329,341,6,132
2020-12-01,Potter,1,1320,255,165,4,147
2020-12-01,Roberts,10,2068,2947,1373,26,255
2020-12-01,Sanborn,5,890,427,240,4,82
2020-12-01,Spink,5,2245,1279,639,6,139
2020-12-01,Stanley,2,1413,408,272,8,174
2020-12-01,Sully,2,770,199,131,3,69
2020-12-01,Todd,6,711,2978,972,7,821
2020-12-01,Tripp,7,2301,783,560,11,366
2020-12-01,Turner,10,3290,1334,1179,14,173
2020-12-01,Union,33,5953,2719,3593,17,1558
2020-12-01,Walworth,8,2525,786,509,6,260
2020-12-01,Yankton,63,6695,3972,3779,18,1319
2020-12-01,Ziebach,6,411,860,375,3,115
