date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2023-09-01,Aurora,556,4,954,229,2,93,,76
2023-09-01,Beadle,2729,22,4929,1425,38,1045,,419
2023-09-01,Bennett,729,5,716,220,2,201,,128
2023-09-01,Bon Homme,945,11,2271,489,,194,,219
2023-09-01,Brookings,5149,102,9291,3625,25,2536,,1114
2023-09-01,Brown,7459,90,12058,3494,13,1594,2,1194
2023-09-01,Brule,945,14,1688,463,2,190,,109
2023-09-01,Buffalo,575,2,167,73,3,92,,58
2023-09-01,Butte,824,56,4446,935,15,590,,1147
2023-09-01,Campbell,104,1,926,73,,29,,64
2023-09-01,Charles Mix,1877,10,2645,579,,322,,307
2023-09-01,Clark,585,4,1590,273,,116,,109
2023-09-01,Clay,3043,40,3010,1454,12,1131,,495
2023-09-01,Codington,4070,60,9748,2629,25,1400,1,1290
2023-09-01,Corson,1057,6,729,287,3,234,,141
2023-09-01,Custer,1093,35,4904,1132,30,583,,777
2023-09-01,Davison,2859,32,6484,1847,39,1265,,1022
2023-09-01,Day,1396,12,1845,597,,137,,84
2023-09-01,Deuel,660,9,1667,494,,213,,116
2023-09-01,Dewey,1858,3,751,414,,317,,167
2023-09-01,Douglas,232,,1688,149,,75,,49
2023-09-01,Edmunds,558,8,1727,272,2,121,,101
2023-09-01,Fall River,903,41,3709,921,,538,,405
2023-09-01,Faulk,207,,1084,219,,25,,44
2023-09-01,Grant,1129,17,2639,725,11,285,,286
2023-09-01,Gregory,679,4,1771,337,,71,,121
2023-09-01,Haakon,126,5,1141,87,1,30,,44
2023-09-01,Hamlin,608,9,2959,388,,218,,75
2023-09-01,Hand,426,8,1577,183,4,46,,112
2023-09-01,Hanson,655,6,1813,525,6,326,,350
2023-09-01,Harding,71,6,821,72,,37,,38
2023-09-01,Hughes,2200,50,7317,1436,21,757,,706
2023-09-01,Hutchinson,772,12,3415,519,7,271,,100
2023-09-01,Hyde,164,1,661,97,,18,,16
2023-09-01,Jackson,633,9,884,178,1,157,,60
2023-09-01,Jerauld,366,5,670,131,1,57,,40
2023-09-01,Jones,68,1,516,61,,25,,34
2023-09-01,Kingsbury,732,9,2262,391,3,264,,250
2023-09-01,Lake,2075,29,4247,1056,7,610,,1621
2023-09-01,Lawrence,3901,163,11454,3188,44,2167,,1789
2023-09-01,Lincoln,10043,228,23633,7562,82,4540,,3863
2023-09-01,Lyman,708,7,1152,225,1,141,,30
2023-09-01,Marshall,1004,6,1255,404,,156,,144
2023-09-01,McCook,833,12,2277,510,,265,,81
2023-09-01,McPherson,215,8,1304,144,,70,,156
2023-09-01,Meade,3013,153,12424,2870,24,1917,,662
2023-09-01,Mellette,419,3,498,171,,52,,43
2023-09-01,Miner,465,2,798,240,,101,,54
2023-09-01,Minnehaha,36921,715,56376,22422,278,17258,1,12739
2023-09-01,Moody,1361,14,1805,679,3,349,,238
2023-09-01,Oglala Lakota,5372,20,562,1020,1,1045,,538
2023-09-01,Pennington,18194,691,45190,13153,229,11285,2,6072
2023-09-01,Perkins,280,5,1515,203,5,143,,142
2023-09-01,Potter,201,3,1353,124,5,37,,106
2023-09-01,Roberts,2559,13,2154,986,21,505,,250
2023-09-01,Sanborn,362,7,961,162,,124,,64
2023-09-01,Spink,1058,10,2470,459,3,182,,126
2023-09-01,Stanley,362,6,1523,198,,89,,167
2023-09-01,Sully,176,4,814,117,,34,,50
2023-09-01,Todd,2848,8,693,581,7,526,,520
2023-09-01,Tripp,648,9,2,366,368,7,192,341
2023-09-01,Turner,1205,13,3484,917,,318,,112
2023-09-01,Union,2447,43,6242,2298,,1420,,1702
2023-09-01,Walworth,634,9,2468,349,8,189,,313
2023-09-01,Yankton,3613,62,7196,2568,12,1239,,1303
2023-09-01,Ziebach,789,7,427,184,,215,,57
