date,county,constitution,democratic,republican,other,npa_ind,inactive
2016-06-07,Aurora,,822,762,6,237,104
2016-06-07,Beadle,4,3574,4331,62,1945,1140
2016-06-07,Bennett,,882,666,3,266,226
2016-06-07,Bon Homme,2,1396,1857,11,579,233
2016-06-07,Brookings,28,5361,7184,70,4786,2746
2016-06-07,Brown,7,8901,9620,91,3826,2655
2016-06-07,Brule,5,1340,1431,12,521,212
2016-06-07,Buffalo,,656,165,2,102,49
2016-06-07,Butte,8,1162,4019,32,1325,524
2016-06-07,Campbell,,146,886,,90,109
2016-06-07,Charles Mix,2,2439,2166,2,740,487
2016-06-07,Clark,2,789,1369,4,338,190
2016-06-07,Clay,3,2984,2390,33,1935,1238
2016-06-07,Codington,18,5283,7278,58,3507,1767
2016-06-07,Corson,2,1260,670,11,385,231
2016-06-07,Custer,13,1186,3532,29,1300,607
2016-06-07,Davison,2,3605,5224,33,2235,1218
2016-06-07,Day,2,1977,1470,19,619,217
2016-06-07,Deuel,7,915,1208,7,668,233
2016-06-07,Dewey,1,2084,691,5,524,169
2016-06-07,Douglas,,344,1554,2,183,160
2016-06-07,Edmunds,,891,1492,13,422,189
2016-06-07,Fall River,1,1023,2733,43,1071,665
2016-06-07,Faulk,1,425,817,1,279,110
2016-06-07,Grant,4,1565,2275,18,918,515
2016-06-07,Gregory,2,989,1474,5,304,166
2016-06-07,Haakon,,214,1028,1,120,49
2016-06-07,Hamlin,3,840,2341,3,578,242
2016-06-07,Hand,1,705,1462,4,258,168
2016-06-07,Hanson,2,896,1671,5,727,493
2016-06-07,Harding,,113,760,3,72,70
2016-06-07,Hughes,3,2384,6693,37,1615,1039
2016-06-07,Hutchinson,5,1051,3109,8,545,302
2016-06-07,Hyde,,233,645,6,93,48
2016-06-07,Jackson,1,697,845,23,268,85
2016-06-07,Jerauld,2,485,598,1,171,80
2016-06-07,Jones,1,106,510,1,66,37
2016-06-07,Kingsbury,2,1068,1776,5,550,226
2016-06-07,Lake,5,3113,4388,36,1967,586
2016-06-07,Lawrence,11,3946,8625,93,3521,2155
2016-06-07,Lincoln,30,8486,16441,86,7654,2677
2016-06-07,Lyman,1,883,1112,6,251,171
2016-06-07,Marshall,,1243,1037,12,435,278
2016-06-07,McCook,5,1169,1763,9,604,267
2016-06-07,McPherson,,299,1321,2,229,84
2016-06-07,Meade,37,3174,8996,72,3182,1993
2016-06-07,Mellette,1,508,488,1,137,89
2016-06-07,Miner,2,685,577,3,267,125
2016-06-07,Minnehaha,141,37861,45627,479,26738,12373
2016-06-07,Moody,1,1681,1461,10,883,326
2016-06-07,Oglala Lakota,1,5662,578,69,1584,620
2016-06-07,Pennington,95,17176,33515,408,16923,6758
2016-06-07,Perkins,3,454,1361,7,298,174
2016-06-07,Potter,2,330,1348,2,160,57
2016-06-07,Roberts,2,3328,1849,25,1193,544
2016-06-07,Sanborn,1,541,810,2,195,84
2016-06-07,Spink,1,1564,1972,10,620,286
2016-06-07,Stanley,1,500,1331,4,255,20
2016-06-07,Sully,,245,744,1,112,27
2016-06-07,Todd,4,3152,703,15,774,767
2016-06-07,Tripp,6,1026,2174,2,501,294
2016-06-07,Turner,2,1507,2966,11,958,428
2016-06-07,Union,7,2877,5019,32,2777,1422
2016-06-07,Walworth,5,830,2404,7,435,357
2016-06-07,Yankton,6,4376,5822,52,2955,1425
2016-06-07,Ziebach,,894,389,6,263,126
