date,county,republican,democratic,other
1980-10-20,Aurora,1025,1436,131
1980-10-20,Beadle,5058,6980,1164
1980-10-20,Bennett,828,1052,106
1980-10-20,Bon Homme,2808,2468,296
1980-10-20,Brookings,7060,6444,2901
1980-10-20,Brown,9764,12578,2162
1980-10-20,Brule,1150,2200,163
1980-10-20,Buffalo,286,583,63
1980-10-20,Butte,3499,1410,269
1980-10-20,Campbell,1493,293,41
1980-10-20,Charles Mix,2006,3920,316
1980-10-20,Clark,1921,1479,184
1980-10-20,Clay,3465,4026,1522
1980-10-20,Codington,5272,6422,1907
1980-10-20,Corson,1222,1640,222
1980-10-20,Custer,1768,1341,411
1980-10-20,Davison,4313,5871,1213
1980-10-20,Day,2347,3203,327
1980-10-20,Deuel,1683,1467,349
1980-10-20,Dewey,1265,1585,294
1980-10-20,Douglas,2055,782,131
1980-10-20,Edmunds,1711,1773,138
1980-10-20,Fall River,3224,2433,582
1980-10-20,Faulk,1121,1175,111
1980-10-20,Grant,2655,2555,586
1980-10-20,Gregory,1978,2270,184
1980-10-20,Haakon,1104,602,86
1980-10-20,Hamlin,2104,1391,258
1980-10-20,Hand,1826,1579,211
1980-10-20,Hanson,905,1059,276
1980-10-20,Harding,811,400,67
1980-10-20,Hughes,5011,3240,1038
1980-10-20,Hutchinson,4556,1650,145
1980-10-20,Hyde,710,753,63
1980-10-20,Jackson,1076,857,105
1980-10-20,Jerauld,1081,1019,125
1980-10-20,Jones,654,435,47
1980-10-20,Kingsbury,2824,1636,299
1980-10-20,Lake,3385,3350,488
1980-10-20,Lawrence,6569,4242,1091
1980-10-20,Lincoln,4340,3673,853
1980-10-20,Lyman,1376,977,76
1980-10-20,Marshall,1614,2104,147
1980-10-20,McCook,2139,2032,420
1980-10-20,McPherson,2522,569,109
1980-10-20,Meade,5043,3983,941
1980-10-20,Mellette,724,669,104
1980-10-20,Miner,940,1532,208
1980-10-20,Minnehaha,32003,34514,5833
1980-10-20,Moody,1759,2542,627
1980-10-20,Pennington,20020,17169,3890
1980-10-20,Perkins,1814,1392,206
1980-10-20,Potter,1625,985,101
1980-10-20,Roberts,2100,3902,588
1980-10-20,Sanborn,1143,1164,171
1980-10-20,Shannon,519,3065,467
1980-10-20,Spink,2482,3091,510
1980-10-20,Stanley,854,753,144
1980-10-20,Sully,856,584,61
1980-10-20,Todd,872,2648,378
1980-10-20,Tripp,2422,2244,371
1980-10-20,Turner,3785,1932,476
1980-10-20,Union,2614,3600,796
1980-10-20,Walworth,2962,1670,310
1980-10-20,Yankton,5713,5047,1055
1980-10-20,Ziebach,577,612,131
