date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-11-01,Aurora,790,1,774,,254,3,98
2017-11-01,Beadle,4251,18,3400,6,2088,39,961
2017-11-01,Bennett,656,1,817,,313,2,219
2017-11-01,Bon Homme,1905,11,1315,2,619,1,319
2017-11-01,Brookings,7290,70,5122,21,5050,22,1802
2017-11-01,Brown,9795,65,8370,7,4184,31,2535
2017-11-01,Brule,1421,10,1227,5,530,2,210
2017-11-01,Buffalo,163,1,626,,103,2,84
2017-11-01,Butte,3728,28,983,7,1244,5,993
2017-11-01,Campbell,873,,124,,89,,128
2017-11-01,Charles Mix,2255,3,2383,2,831,,456
2017-11-01,Clark,1344,1,746,3,367,2,207
2017-11-01,Clay,2357,32,2842,3,2058,7,955
2017-11-01,Codington,7434,26,4943,14,3699,26,1834
2017-11-01,Corson,638,7,1184,2,415,6,266
2017-11-01,Custer,3681,20,1153,8,1414,20,723
2017-11-01,Davison,5260,20,3366,3,2371,24,1090
2017-11-01,Day,1472,9,1821,2,644,12,298
2017-11-01,Deuel,1291,8,880,7,720,1,205
2017-11-01,Dewey,707,3,2023,1,555,4,209
2017-11-01,Douglas,1531,2,327,,190,,165
2017-11-01,Edmunds,1452,8,808,,401,6,199
2017-11-01,Fall River,2793,16,949,1,1156,21,617
2017-11-01,Faulk,846,,402,1,305,,96
2017-11-01,Grant,2266,9,1478,2,941,12,494
2017-11-01,Gregory,1475,4,925,2,311,,137
2017-11-01,Haakon,1041,1,192,1,130,,39
2017-11-01,Hamlin,2351,2,760,1,558,2,285
2017-11-01,Hand,1432,4,661,1,267,1,131
2017-11-01,Hanson,1568,3,791,3,668,2,574
2017-11-01,Harding,749,,105,,78,,72
2017-11-01,Hughes,6764,33,2306,4,1800,14,863
2017-11-01,Hutchinson,3196,4,1048,6,647,4,186
2017-11-01,Hyde,627,,217,,101,3,95
2017-11-01,Jackson,841,4,690,1,308,18,59
2017-11-01,Jerauld,598,1,476,2,185,,48
2017-11-01,Jones,504,1,89,,80,,39
2017-11-01,Kingsbury,1775,7,984,1,591,1,226
2017-11-01,Lake,4510,30,2928,2,2263,5,1083
2017-11-01,Lawrence,8646,91,3627,11,3737,18,2188
2017-11-01,Lincoln,16996,90,8541,28,8636,27,3181
2017-11-01,Lyman,1097,4,832,1,263,2,156
2017-11-01,Marshall,1041,9,1202,,488,1,220
2017-11-01,McCook,1754,15,1094,6,669,,251
2017-11-01,McPherson,1241,2,273,,216,1,129
2017-11-01,Meade,9348,79,3047,33,3599,6,1614
2017-11-01,Mellette,479,1,474,1,134,,132
2017-11-01,Miner,573,2,631,1,272,1,80
2017-11-01,Minnehaha,46778,411,37626,134,30795,159,9412
2017-11-01,Moody,1463,7,1611,4,904,3,337
2017-11-01,Oglala Lakota,523,11,5409,2,1723,50,919
2017-11-01,Pennington,34752,361,17052,89,19341,139,4052
2017-11-01,Perkins,1379,6,419,3,321,5,172
2017-11-01,Potter,1281,1,292,2,148,2,112
2017-11-01,Roberts,1827,7,3134,4,1252,18,686
2017-11-01,Sanborn,816,3,497,1,217,3,83
2017-11-01,Spink,1979,5,1473,1,660,5,308
2017-11-01,Stanley,1300,3,457,2,272,,138
2017-11-01,Sully,735,,227,,114,1,55
2017-11-01,Todd,686,6,2971,3,823,6,667
2017-11-01,Tripp,2176,2,935,7,514,1,289
2017-11-01,Turner,3002,8,1450,2,1060,9,350
2017-11-01,Union,5131,23,2698,9,2979,12,1446
2017-11-01,Walworth,2433,6,806,5,473,1,252
2017-11-01,Yankton,5807,53,4167,4,3158,14,1236
2017-11-01,Ziebach,394,4,856,,276,4,132
