date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2025-01-02,Aurora,517,2,989,233,2,100,,102
2025-01-02,Beadle,2491,26,5160,1382,40,1147,1,749
2025-01-02,Bennett,689,7,730,207,2,203,,187
2025-01-02,Bon Homme,883,12,2378,485,,232,,285
2025-01-02,Brookings,5108,109,10034,3630,22,2823,2,1577
2025-01-02,Brown,7256,100,12964,3596,11,1972,3,1116
2025-01-02,Brule,898,15,1764,461,4,217,,172
2025-01-02,Buffalo,537,2,151,74,4,101,,116
2025-01-02,Butte,781,57,4620,880,20,655,,1330
2025-01-02,Campbell,104,1,917,76,,41,,73
2025-01-02,Charles Mix,1781,9,2728,583,,351,,443
2025-01-02,Clark,537,4,1656,261,,156,,137
2025-01-02,Clay,2893,37,3053,1451,12,1151,5,1222
2025-01-02,Codington,3876,64,10514,2615,27,1893,,1583
2025-01-02,Corson,975,5,752,282,3,298,,230
2025-01-02,Custer,1052,38,5163,1115,24,673,1,976
2025-01-02,Davison,2777,30,6895,1906,35,1496,4,1263
2025-01-02,Day,1255,12,1917,585,1,170,,221
2025-01-02,Deuel,589,11,1773,484,,283,1,119
2025-01-02,Dewey,1797,4,776,427,2,399,,229
2025-01-02,Douglas,202,1,1666,141,,101,,111
2025-01-02,Edmunds,511,7,1784,257,2,177,,141
2025-01-02,Fall River,894,40,3975,902,2,659,1,397
2025-01-02,Faulk,190,1,1129,218,,38,,58
2025-01-02,Grant,1057,18,2715,706,11,344,,341
2025-01-02,Gregory,614,4,1861,344,,86,,151
2025-01-02,Haakon,116,2,1168,87,2,30,,61
2025-01-02,Hamlin,541,7,3088,378,1,263,,216
2025-01-02,Hand,396,8,1662,188,4,56,,89
2025-01-02,Hanson,591,6,1884,493,7,367,,485
2025-01-02,Harding,63,6,843,75,1,42,,49
2025-01-02,Hughes,2156,44,7359,1407,18,949,,1029
2025-01-02,Hutchinson,715,16,3434,533,8,333,,208
2025-01-02,Hyde,147,1,662,95,,30,,42
2025-01-02,Jackson,582,6,909,166,1,163,,130
2025-01-02,Jerauld,327,6,730,131,1,69,,69
2025-01-02,Jones,63,1,525,58,,27,1,52
2025-01-02,Kingsbury,666,8,2312,392,2,322,,276
2025-01-02,Lake,1912,25,4362,967,5,613,2,2125
2025-01-02,Lawrence,3945,177,12287,3289,41,2719,6,2361
2025-01-02,Lincoln,10191,236,25720,7786,80,5305,12,4885
2025-01-02,Lyman,657,4,1157,219,1,153,,108
2025-01-02,Marshall,966,2,1299,383,2,172,,162
2025-01-02,McCook,795,7,2406,526,3,272,,146
2025-01-02,McPherson,189,8,1333,132,,69,,159
2025-01-02,Meade,2814,155,12980,2855,19,2121,2,1612
2025-01-02,Mellette,413,1,502,187,,66,,67
2025-01-02,Miner,429,5,845,232,,113,,80
2025-01-02,Minnehaha,36296,743,59337,22677,256,18670,17,16985
2025-01-02,Moody,1312,15,1956,708,4,425,2,205
2025-01-02,Oglala Lakota,5279,18,603,991,1,1247,,618
2025-01-02,Pennington,18096,681,46849,13246,221,12166,27,9797
2025-01-02,Perkins,258,4,1558,195,5,160,,180
2025-01-02,Potter,180,1,1346,106,6,41,1,143
2025-01-02,Roberts,2388,10,2251,935,19,618,,475
2025-01-02,Sanborn,357,7,992,165,,125,1,59
2025-01-02,Spink,1000,8,2559,451,3,232,,200
2025-01-02,Stanley,332,7,1591,191,,121,,201
2025-01-02,Sully,160,4,837,109,,36,,68
2025-01-02,Todd,2741,7,657,580,5,555,,762
2025-01-02,Tripp,567,7,2436,347,7,223,,380
2025-01-02,Turner,1124,15,3671,903,2,379,,230
2025-01-02,Union,2318,44,6657,2213,9,1496,2,2182
2025-01-02,Walworth,581,8,2476,335,11,256,,466
2025-01-02,Yankton,3490,60,7497,2557,15,1328,,1570
2025-01-02,Ziebach,743,5,434,174,1,250,,95
