date,county,republican,libertarian,democratic,constitution,other,npa_ind,inactive
2018-02-01,Aurora,788,1,768,,3,256,94
2018-02-01,Beadle,4264,18,3385,5,39,2113,953
2018-02-01,Bennett,660,1,818,,2,314,211
2018-02-01,Bon Homme,1897,11,1308,2,1,624,316
2018-02-01,Brookings,7339,71,5110,21,23,5098,1775
2018-02-01,Brown,9892,63,8289,6,42,4169,2482
2018-02-01,Brule,1411,10,1209,5,2,533,236
2018-02-01,Buffalo,166,1,625,,2,105,82
2018-02-01,Butte,3751,30,985,8,5,1256,992
2018-02-01,Campbell,872,,123,,,88,130
2018-02-01,Charles Mix,2286,3,2368,2,,845,443
2018-02-01,Clark,1341,3,741,3,2,364,206
2018-02-01,Clay,2370,32,2832,3,7,2078,942
2018-02-01,Codington,7507,26,4932,13,26,3740,1795
2018-02-01,Corson,643,7,1175,2,6,414,266
2018-02-01,Custer,3662,19,1146,7,20,1390,813
2018-02-01,Davison,5221,18,3307,3,28,2363,1207
2018-02-01,Day,1471,9,1808,2,12,650,291
2018-02-01,Deuel,1258,8,848,7,1,683,300
2018-02-01,Dewey,707,3,2016,1,5,556,206
2018-02-01,Douglas,1528,2,325,,,196,163
2018-02-01,Edmunds,1456,8,804,,5,404,195
2018-02-01,Fall River,2808,16,944,2,20,1169,618
2018-02-01,Faulk,858,,388,1,,304,95
2018-02-01,Grant,2247,8,1444,2,12,919,566
2018-02-01,Gregory,1476,4,924,2,,310,135
2018-02-01,Haakon,1038,1,189,1,,133,39
2018-02-01,Hamlin,2371,2,750,1,2,569,280
2018-02-01,Hand,1424,4,650,1,1,268,129
2018-02-01,Hanson,1562,3,788,3,2,665,569
2018-02-01,Harding,748,,103,,,80,70
2018-02-01,Hughes,6766,32,2303,4,13,1824,846
2018-02-01,Hutchinson,3187,4,1040,7,4,661,186
2018-02-01,Hyde,629,,219,,3,102,95
2018-02-01,Jackson,837,4,679,1,18,310,58
2018-02-01,Jerauld,617,2,480,2,,191,44
2018-02-01,Jones,504,1,87,,,81,38
2018-02-01,Kingsbury,1795,7,969,1,1,597,223
2018-02-01,Lake,4521,33,2909,2,4,2298,1077
2018-02-01,Lawrence,8697,90,3621,11,18,3779,2170
2018-02-01,Lincoln,17160,94,8535,28,26,8792,3145
2018-02-01,Lyman,1098,4,828,1,2,262,152
2018-02-01,Marshall,1054,9,1198,,1,490,221
2018-02-01,McCook,1755,15,1086,7,,679,246
2018-02-01,McPherson,1248,2,274,,1,217,126
2018-02-01,Meade,9403,78,3037,32,5,3673,1599
2018-02-01,Mellette,473,1,472,1,,135,134
2018-02-01,Miner,576,2,628,1,1,272,79
2018-02-01,Minnehaha,45597,408,36218,131,158,30008,13490
2018-02-01,Moody,1470,7,1608,4,3,916,334
2018-02-01,Oglala Lakota,524,11,5362,2,50,1755,915
2018-02-01,Pennington,33203,357,15905,89,134,18285,8158
2018-02-01,Perkins,1377,6,417,3,5,329,172
2018-02-01,Potter,1285,1,290,2,2,151,109
2018-02-01,Roberts,1840,7,3134,4,17,1269,674
2018-02-01,Sanborn,821,3,494,1,3,220,83
2018-02-01,Spink,1947,5,1451,1,5,653,352
2018-02-01,Stanley,1300,3,456,2,,284,139
2018-02-01,Sully,732,,224,,1,113,55
2018-02-01,Todd,669,5,2920,3,6,828,747
2018-02-01,Tripp,2171,2,921,7,1,517,317
2018-02-01,Turner,3006,8,1438,2,9,1069,343
2018-02-01,Union,5174,23,2693,9,12,3020,1441
2018-02-01,Walworth,2408,6,782,4,1,466,324
2018-02-01,Yankton,5854,51,4147,4,14,3204,1216
2018-02-01,Ziebach,395,4,850,,4,276,131
