date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-03-02,Aurora,481,2,990,227,3,99,73
2026-03-02,Beadle,2329,31,5190,1324,46,1220,705
2026-03-02,Bennett,655,8,724,197,3,196,126
2026-03-02,Bon Homme,825,10,2407,478,,230,258
2026-03-02,Brookings,4998,97,10165,3608,21,2833,1307
2026-03-02,Brown,6237,88,12299,3173,10,1820,2822
2026-03-02,Brule,836,12,1739,437,3,224,187
2026-03-02,Buffalo,525,2,152,82,4,105,56
2026-03-02,Butte,731,54,4621,858,23,672,999
2026-03-02,Campbell,93,2,889,68,,45,80
2026-03-02,Charles Mix,1734,9,2756,581,1,374,324
2026-03-02,Clark,477,4,1664,249,,185,154
2026-03-02,Clay,2734,38,3006,1391,22,1073,1081
2026-03-02,Codington,3627,57,10538,2529,23,2173,1617
2026-03-02,Corson,911,4,748,271,3,297,215
2026-03-02,Custer,1001,39,5176,1122,25,695,703
2026-03-02,Davison,2683,32,6982,1903,34,1520,743
2026-03-02,Day,1174,11,1990,561,4,181,168
2026-03-02,Deuel,556,8,1816,479,1,318,73
2026-03-02,Dewey,1763,5,788,425,3,445,169
2026-03-02,Douglas,183,2,1654,128,,101,92
2026-03-02,Edmunds,483,6,1794,249,2,183,106
2026-03-02,Fall River,769,33,3835,794,3,671,894
2026-03-02,Faulk,169,,1084,213,,42,88
2026-03-02,Grant,974,19,2690,673,10,392,301
2026-03-02,Gregory,578,4,1852,334,,96,161
2026-03-02,Haakon,103,2,1144,80,4,44,48
2026-03-02,Hamlin,507,7,3071,367,1,300,214
2026-03-02,Hand,356,10,1653,183,3,51,57
2026-03-02,Hanson,499,4,1759,437,8,353,486
2026-03-02,Harding,56,4,822,73,2,44,33
2026-03-02,Hughes,2083,55,7351,1403,18,1070,749
2026-03-02,Hutchinson,683,15,3401,513,8,347,174
2026-03-02,Hyde,139,2,641,95,,33,49
2026-03-02,Jackson,566,7,932,169,1,175,92
2026-03-02,Jerauld,312,6,755,134,1,87,33
2026-03-02,Jones,56,1,505,56,,29,59
2026-03-02,Kingsbury,598,7,2285,360,3,334,250
2026-03-02,Lake,1788,24,4310,939,6,621,1485
2026-03-02,Lawrence,3799,168,12342,3282,49,2903,1956
2026-03-02,Lincoln,9998,213,26173,7823,94,5502,4075
2026-03-02,Lyman,636,3,1166,221,1,180,56
2026-03-02,Marshall,910,2,1328,377,2,186,97
2026-03-02,McCook,755,9,2397,500,4,272,155
2026-03-02,McPherson,169,7,1279,117,1,77,69
2026-03-02,Meade,2611,142,12908,2801,28,2120,1491
2026-03-02,Mellette,398,,500,207,,71,61
2026-03-02,Miner,402,4,849,215,1,106,68
2026-03-02,Minnehaha,34727,691,58989,22146,225,18819,13686
2026-03-02,Moody,1269,17,2027,701,4,440,52
2026-03-02,Oglala Lakota,5029,18,590,922,1,1225,771
2026-03-02,Pennington,16869,638,45519,12658,226,11499,11312
2026-03-02,Perkins,237,4,1551,178,4,151,174
2026-03-02,Potter,178,1,1357,115,5,53,93
2026-03-02,Roberts,2246,9,2271,914,15,655,444
2026-03-02,Sanborn,342,7,1000,164,1,115,72
2026-03-02,Spink,913,9,2546,438,4,246,193
2026-03-02,Stanley,321,7,1572,196,,126,173
2026-03-02,Sully,151,4,835,111,1,42,66
2026-03-02,Todd,2596,6,645,573,3,559,671
2026-03-02,Tripp,515,4,2402,323,5,213,314
2026-03-02,Turner,1081,17,3706,872,2,383,209
2026-03-02,Union,2163,48,6625,2133,11,1470,1465
2026-03-02,Walworth,532,11,2436,322,9,288,367
2026-03-02,Yankton,3243,57,7502,2415,20,1302,1311
2026-03-02,Ziebach,704,4,429,170,1,269,84
