date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2016-11-08,Aurora,806,1,828,,245,3,95
2016-11-08,Beadle,4382,20,3572,4,2017,43,1063
2016-11-08,Bennett,689,,877,,305,2,218
2016-11-08,Bon Homme,1949,11,1406,2,620,1,210
2016-11-08,Brookings,7504,76,5474,23,5159,19,2585
2016-11-08,Brown,10045,61,8966,7,4168,38,2523
2016-11-08,Brule,1466,11,1336,5,554,1,205
2016-11-08,Buffalo,170,,665,,108,2,49
2016-11-08,Butte,4101,33,1168,8,1402,6,500
2016-11-08,Campbell,913,,143,,92,,103
2016-11-08,Charles Mix,2220,3,2458,2,789,,456
2016-11-08,Clark,1388,2,795,2,359,2,182
2016-11-08,Clay,2495,35,3102,2,2086,8,1177
2016-11-08,Codington,7581,34,5280,15,3724,29,1659
2016-11-08,Corson,674,7,1272,2,399,7,217
2016-11-08,Custer,3697,14,1224,13,1375,23,562
2016-11-08,Davison,5426,18,3652,2,2386,21,1150
2016-11-08,Day,1512,8,1956,2,653,12,200
2016-11-08,Deuel,1262,7,907,7,692,1,215
2016-11-08,Dewey,696,2,2081,1,539,4,161
2016-11-08,Douglas,1574,2,341,,195,,149
2016-11-08,Edmunds,1510,8,872,,425,6,178
2016-11-08,Fall River,2849,15,1044,2,1168,30,642
2016-11-08,Faulk,845,1,420,1,277,,96
2016-11-08,Grant,2334,9,1559,2,963,12,473
2016-11-08,Gregory,1520,4,981,2,319,,151
2016-11-08,Haakon,1049,1,208,,121,1,48
2016-11-08,Hamlin,2411,2,824,3,601,1,226
2016-11-08,Hand,1472,3,693,1,274,1,161
2016-11-08,Hanson,1715,3,900,2,774,2,487
2016-11-08,Harding,777,3,109,,77,,54
2016-11-08,Hughes,6837,33,2431,5,1745,14,967
2016-11-08,Hutchinson,3168,4,1056,7,598,4,288
2016-11-08,Hyde,660,2,228,1,103,4,46
2016-11-08,Jackson,858,4,720,1,281,18,81
2016-11-08,Jerauld,609,1,486,3,180,,81
2016-11-08,Jones,522,1,108,,79,,36
2016-11-08,Kingsbury,1813,5,1050,1,598,2,207
2016-11-08,Lake,4647,33,3202,5,2235,5,550
2016-11-08,Lawrence,9007,88,4033,11,3819,19,2035
2016-11-08,Lincoln,17239,80,8839,29,8417,25,2519
2016-11-08,Lyman,1135,4,870,1,262,2,152
2016-11-08,Marshall,1059,9,1245,,467,1,264
2016-11-08,McCook,1797,14,1161,5,647,,250
2016-11-08,McPherson,1321,2,293,,238,,75
2016-11-08,Meade,9485,74,3236,33,3489,7,1915
2016-11-08,Mellette,501,1,522,1,142,,87
2016-11-08,Miner,584,2,675,2,283,1,115
2016-11-08,Minnehaha,47174,398,38644,141,29085,153,11713
2016-11-08,Moody,1526,7,1709,2,938,3,306
2016-11-08,Oglala Lakota,569,8,5710,1,1684,65,611
2016-11-08,Pennington,34868,336,17601,95,18318,140,6542
2016-11-08,Perkins,1405,6,451,3,315,3,169
2016-11-08,Potter,1376,1,318,2,170,2,51
2016-11-08,Roberts,1880,9,3351,4,1263,18,520
2016-11-08,Sanborn,837,3,536,1,208,3,73
2016-11-08,Spink,2014,5,1570,1,647,6,268
2016-11-08,Stanley,1356,4,508,2,274,,20
2016-11-08,Sully,753,,240,,111,1,23
2016-11-08,Todd,713,6,3165,3,810,10,751
2016-11-08,Tripp,2219,2,1017,7,521,1,277
2016-11-08,Turner,3044,3,1526,2,1030,10,344
2016-11-08,Union,5257,24,2905,8,2962,14,1376
2016-11-08,Walworth,2440,6,829,5,463,1,332
2016-11-08,Yankton,6014,48,4441,8,3140,16,1339
2016-11-08,Ziebach,397,3,905,,281,6,120
