date,county,republican,democratic,other
1980-05-19,Aurora,1017,1418,130
1980-05-19,Beadle,4697,6600,994
1980-05-19,Bennett,803,1043,96
1980-05-19,Bon Homme,2758,2399,275
1980-05-19,Brookings,6312,5593,2364
1980-05-19,Brown,8733,11572,1722
1980-05-19,Brule,1047,2189,163
1980-05-19,Buffalo,275,577,52
1980-05-19,Butte,3465,1336,244
1980-05-19,Campbell,1443,293,37
1980-05-19,Charles Mix,1899,3869,288
1980-05-19,Clark,1860,1432,181
1980-05-19,Clay,3063,3569,1203
1980-05-19,Codington,4764,5856,1511
1980-05-19,Corson,1174,1610,195
1980-05-19,Custer,1726,1400,390
1980-05-19,Davison,3935,5362,998
1980-05-19,Day,2238,3045,267
1980-05-19,Deuel,1638,1449,351
1980-05-19,Dewey,1307,1602,304
1980-05-19,Douglas,2006,761,101
1980-05-19,Edmunds,1679,1764,134
1980-05-19,Fall River,2813,2149,443
1980-05-19,Faulk,1088,1138,100
1980-05-19,Grant,2554,2380,502
1980-05-19,Gregory,1884,2187,151
1980-05-19,Haakon,1038,580,71
1980-05-19,Hamlin,2034,1367,241
1980-05-19,Hand,1734,1501,83
1980-05-19,Hanson,861,1028,252
1980-05-19,Harding,785,385,63
1980-05-19,Hughes,4652,3097,960
1980-05-19,Hutchinson,4457,1590,118
1980-05-19,Hyde,702,762,62
1980-05-19,Jackson,1063,848,102
1980-05-19,Jerauld,1056,979,110
1980-05-19,Jones,618,426,45
1980-05-19,Kingsbury,2765,1571,257
1980-05-19,Lake,3228,3174,422
1980-05-19,Lawrence,6000,3781,794
1980-05-19,Lincoln,4106,3478,741
1980-05-19,Lyman,1360,960,65
1980-05-19,Marshall,1550,2030,144
1980-05-19,McCook,2102,1969,397
1980-05-19,McPherson,2444,529,97
1980-05-19,Meade,4384,3639,676
1980-05-19,Mellette,703,653,94
1980-05-19,Miner,921,1491,183
1980-05-19,Minnehaha,29680,27676,5408
1980-05-19,Moody,1715,2477,607
1980-05-19,Pennington,17393,14893,2785
1980-05-19,Perkins,1756,1395,190
1980-05-19,Potter,1573,966,86
1980-05-19,Roberts,1989,3683,507
1980-05-19,Sanborn,1116,1059,190
1980-05-19,Shannon,470,2989,439
1980-05-19,Spink,2355,2984,448
1980-05-19,Stanley,828,756,132
1980-05-19,Sully,843,554,55
1980-05-19,Todd,841,2631,332
1980-05-19,Tripp,2316,2160,354
1980-05-19,Turner,3656,1874,454
1980-05-19,Union,2501,3449,674
1980-05-19,Walworth,2865,1608,284
1980-05-19,Yankton,5277,4683,737
1980-05-19,Ziebach,563,613,113
