date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-09-01,Aurora,443,3,1019,230,3,99,73
2026-09-01,Beadle,2237,28,5412,1320,44,1209,696
2026-09-01,Bennett,648,7,733,199,2,204,124
2026-09-01,Bon Homme,781,10,2473,463,,232,249
2026-09-01,Brookings,4842,94,10657,3547,21,2807,1285
2026-09-01,Brown,5748,83,13188,2973,7,1832,2747
2026-09-01,Brule,795,13,1827,423,2,220,185
2026-09-01,Buffalo,523,4,161,85,4,113,54
2026-09-01,Butte,712,53,4760,814,23,665,982
2026-09-01,Campbell,91,2,903,63,,48,75
2026-09-01,Charles Mix,1669,7,2846,570,,380,291
2026-09-01,Clark,450,4,1800,240,,179,148
2026-09-01,Clay,2673,37,3148,1382,20,1086,1061
2026-09-01,Codington,3499,57,10843,2500,23,2170,1597
2026-09-01,Corson,920,4,764,272,3,297,204
2026-09-01,Custer,989,40,5379,1080,26,680,703
2026-09-01,Davison,2609,36,7223,1863,34,1538,723
2026-09-01,Day,1123,10,2084,539,3,181,165
2026-09-01,Deuel,524,8,1874,467,1,306,68
2026-09-01,Dewey,1741,6,826,425,3,453,165
2026-09-01,Douglas,179,2,1703,119,,97,91
2026-09-01,Edmunds,420,4,1868,229,2,172,131
2026-09-01,Fall River,758,31,4003,784,3,648,897
2026-09-01,Faulk,147,,1159,194,,39,84
2026-09-01,Grant,920,19,2808,645,8,395,292
2026-09-01,Gregory,533,4,1937,301,,98,153
2026-09-01,Haakon,103,2,1160,84,4,33,52
2026-09-01,Hamlin,499,8,3135,359,1,294,208
2026-09-01,Hand,327,10,1673,179,3,57,57
2026-09-01,Hanson,483,3,1839,419,9,344,484
2026-09-01,Harding,54,4,832,70,3,48,32
2026-09-01,Hughes,1909,49,7573,1258,17,1019,960
2026-09-01,Hutchinson,647,15,3502,501,5,320,170
2026-09-01,Hyde,136,3,660,95,,34,48
2026-09-01,Jackson,551,8,933,164,1,175,113
2026-09-01,Jerauld,298,7,788,130,2,86,33
2026-09-01,Jones,52,1,508,52,,27,60
2026-09-01,Kingsbury,561,9,2363,356,3,331,243
2026-09-01,Lake,1688,26,4486,916,6,606,1478
2026-09-01,Lawrence,3741,159,12907,3281,55,2946,1925
2026-09-01,Lincoln,9872,210,27639,7825,91,5550,3982
2026-09-01,Lyman,614,4,1195,218,1,195,51
2026-09-01,Marshall,845,2,1406,358,3,183,131
2026-09-01,McCook,706,12,2497,471,3,280,169
2026-09-01,McPherson,160,7,1339,110,1,66,63
2026-09-01,Meade,2539,139,13327,2723,27,2094,1460
2026-09-01,Mellette,396,,508,215,,72,64
2026-09-01,Miner,380,4,883,217,1,109,60
2026-09-01,Minnehaha,34222,688,61769,21995,220,19110,13564
2026-09-01,Moody,1217,14,2111,683,4,418,109
2026-09-01,Oglala Lakota,5047,17,597,929,1,1225,758
2026-09-01,Pennington,16620,628,47269,12695,229,11603,11364
2026-09-01,Perkins,229,5,1613,176,4,138,170
2026-09-01,Potter,159,,1374,109,5,53,90
2026-09-01,Roberts,2192,9,2354,894,14,660,429
2026-09-01,Sanborn,332,7,1020,161,1,110,70
2026-09-01,Spink,846,12,2642,428,4,252,191
2026-09-01,Stanley,300,8,1643,186,,126,169
2026-09-01,Sully,133,4,877,102,,43,63
2026-09-01,Todd,2614,7,657,611,3,539,376
2026-09-01,Tripp,497,4,2510,313,4,176,170
2026-09-01,Turner,1027,17,3837,848,2,372,202
2026-09-01,Union,2143,49,6848,2100,12,1474,1450
2026-09-01,Walworth,524,10,2446,317,6,292,371
2026-09-01,Yankton,3116,57,7842,2381,25,1303,1283
2026-09-01,Ziebach,701,4,441,183,1,271,82
