date,county,republican,democratic,other
1988-02-13,Aurora,873,1235,95
1988-02-13,Beadle,4685,5980,1000
1988-02-13,Bennett,884,1036,100
1988-02-13,Bon Homme,2507,2209,207
1988-02-13,Brookings,7339,5214,2227
1988-02-13,Brown,9390,11062,1606
1988-02-13,Brule,1274,2050,185
1988-02-13,Buffalo,261,743,55
1988-02-13,Butte,3269,1083,154
1988-02-13,Campbell,1402,220,25
1988-02-13,Charles Mix,1951,3489,226
1988-02-13,Clark,1741,1237,138
1988-02-13,Clay,3063,3366,835
1988-02-13,Codington,5412,5689,1416
1988-02-13,Corson,1026,1394,166
1988-02-13,Custer,2249,1245,432
1988-02-13,Davison,4585,5253,925
1988-02-13,Day,2036,2697,211
1988-02-13,Deuel,1552,1394,338
1988-02-13,Dewey,1083,1664,225
1988-02-13,Douglas,1933,638,79
1988-02-13,Edmunds,1522,1494,121
1988-02-13,Fall River,2632,1731,433
1988-02-13,Faulk,977,897,68
1988-02-13,Grant,2572,2288,503
1988-02-13,Gregory,1751,1826,125
1988-02-13,Haakon,1162,488,52
1988-02-13,Hamlin,1827,1181,222
1988-02-13,Hand,1781,1427,242
1988-02-13,Hanson,774,913,302
1988-02-13,Harding,765,318,56
1988-02-13,Hughes,5663,3077,900
1988-02-13,Hutchinson,4178,1404,110
1988-02-13,Hyde,692,657,81
1988-02-13,Jackson,998,635,60
1988-02-13,Jerauld,871,750,92
1988-02-13,Jones,640,325,24
1988-02-13,Kingsbury,2515,1342,204
1988-02-13,Lake,3456,2939,374
1988-02-13,Lawrence,6743,3953,948
1988-02-13,Lincoln,4428,3334,706
1988-02-13,Lyman,1296,905,68
1988-02-13,Marshall,1377,1789,84
1988-02-13,McCook,1934,1678,290
1988-02-13,McPherson,1978,475,74
1988-02-13,Meade,6140,3935,924
1988-02-13,Mellette,675,613,68
1988-02-13,Miner,821,1331,148
1988-02-13,Minnehaha,34277,33598,5618
1988-02-13,Moody,1566,2007,339
1988-02-13,Pennington,23601,15314,3860
1988-02-13,Perkins,1667,1094,145
1988-02-13,Potter,1635,676,58
1988-02-13,Roberts,2005,3457,479
1988-02-13,Sanborn,1027,954,103
1988-02-13,Shannon,661,2948,300
1988-02-13,Spink,2316,2641,422
1988-02-13,Stanley,887,750,131
1988-02-13,Sully,772,502,45
1988-02-13,Todd,763,2151,257
1988-02-13,Tripp,2329,1810,252
1988-02-13,Turner,3664,1758,324
1988-02-13,Union,2279,3160,586
1988-02-13,Walworth,2503,1179,197
1988-02-13,Yankton,5441,4510,819
1988-02-13,Ziebach,509,529,108
