date,county,republican,libertarian,democratic,npa_ind,other,inactive
2021-12-01,Aurora,866,3,626,279,2,105
2021-12-01,Beadle,4516,22,2916,2282,39,655
2021-12-01,Bennett,695,3,730,364,2,203
2021-12-01,Bon Homme,2159,11,1002,662,3,327
2021-12-01,Brookings,8479,93,5185,5780,37,1510
2021-12-01,Brown,11292,90,7837,4842,49,1930
2021-12-01,Brule,1588,8,1019,576,5,124
2021-12-01,Buffalo,162,1,600,155,2,78
2021-12-01,Butte,4108,49,870,1340,17,1329
2021-12-01,Campbell,905,,111,96,,102
2021-12-01,Charles Mix,2499,8,2000,820,5,429
2021-12-01,Clark,1472,4,620,370,13,182
2021-12-01,Clay,2661,38,2937,2337,17,765
2021-12-01,Codington,8995,53,4281,3884,29,1648
2021-12-01,Corson,698,5,1090,499,4,242
2021-12-01,Custer,4307,32,1130,1596,31,1146
2021-12-01,Davison,5918,26,3006,2687,31,1307
2021-12-01,Day,1695,11,1483,691,16,165
2021-12-01,Deuel,1533,9,720,686,8,192
2021-12-01,Dewey,733,3,1940,653,9,201
2021-12-01,Douglas,1634,,264,202,,70
2021-12-01,Edmunds,1577,6,636,396,3,201
2021-12-01,Fall River,3368,33,928,1300,34,614
2021-12-01,Faulk,1048,,217,231,2,60
2021-12-01,Grant,2489,14,1211,968,11,399
2021-12-01,Gregory,1663,3,734,367,,182
2021-12-01,Haakon,1085,3,144,130,1,64
2021-12-01,Hamlin,2713,7,641,581,1,165
2021-12-01,Hand,1494,6,497,232,4,132
2021-12-01,Hanson,1708,5,705,794,10,557
2021-12-01,Harding,792,4,78,90,,63
2021-12-01,Hughes,7028,51,2284,2072,21,895
2021-12-01,Hutchinson,3185,7,822,729,6,211
2021-12-01,Hyde,652,,176,110,3,28
2021-12-01,Jackson,839,8,641,313,9,80
2021-12-01,Jerauld,626,6,394,181,2,67
2021-12-01,Jones,523,1,80,79,1,37
2021-12-01,Kingsbury,2072,5,814,603,3,323
2021-12-01,Lake,3959,28,2169,1628,8,1895
2021-12-01,Lawrence,10119,135,3704,4565,42,2256
2021-12-01,Lincoln,20993,185,9617,10805,63,4765
2021-12-01,Lyman,1111,7,754,313,1,77
2021-12-01,Marshall,1160,6,1057,528,3,238
2021-12-01,McCook,2011,12,923,749,9,141
2021-12-01,McPherson,1238,8,228,221,2,212
2021-12-01,Meade,11312,124,3081,4408,36,843
2021-12-01,Mellette,498,3,428,186,1,79
2021-12-01,Miner,672,4,514,321,3,88
2021-12-01,Minnehaha,51825,633,36432,36028,325,17478
2021-12-01,Moody,1625,12,1439,990,4,365
2021-12-01,Oglala Lakota,518,18,5382,1952,49,857
2021-12-01,Pennington,40602,599,17631,22877,260,9937
2021-12-01,Perkins,1443,4,303,318,6,199
2021-12-01,Potter,1301,2,232,164,4,149
2021-12-01,Roberts,2086,12,2850,1399,24,245
2021-12-01,Sanborn,883,5,399,253,4,105
2021-12-01,Spink,2248,10,1217,612,7,226
2021-12-01,Stanley,1373,4,393,288,12,232
2021-12-01,Sully,770,3,192,136,3,66
2021-12-01,Todd,679,6,2870,950,10,885
2021-12-01,Tripp,2258,8,715,547,9,455
2021-12-01,Turner,3251,10,1260,1157,17,213
2021-12-01,Union,5728,32,2537,3547,13,2126
2021-12-01,Walworth,2353,8,674,472,7,545
2021-12-01,Yankton,6570,70,3816,3705,14,1640
2021-12-01,Ziebach,392,7,811,370,3,123
