date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-05-01,Aurora,530,2,953,224,2,92,,111
2024-05-01,Beadle,2562,27,4925,1389,39,1082,1,711
2024-05-01,Bennett,729,6,732,221,2,197,,124
2024-05-01,Bon Homme,904,10,2290,476,,210,,299
2024-05-01,Brookings,4977,101,9467,3538,21,2564,,1633
2024-05-01,Brown,7330,95,12365,3566,11,1750,1,1157
2024-05-01,Brule,913,14,1684,454,2,197,,178
2024-05-01,Buffalo,530,2,152,67,3,81,,123
2024-05-01,Butte,787,57,4435,892,18,602,,1363
2024-05-01,Campbell,103,1,909,73,,34,,80
2024-05-01,Charles Mix,1748,10,2645,559,,334,,473
2024-05-01,Clark,560,3,1580,262,,145,,148
2024-05-01,Clay,2824,38,2859,1347,10,1029,1,1255
2024-05-01,Codington,3888,63,9901,2553,28,1598,,1696
2024-05-01,Corson,976,6,727,273,2,253,,235
2024-05-01,Custer,1063,36,4958,1112,24,604,,955
2024-05-01,Davison,2736,29,6566,1828,37,1357,2,1339
2024-05-01,Day,1287,11,1840,568,,146,,238
2024-05-01,Deuel,626,10,1688,489,,251,,130
2024-05-01,Dewey,1783,3,748,404,,334,,265
2024-05-01,Douglas,207,,1631,140,,84,,123
2024-05-01,Edmunds,534,7,1730,261,1,159,,138
2024-05-01,Fall River,892,42,3787,919,1,580,1,417
2024-05-01,Faulk,199,,1105,215,,29,,61
2024-05-01,Grant,1079,17,2624,706,12,312,,348
2024-05-01,Gregory,645,4,1768,328,,74,,161
2024-05-01,Haakon,123,2,1136,84,2,26,,63
2024-05-01,Hamlin,545,8,2943,372,,229,,229
2024-05-01,Hand,418,7,1617,183,4,50,,102
2024-05-01,Hanson,620,5,1801,497,4,341,,491
2024-05-01,Harding,67,6,822,72,1,38,,53
2024-05-01,Hughes,2100,45,7187,1363,18,785,1,1093
2024-05-01,Hutchinson,727,14,3372,509,5,298,,226
2024-05-01,Hyde,157,1,641,94,,22,,45
2024-05-01,Jackson,584,9,886,166,2,159,,137
2024-05-01,Jerauld,346,5,675,130,1,55,,74
2024-05-01,Jones,65,1,510,63,,28,1,46
2024-05-01,Kingsbury,686,9,2274,399,3,283,,304
2024-05-01,Lake,1938,26,4155,952,6,563,2,2086
2024-05-01,Lawrence,3782,170,11583,3137,46,2284,2,2448
2024-05-01,Lincoln,9843,225,23958,7486,74,4641,,4951
2024-05-01,Lyman,675,5,1141,215,1,147,,101
2024-05-01,Marshall,976,2,1245,380,2,164,,170
2024-05-01,McCook,799,9,2272,509,,265,,148
2024-05-01,McPherson,203,8,1292,137,,65,,185
2024-05-01,Meade,2824,162,12339,2804,17,1965,,1474
2024-05-01,Mellette,395,3,501,173,,57,,69
2024-05-01,Miner,431,3,816,235,,100,,83
2024-05-01,Minnehaha,35247,715,55774,21825,264,17084,3,18554
2024-05-01,Moody,1337,15,1862,686,3,369,1,229
2024-05-01,Oglala Lakota,5183,19,575,984,1,1114,,668
2024-05-01,Pennington,17485,666,44707,12740,204,11168,3,9834
2024-05-01,Perkins,271,4,1532,198,5,153,,171
2024-05-01,Potter,183,2,1327,112,6,39,1,152
2024-05-01,Roberts,2401,9,2148,936,21,548,,479
2024-05-01,Sanborn,354,7,964,159,,125,1,69
2024-05-01,Spink,1004,11,2468,442,2,196,,216
2024-05-01,Stanley,333,7,1517,190,,95,,208
2024-05-01,Sully,166,5,808,113,,34,,68
2024-05-01,Todd,2685,7,662,564,5,518,,786
2024-05-01,Tripp,598,6,2375,351,7,196,,411
2024-05-01,Turner,1147,12,3504,891,,333,,252
2024-05-01,Union,2313,44,6242,2206,4,1405,1,2189
2024-05-01,Walworth,593,8,2424,341,10,215,,444
2024-05-01,Yankton,3481,62,7177,2497,13,1220,,1641
2024-05-01,Ziebach,746,5,421,177,1,224,,96
