date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2016-09-01,Aurora,783,1,827,,236,3,99
2016-09-01,Beadle,4350,20,3556,4,1979,41,1110
2016-09-01,Bennett,676,,872,,275,2,221
2016-09-01,Bon Homme,1876,10,1393,2,599,1,222
2016-09-01,Brookings,7286,57,5402,24,4909,17,2680
2016-09-01,Brown,9789,54,8928,7,3935,40,2596
2016-09-01,Brule,1439,10,1337,5,537,1,210
2016-09-01,Buffalo,170,,659,,105,2,49
2016-09-01,Butte,4040,29,1158,8,1348,5,513
2016-09-01,Campbell,896,,145,,89,,108
2016-09-01,Charles Mix,2178,2,2432,2,755,,478
2016-09-01,Clark,1372,2,791,2,350,2,186
2016-09-01,Clay,2409,28,3026,2,1970,8,1214
2016-09-01,Codington,7419,32,5275,15,3586,28,1724
2016-09-01,Corson,674,7,1270,2,390,6,225
2016-09-01,Custer,3586,12,1194,13,1326,20,595
2016-09-01,Davison,5296,17,3623,2,2294,19,1191
2016-09-01,Day,1482,8,1964,2,625,12,211
2016-09-01,Deuel,1215,6,910,7,673,2,228
2016-09-01,Dewey,694,2,2089,1,534,5,164
2016-09-01,Douglas,1561,2,346,,182,,157
2016-09-01,Edmunds,1500,7,878,,416,6,183
2016-09-01,Fall River,2775,14,1024,1,1114,30,658
2016-09-01,Faulk,832,1,425,1,281,,107
2016-09-01,Grant,2308,9,1564,2,931,11,496
2016-09-01,Gregory,1498,4,982,2,309,,163
2016-09-01,Haakon,1039,1,214,,120,,48
2016-09-01,Hamlin,2383,2,837,3,586,1,238
2016-09-01,Hand,1458,3,696,1,263,1,165
2016-09-01,Hanson,1690,4,901,2,744,2,491
2016-09-01,Harding,769,3,109,,76,,58
2016-09-01,Hughes,6749,30,2403,5,1672,13,1014
2016-09-01,Hutchinson,3131,4,1042,5,569,4,298
2016-09-01,Hyde,654,2,227,1,95,4,47
2016-09-01,Jackson,851,4,706,1,272,18,84
2016-09-01,Jerauld,603,1,487,3,172,,80
2016-09-01,Jones,514,1,107,1,69,,36
2016-09-01,Kingsbury,1788,4,1063,2,567,2,218
2016-09-01,Lake,4487,32,3164,5,2085,5,578
2016-09-01,Lawrence,8747,78,3974,12,3577,17,2121
2016-09-01,Lincoln,16754,74,8637,30,7974,18,2610
2016-09-01,Lyman,1131,4,873,1,257,2,163
2016-09-01,Marshall,1040,7,1243,,447,4,271
2016-09-01,McCook,1783,9,1160,5,619,,261
2016-09-01,McPherson,1319,2,296,,227,,77
2016-09-01,Meade,9212,68,3192,35,3295,6,1963
2016-09-01,Mellette,489,1,512,1,137,,87
2016-09-01,Miner,581,2,684,2,274,,120
2016-09-01,Minnehaha,46061,349,38063,139,27513,130,12103
2016-09-01,Moody,1483,6,1693,1,894,3,317
2016-09-01,Oglala Lakota,569,7,5690,1,1643,64,617
2016-09-01,Pennington,34106,309,17322,93,17482,123,6727
2016-09-01,Perkins,1386,6,447,3,300,3,172
2016-09-01,Potter,1353,,324,2,165,2,55
2016-09-01,Roberts,1866,9,3354,4,1220,19,533
2016-09-01,Sanborn,815,1,542,1,197,2,81
2016-09-01,Spink,1987,4,1561,1,634,7,279
2016-09-01,Stanley,1349,4,502,2,264,,20
2016-09-01,Sully,746,,242,,110,1,27
2016-09-01,Todd,703,5,3135,4,767,10,761
2016-09-01,Tripp,2192,1,1023,7,508,1,287
2016-09-01,Turner,2979,3,1513,2,991,9,395
2016-09-01,Union,5134,21,2887,7,2862,13,1407
2016-09-01,Walworth,2412,6,826,5,444,1,351
2016-09-01,Yankton,5902,43,4383,8,3042,15,1381
2016-09-01,Ziebach,393,3,900,,275,5,122
