date,county,republican,democratic,libertarian,reform,other,inactive
2001-03-26,Aurora,833,1117,2,0,118,139
2001-03-26,Beadle,4628,5443,37,0,1654,954
2001-03-26,Bennett,711,1038,2,1,240,201
2001-03-26,Bon Homme,2310,1892,6,0,351,289
2001-03-26,Brookings,8125,6030,83,9,3503,2414
2001-03-26,Brown,9569,10500,24,8,2295,2253
2001-03-26,Brule,1320,1797,4,2,295,343
2001-03-26,Buffalo,188,689,0,2,64,52
2001-03-26,Butte,3775,1500,36,2,624,108
2001-03-26,Campbell,1159,220,2,0,47,85
2001-03-26,Charles Mix,2035,3158,4,0,479,744
2001-03-26,Clark,1583,1123,1,0,208,190
2001-03-26,Clay,3664,3918,27,1,1794,1106
2001-03-26,Codington,6711,6636,24,4,2504,1206
2001-03-26,Corson,815,1216,25,1,288,224
2001-03-26,Custer,2989,1307,20,3,875,396
2001-03-26,Davison,5261,4901,19,0,1512,699
2001-03-26,Day,1740,2374,0,0,421,296
2001-03-26,Deuel,1323,1247,3,1,457,194
2001-03-26,Dewey,990,2129,2,1,425,190
2001-03-26,Douglas,1816,486,0,0,127,14
2001-03-26,Edmunds,1469,1413,3,0,227,197
2001-03-26,Fall River,2728,1512,18,0,818,684
2001-03-26,Faulk,920,674,2,3,196,65
2001-03-26,Grant,2441,2047,1,2,755,310
2001-03-26,Gregory,1723,1514,2,0,260,129
2001-03-26,Haakon,1139,392,0,0,57,150
2001-03-26,Hamlin,2080,1260,3,1,399,126
2001-03-26,Hand,1621,1095,2,0,234,155
2001-03-26,Hanson,899,960,1,0,489,60
2001-03-26,Harding,761,186,0,0,39,84
2001-03-26,Hughes,7035,2854,14,0,1090,750
2001-03-26,Hutchinson,3897,1445,5,0,327,188
2001-03-26,Hyde,724,442,2,2,77,70
2001-03-26,Jackson,886,663,1,0,167,29
2001-03-26,Jerauld,816,677,1,0,111,38
2001-03-26,Jones,619,191,1,0,39,58
2001-03-26,Kingsbury,2365,1371,4,2,446,136
2001-03-26,Lake,3738,3046,8,4,699,585
2001-03-26,Lawrence,8224,4288,86,4,2125,1567
2001-03-26,Lincoln,7787,4842,16,3,2176,1229
2001-03-26,Lyman,1225,960,1,1,137,82
2001-03-26,Marshall,1243,1525,1,0,186,317
2001-03-26,McCook,1932,1618,3,1,447,107
2001-03-26,McPherson,1565,408,0,0,199,134
2001-03-26,Meade,8485,3986,41,8,2521,2891
2001-03-26,Mellette,623,555,0,0,111,67
2001-03-26,Miner,699,999,1,0,242,110
2001-03-26,Minnehaha,39843,34649,209,37,11749,9573
2001-03-26,Moody,1515,1924,1,0,526,216
2001-03-26,Pennington,28328,16275,286,14,9328,9848
2001-03-26,Perkins,1436,788,4,1,217,84
2001-03-26,Potter,1462,590,1,0,122,149
2001-03-26,Roberts,1953,3361,1,2,823,379
2001-03-26,Sanborn,1004,846,2,0,112,96
2001-03-26,Shannon,569,4006,11,0,894,642
2001-03-26,Spink,2121,2203,3,3,480,412
2001-03-26,Stanley,1127,746,0,0,176,147
2001-03-26,Sully,727,397,3,0,85,28
2001-03-26,Todd,784,2509,4,0,702,454
2001-03-26,Tripp,2245,1445,0,0,298,373
2001-03-26,Turner,3395,1924,3,1,581,384
2001-03-26,Union,3712,3426,7,3,1550,684
2001-03-26,Walworth,2493,1106,10,0,400,171
2001-03-26,Yankton,6282,5272,6,0,1868,1103
2001-03-26,Ziebach,439,868,3,0,193,79
