date,county,republican,democratic,other
1984-10-22,Aurora,928,1407,106
1984-10-22,Beadle,4934,6415,1201
1984-10-22,Bennett,815,1050,105
1984-10-22,Bon Homme,2855,2594,297
1984-10-22,Brookings,7527,5962,3278
1984-10-22,Brown,10207,12133,2104
1984-10-22,Brule,1226,2225,157
1984-10-22,Buffalo,286,626,63
1984-10-22,Butte,3505,1235,217
1984-10-22,Campbell,1422,264,39
1984-10-22,Charles Mix,1990,3544,254
1984-10-22,Clark,1902,1376,172
1984-10-22,Clay,3549,4083,1330
1984-10-22,Codington,5538,6059,1913
1984-10-22,Corson,1118,1535,186
1984-10-22,Custer,2117,1400,477
1984-10-22,Davison,4722,5819,1168
1984-10-22,Day,2136,3023,257
1984-10-22,Deuel,1577,1369,345
1984-10-22,Dewey,1121,1381,257
1984-10-22,Douglas,2042,712,104
1984-10-22,Edmunds,1579,1569,122
1984-10-22,Fall River,2735,1891,468
1984-10-22,Faulk,1028,1024,201
1984-10-22,Grant,2672,2424,597
1984-10-22,Gregory,1882,2044,151
1984-10-22,Haakon,1209,550,69
1984-10-22,Hamlin,2050,1331,294
1984-10-22,Hand,1786,1485,247
1984-10-22,Hanson,849,959,284
1984-10-22,Harding,804,350,49
1984-10-22,Hughes,5272,2974,1038
1984-10-22,Hutchinson,4339,1493,126
1984-10-22,Hyde,707,695,77
1984-10-22,Jackson,1009,693,75
1984-10-22,Jerauld,1016,886,121
1984-10-22,Jones,659,374,38
1984-10-22,Kingsbury,2651,1505,260
1984-10-22,Lake,3327,3338,479
1984-10-22,Lawrence,6543,4043,1116
1984-10-22,Lincoln,4509,3616,841
1984-10-22,Lyman,1323,912,69
1984-10-22,Marshall,1521,1970,126
1984-10-22,McCook,1997,1874,358
1984-10-22,McPherson,2240,527,94
1984-10-22,Meade,5607,4063,993
1984-10-22,Mellette,712,656,97
1984-10-22,Miner,882,1464,175
1984-10-22,Minnehaha,34362,35381,6388
1984-10-22,Moody,1616,2183,448
1984-10-22,Pennington,23166,16586,4792
1984-10-22,Perkins,1775,1142,191
1984-10-22,Potter,1735,759,74
1984-10-22,Roberts,2109,3758,595
1984-10-22,Sanborn,1093,1025,136
1984-10-22,Shannon,391,2676,305
1984-10-22,Spink,2370,2806,481
1984-10-22,Stanley,852,768,144
1984-10-22,Sully,819,560,60
1984-10-22,Todd,758,1994,287
1984-10-22,Tripp,2441,1953,313
1984-10-22,Turner,3749,1769,381
1984-10-22,Union,2498,3361,752
1984-10-22,Walworth,2790,1372,258
1984-10-22,Yankton,5693,4705,1013
1984-10-22,Ziebach,535,554,126
