date,county,democratic,libertarian,republican,npa_ind,other,inactive
2022-11-01,Aurora,579,4,922,294,2,97
2022-11-01,Beadle,2766,23,4808,2341,37,641
2022-11-01,Bennett,725,3,721,373,2,189
2022-11-01,Bon Homme,961,11,2231,676,2,303
2022-11-01,Brookings,5166,95,9010,5987,33,1469
2022-11-01,Brown,7629,91,11858,4997,50,1874
2022-11-01,Brule,977,12,1668,618,6,120
2022-11-01,Buffalo,581,2,169,168,3,74
2022-11-01,Butte,840,54,4291,1404,15,1327
2022-11-01,Campbell,106,1,925,96,,93
2022-11-01,Charles Mix,1931,9,2586,862,5,401
2022-11-01,Clark,594,4,1560,369,15,172
2022-11-01,Clay,3009,39,2890,2469,19,747
2022-11-01,Codington,4163,55,9535,3953,31,1590
2022-11-01,Corson,1053,6,725,504,3,226
2022-11-01,Custer,1112,32,4716,1621,33,1141
2022-11-01,Davison,2902,30,6284,2809,36,1263
2022-11-01,Day,1416,10,1803,701,16,153
2022-11-01,Deuel,681,9,1631,694,8,181
2022-11-01,Dewey,1878,3,753,688,8,236
2022-11-01,Douglas,242,,1686,203,,66
2022-11-01,Edmunds,576,6,1706,390,3,180
2022-11-01,Fall River,905,36,3630,1363,33,604
2022-11-01,Faulk,215,,1082,243,2,55
2022-11-01,Grant,1173,13,2588,993,10,375
2022-11-01,Gregory,705,3,1737,392,,172
2022-11-01,Haakon,131,5,1141,115,,60
2022-11-01,Hamlin,616,7,2865,595,3,160
2022-11-01,Hand,445,7,1581,230,5,121
2022-11-01,Hanson,662,6,1781,802,12,540
2022-11-01,Harding,73,5,808,100,,57
2022-11-01,Hughes,2224,53,7227,2109,22,855
2022-11-01,Hutchinson,781,9,3338,739,7,200
2022-11-01,Hyde,168,1,667,107,3,28
2022-11-01,Jackson,630,9,871,316,9,72
2022-11-01,Jerauld,378,6,665,190,2,65
2022-11-01,Jones,69,1,515,78,1,42
2022-11-01,Kingsbury,764,7,2232,626,3,308
2022-11-01,Lake,2117,26,4172,1645,9,1862
2022-11-01,Lawrence,3791,157,11025,4976,44,2228
2022-11-01,Lincoln,9865,208,22656,11429,73,4639
2022-11-01,Lyman,724,7,1138,352,1,58
2022-11-01,Marshall,1025,6,1237,533,4,211
2022-11-01,McCook,841,14,2231,747,6,129
2022-11-01,McPherson,216,8,1299,215,2,199
2022-11-01,Meade,3039,149,12134,4595,35,821
2022-11-01,Mellette,419,3,498,202,1,77
2022-11-01,Miner,483,4,776,316,4,84
2022-11-01,Minnehaha,36936,689,54968,37943,313,17157
2022-11-01,Moody,1379,14,1758,1010,3,343
2022-11-01,Oglala Lakota,5365,18,544,2006,44,834
2022-11-01,Pennington,17966,644,43778,23632,278,9362
2022-11-01,Perkins,284,5,1488,334,6,192
2022-11-01,Potter,213,3,1331,155,4,138
2022-11-01,Roberts,2613,14,2130,1400,22,457
2022-11-01,Sanborn,372,5,937,257,4,99
2022-11-01,Spink,1103,11,2419,615,7,212
2022-11-01,Stanley,369,4,1494,275,13,217
2022-11-01,Sully,181,4,797,143,3,62
2022-11-01,Todd,2849,5,689,1019,7,850
2022-11-01,Tripp,673,9,2322,563,8,428
2022-11-01,Turner,1217,12,3420,1187,17,201
2022-11-01,Union,2494,35,6060,3645,13,2090
2022-11-01,Walworth,646,9,2427,473,8,531
2022-11-01,Yankton,3661,65,7138,3743,15,1549
2022-11-01,Ziebach,797,7,419,380,3,113
