date,county,republican,libertarian,democratic,constitution,other,npa_ind,inactive
2018-03-01,Aurora,785,1,765,,3,256,93
2018-03-01,Beadle,4269,18,3379,5,40,2122,951
2018-03-01,Bennett,659,2,819,,2,314,211
2018-03-01,Bon Homme,1917,11,1304,2,,621,315
2018-03-01,Brookings,7370,71,5116,21,23,5130,1765
2018-03-01,Brown,9917,63,8284,6,42,4175,2474
2018-03-01,Brule,1414,10,1212,5,2,528,236
2018-03-01,Buffalo,166,1,625,,2,105,82
2018-03-01,Butte,3761,32,983,8,5,1259,992
2018-03-01,Campbell,878,,123,,,89,130
2018-03-01,Charles Mix,2292,3,2365,2,,843,441
2018-03-01,Clark,1341,3,737,3,2,365,206
2018-03-01,Clay,2375,33,2835,3,7,2089,938
2018-03-01,Codington,7538,27,4901,14,26,3743,1790
2018-03-01,Corson,642,7,1174,2,6,417,265
2018-03-01,Custer,3671,20,1143,7,20,1391,817
2018-03-01,Davison,5233,19,3306,3,28,2361,1206
2018-03-01,Day,1477,9,1808,2,12,654,290
2018-03-01,Deuel,1262,8,844,7,1,678,299
2018-03-01,Dewey,705,3,2007,1,5,554,205
2018-03-01,Douglas,1529,2,325,,,196,161
2018-03-01,Edmunds,1459,8,802,,5,402,194
2018-03-01,Fall River,2818,17,943,2,20,1176,617
2018-03-01,Faulk,870,,378,1,,303,95
2018-03-01,Grant,2247,8,1438,2,12,922,563
2018-03-01,Gregory,1480,4,925,2,,311,135
2018-03-01,Haakon,1040,1,186,1,,133,39
2018-03-01,Hamlin,2375,2,747,1,2,571,276
2018-03-01,Hand,1421,3,648,1,1,268,129
2018-03-01,Hanson,1557,3,786,3,2,662,569
2018-03-01,Harding,745,,103,,,80,70
2018-03-01,Hughes,6767,33,2307,4,13,1830,844
2018-03-01,Hutchinson,3187,4,1037,7,4,663,186
2018-03-01,Hyde,631,,217,,3,101,95
2018-03-01,Jackson,838,4,675,1,18,310,58
2018-03-01,Jerauld,623,2,476,2,,188,44
2018-03-01,Jones,504,1,87,,,82,38
2018-03-01,Kingsbury,1806,8,965,1,1,592,221
2018-03-01,Lake,4540,34,2903,2,4,2302,1076
2018-03-01,Lawrence,8723,93,3620,11,19,3801,2159
2018-03-01,Lincoln,17244,95,8545,30,26,8830,3148
2018-03-01,Lyman,1099,4,828,1,1,263,151
2018-03-01,Marshall,1054,9,1198,,1,492,218
2018-03-01,McCook,1761,15,1083,7,,688,246
2018-03-01,McPherson,1246,2,274,,1,217,125
2018-03-01,Meade,9455,80,3040,31,6,3678,1593
2018-03-01,Mellette,472,1,471,1,,136,133
2018-03-01,Miner,582,2,625,1,1,271,78
2018-03-01,Minnehaha,45352,408,35948,130,158,29811,14117
2018-03-01,Moody,1479,6,1604,4,3,921,331
2018-03-01,Oglala Lakota,523,10,5358,2,50,1765,913
2018-03-01,Pennington,33275,359,15896,89,137,18369,8121
2018-03-01,Perkins,1382,6,412,3,5,326,172
2018-03-01,Potter,1293,1,285,2,2,151,109
2018-03-01,Roberts,1848,7,3121,4,17,1271,672
2018-03-01,Sanborn,820,3,490,1,3,218,82
2018-03-01,Spink,1960,5,1442,,5,653,350
2018-03-01,Stanley,1306,3,454,2,,286,141
2018-03-01,Sully,738,,220,,1,113,55
2018-03-01,Todd,667,5,2921,3,6,834,747
2018-03-01,Tripp,2182,2,918,7,1,521,319
2018-03-01,Turner,3013,8,1438,2,9,1075,342
2018-03-01,Union,5191,23,2692,9,12,3031,1439
2018-03-01,Walworth,2406,6,782,4,1,466,321
2018-03-01,Yankton,5865,51,4137,5,14,3225,1213
2018-03-01,Ziebach,395,4,848,,4,277,131
