date,county,democratic,libertarian,republican,npa_ind,other,inactive
2022-11-08,Aurora,579,4,921,294,2,97
2022-11-08,Beadle,2764,22,4808,2341,37,641
2022-11-08,Bennett,725,3,720,373,2,189
2022-11-08,Bon Homme,960,11,2230,676,2,303
2022-11-08,Brookings,5166,95,9012,5986,33,1469
2022-11-08,Brown,7630,91,11858,4999,50,1873
2022-11-08,Brule,976,12,1665,617,6,120
2022-11-08,Buffalo,581,2,169,168,3,74
2022-11-08,Butte,840,54,4292,1404,15,1327
2022-11-08,Campbell,106,1,925,96,,93
2022-11-08,Charles Mix,1930,9,2586,863,5,401
2022-11-08,Clark,594,4,1562,369,15,172
2022-11-08,Clay,3008,39,2889,2470,19,747
2022-11-08,Codington,4161,55,9532,3953,31,1589
2022-11-08,Corson,1053,6,726,504,3,226
2022-11-08,Custer,1112,32,4714,1620,33,1141
2022-11-08,Davison,2900,30,6282,2809,36,1263
2022-11-08,Day,1416,10,1803,701,16,153
2022-11-08,Deuel,681,9,1630,693,8,181
2022-11-08,Dewey,1877,3,753,687,8,236
2022-11-08,Douglas,242,,1684,203,,66
2022-11-08,Edmunds,576,6,1706,390,3,180
2022-11-08,Fall River,904,36,3629,1364,33,603
2022-11-08,Faulk,215,,1084,243,2,55
2022-11-08,Grant,1172,13,2589,993,10,375
2022-11-08,Gregory,705,3,1737,392,,172
2022-11-08,Haakon,130,5,1141,115,,60
2022-11-08,Hamlin,616,7,2866,595,3,160
2022-11-08,Hand,445,7,1579,230,5,103
2022-11-08,Hanson,662,6,1781,802,12,540
2022-11-08,Harding,73,5,808,100,,57
2022-11-08,Hughes,2224,53,7229,2110,22,856
2022-11-08,Hutchinson,781,9,3339,737,7,199
2022-11-08,Hyde,168,1,667,107,3,28
2022-11-08,Jackson,630,9,871,316,9,72
2022-11-08,Jerauld,378,6,664,190,2,65
2022-11-08,Jones,69,1,514,78,1,42
2022-11-08,Kingsbury,763,7,2231,626,3,308
2022-11-08,Lake,2116,26,4171,1647,9,1860
2022-11-08,Lawrence,3791,157,11023,4975,44,2227
2022-11-08,Lincoln,9865,208,22655,11430,73,4638
2022-11-08,Lyman,724,7,1140,352,1,58
2022-11-08,Marshall,1025,6,1237,533,4,210
2022-11-08,McCook,840,14,2231,747,6,129
2022-11-08,McPherson,216,8,1297,215,2,198
2022-11-08,Meade,3038,149,12133,4595,36,821
2022-11-08,Mellette,419,3,498,202,1,77
2022-11-08,Miner,481,4,774,316,3,84
2022-11-08,Minnehaha,36920,690,54964,37940,313,17159
2022-11-08,Moody,1379,14,1757,1009,3,343
2022-11-08,Oglala Lakota,5360,18,543,2006,44,833
2022-11-08,Pennington,17964,643,43779,23632,278,9360
2022-11-08,Perkins,284,5,1486,333,6,194
2022-11-08,Potter,213,3,1334,155,4,138
2022-11-08,Roberts,2613,14,2129,1401,22,457
2022-11-08,Sanborn,373,5,936,257,4,99
2022-11-08,Spink,1102,11,2417,615,7,212
2022-11-08,Stanley,367,4,1496,275,13,216
2022-11-08,Sully,181,4,797,143,3,62
2022-11-08,Todd,2849,5,688,1019,7,850
2022-11-08,Tripp,673,9,2320,563,8,428
2022-11-08,Turner,1217,12,3420,1187,17,201
2022-11-08,Union,2492,35,6060,3645,13,2090
2022-11-08,Walworth,644,9,2426,474,8,531
2022-11-08,Yankton,3661,65,7136,3744,15,1545
2022-11-08,Ziebach,796,7,420,380,3,113
