date,county,libertarian,republican,democratic,npa_ind,other,inactive
2021-11-01,Aurora,3,864,629,279,2,105
2021-11-01,Beadle,22,4542,2956,2309,40,568
2021-11-01,Bennett,3,693,732,363,2,203
2021-11-01,Bon Homme,11,2156,1007,655,3,328
2021-11-01,Brookings,93,8466,5205,5772,37,1480
2021-11-01,Brown,90,11285,7862,4837,49,1936
2021-11-01,Brule,8,1585,1022,578,5,124
2021-11-01,Buffalo,1,162,601,155,2,78
2021-11-01,Butte,49,4095,876,1339,17,1321
2021-11-01,Campbell,,905,111,95,,101
2021-11-01,Charles Mix,8,2508,2002,819,5,450
2021-11-01,Clark,4,1461,621,372,13,182
2021-11-01,Clay,37,2654,2947,2330,17,761
2021-11-01,Codington,53,8982,4293,3853,29,1653
2021-11-01,Corson,5,697,1090,500,4,243
2021-11-01,Custer,32,4283,1128,1594,31,1146
2021-11-01,Davison,26,5911,3011,2688,30,1311
2021-11-01,Day,8,1685,1499,688,14,165
2021-11-01,Deuel,9,1534,722,686,8,192
2021-11-01,Dewey,3,742,1972,656,10,159
2021-11-01,Douglas,,1632,266,203,,68
2021-11-01,Edmunds,6,1574,639,394,3,201
2021-11-01,Fall River,32,3348,923,1292,34,617
2021-11-01,Faulk,,1047,219,231,2,60
2021-11-01,Grant,13,2487,1216,962,11,400
2021-11-01,Gregory,3,1667,737,367,,182
2021-11-01,Haakon,3,1086,144,130,1,65
2021-11-01,Hamlin,7,2704,642,579,1,164
2021-11-01,Hand,6,1499,502,232,4,130
2021-11-01,Hanson,5,1713,705,794,9,559
2021-11-01,Harding,4,787,79,89,,62
2021-11-01,Hughes,51,7013,2285,2066,21,895
2021-11-01,Hutchinson,7,3187,819,725,6,208
2021-11-01,Hyde,,654,176,111,3,28
2021-11-01,Jackson,8,843,647,312,9,79
2021-11-01,Jerauld,6,626,396,179,2,67
2021-11-01,Jones,1,524,80,79,1,37
2021-11-01,Kingsbury,5,2131,858,636,4,181
2021-11-01,Lake,29,3948,2169,1625,8,1896
2021-11-01,Lawrence,135,10087,3706,4525,41,2240
2021-11-01,Lincoln,184,20891,9605,10773,63,4763
2021-11-01,Lyman,7,1113,755,313,1,78
2021-11-01,Marshall,6,1163,1061,525,3,240
2021-11-01,McCook,13,2008,930,750,8,141
2021-11-01,McPherson,8,1243,229,222,2,215
2021-11-01,Meade,121,11294,3104,4385,37,795
2021-11-01,Mellette,3,497,426,184,1,79
2021-11-01,Miner,4,670,516,321,3,88
2021-11-01,Minnehaha,632,51720,36464,35878,325,17350
2021-11-01,Moody,12,1623,1444,978,4,367
2021-11-01,Oglala Lakota,18,519,5398,1953,49,855
2021-11-01,Pennington,601,41277,18047,23466,266,7925
2021-11-01,Perkins,4,1445,304,316,6,196
2021-11-01,Potter,2,1297,231,161,4,149
2021-11-01,Roberts,11,2078,2852,1394,24,245
2021-11-01,Sanborn,5,882,400,252,4,103
2021-11-01,Spink,9,2256,1225,606,8,216
2021-11-01,Stanley,4,1372,392,283,12,229
2021-11-01,Sully,3,774,193,136,3,66
2021-11-01,Todd,6,680,2883,945,9,884
2021-11-01,Tripp,8,2254,715,544,10,458
2021-11-01,Turner,10,3254,1268,1150,17,213
2021-11-01,Union,34,5718,2536,3537,13,2127
2021-11-01,Walworth,9,2438,723,504,7,378
2021-11-01,Yankton,69,6563,3822,3695,14,1643
2021-11-01,Ziebach,7,391,813,370,3,123
