date,county,democratic,republican,npa_ind_oth,inactive
2016-03-02,Aurora,819,756,238,106
2016-03-02,Beadle,3574,4284,1984,1173
2016-03-02,Bennett,890,645,270,230
2016-03-02,Bon Homme,1387,1833,579,238
2016-03-02,Brookings,5260,7077,4735,2825
2016-03-02,Brown,8869,9448,3831,2701
2016-03-02,Brule,1330,1389,533,220
2016-03-02,Buffalo,651,160,99,50
2016-03-02,Butte,1155,3916,1371,532
2016-03-02,Campbell,150,867,93,115
2016-03-02,Charles Mix,2454,2137,722,493
2016-03-02,Clark,794,1357,332,195
2016-03-02,Clay,2927,2344,1939,1278
2016-03-02,Codington,5296,7105,3558,1808
2016-03-02,Corson,1280,667,394,206
2016-03-02,Custer,1188,3440,1335,617
2016-03-02,Davison,3600,5191,2228,1241
2016-03-02,Day,1987,1442,625,193
2016-03-02,Deuel,934,1175,680,237
2016-03-02,Dewey,2078,681,507,177
2016-03-02,Douglas,343,1553,177,165
2016-03-02,Edmunds,918,1406,442,191
2016-03-02,Fall River,1008,2676,1097,675
2016-03-02,Faulk,431,803,270,111
2016-03-02,Grant,1566,2204,908,534
2016-03-02,Gregory,1003,1456,292,173
2016-03-02,Haakon,223,1006,111,52
2016-03-02,Hamlin,836,2305,580,247
2016-03-02,Hand,708,1427,263,173
2016-03-02,Hanson,900,1623,729,493
2016-03-02,Harding,113,751,74,72
2016-03-02,Hughes,2337,6621,1616,1068
2016-03-02,Hutchinson,1071,3059,541,296
2016-03-02,Hyde,230,652,97,49
2016-03-02,Jackson,678,833,260,86
2016-03-02,Jerauld,493,583,168,84
2016-03-02,Jones,105,514,66,39
2016-03-02,Kingsbury,1070,1750,545,235
2016-03-02,Lake,3070,4285,1979,600
2016-03-02,Lawrence,3909,8464,3543,2204
2016-03-02,Lincoln,8366,16128,7565,2738
2016-03-02,Lyman,892,1089,261,173
2016-03-02,Marshall,1248,1017,433,279
2016-03-02,McCook,1167,1735,613,276
2016-03-02,McPherson,294,1237,247,88
2016-03-02,Meade,3149,8796,3220,2031
2016-03-02,Mellette,513,486,130,90
2016-03-02,Miner,688,571,266,130
2016-03-02,Minnehaha,37284,44806,26487,12672
2016-03-02,Moody,1683,1424,879,332
2016-03-02,Oglala Lakota,5657,578,1631,622
2016-03-02,Pennington,16730,32936,17037,6929
2016-03-02,Perkins,471,1328,306,180
2016-03-02,Potter,344,1323,162,59
2016-03-02,Roberts,3316,1804,1200,558
2016-03-02,Sanborn,540,786,194,85
2016-03-02,Spink,1569,1943,622,300
2016-03-02,Stanley,500,1314,257,20
2016-03-02,Sully,243,739,111,28
2016-03-02,Todd,3165,690,775,781
2016-03-02,Tripp,1024,2115,499,311
2016-03-02,Turner,1507,2939,945,439
2016-03-02,Union,2867,4921,2754,1441
2016-03-02,Walworth,835,2344,446,369
2016-03-02,Yankton,4377,5726,2964,1457
2016-03-02,Ziebach,883,386,262,138
