date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-03-01,Aurora,879,1,620,282,2,105
2022-03-01,Beadle,4535,21,2886,2290,39,657
2022-03-01,Bennett,699,3,727,366,2,198
2022-03-01,Bon Homme,2168,11,994,659,3,319
2022-03-01,Brookings,8544,92,5173,5824,35,1516
2022-03-01,Brown,11370,93,7765,4859,49,1919
2022-03-01,Brule,1590,9,1004,580,5,127
2022-03-01,Buffalo,162,1,592,157,3,78
2022-03-01,Butte,4136,50,867,1355,17,1322
2022-03-01,Campbell,899,,110,97,,101
2022-03-01,Charles Mix,2503,7,1980,823,5,427
2022-03-01,Clark,1491,4,614,373,14,179
2022-03-01,Clay,2683,37,2924,2343,18,765
2022-03-01,Codington,9061,54,4246,3912,30,1641
2022-03-01,Corson,706,5,1079,497,4,238
2022-03-01,Custer,4367,33,1129,1617,31,1146
2022-03-01,Davison,5982,26,2972,2699,33,1299
2022-03-01,Day,1711,11,1458,700,16,162
2022-03-01,Deuel,1551,9,712,694,8,189
2022-03-01,Dewey,737,3,1933,646,8,201
2022-03-01,Douglas,1623,,262,208,,70
2022-03-01,Edmunds,1592,6,625,396,3,200
2022-03-01,Fall River,3404,33,911,1326,33,615
2022-03-01,Faulk,1055,,214,233,2,60
2022-03-01,Grant,2491,14,1200,974,11,393
2022-03-01,Gregory,1666,3,721,366,,182
2022-03-01,Haakon,1088,3,141,129,1,63
2022-03-01,Hamlin,2754,6,633,590,1,162
2022-03-01,Hand,1493,7,490,232,4,129
2022-03-01,Hanson,1722,5,700,790,11,557
2022-03-01,Harding,791,4,77,91,,63
2022-03-01,Hughes,7050,52,2275,2084,20,894
2022-03-01,Hutchinson,3207,9,817,738,6,207
2022-03-01,Hyde,648,,174,112,3,28
2022-03-01,Jackson,838,9,638,312,9,79
2022-03-01,Jerauld,627,6,387,183,2,67
2022-03-01,Jones,512,1,80,79,1,36
2022-03-01,Kingsbury,2102,5,801,608,3,319
2022-03-01,Lake,3985,29,2158,1631,8,1884
2022-03-01,Lawrence,10259,141,3684,4633,44,2251
2022-03-01,Lincoln,21212,192,9635,10931,67,4736
2022-03-01,Lyman,1111,7,752,313,1,76
2022-03-01,Marshall,1159,6,1050,530,3,232
2022-03-01,McCook,2037,13,896,757,8,139
2022-03-01,McPherson,1239,8,232,220,2,210
2022-03-01,Meade,11445,126,3087,4477,36,847
2022-03-01,Mellette,497,3,427,188,1,79
2022-03-01,Miner,679,4,503,319,4,88
2022-03-01,Minnehaha,52304,638,36429,36392,322,17473
2022-03-01,Moody,1648,11,1418,994,4,362
2022-03-01,Oglala Lakota,522,19,5360,1957,47,856
2022-03-01,Pennington,40945,612,17602,22963,266,10055
2022-03-01,Perkins,1451,4,300,316,6,200
2022-03-01,Potter,1299,3,229,161,4,146
2022-03-01,Roberts,2039,12,2730,1368,23,423
2022-03-01,Sanborn,902,5,391,251,4,106
2022-03-01,Spink,2263,10,1199,616,7,221
2022-03-01,Stanley,1383,4,390,285,12,226
2022-03-01,Sully,773,4,191,134,3,64
2022-03-01,Todd,677,6,2846,949,9,879
2022-03-01,Tripp,2258,8,703,546,9,455
2022-03-01,Turner,3287,10,1251,1156,17,210
2022-03-01,Union,5773,33,2520,3566,13,2125
2022-03-01,Walworth,2354,8,675,469,7,545
2022-03-01,Yankton,6620,71,3792,3710,15,1623
2022-03-01,Ziebach,397,7,801,373,3,121
