date,county,libertarian,republican,democratic,npa_ind,constitution,other,inactive
2018-09-04,Aurora,1,796,749,262,,3,89
2018-09-04,Beadle,17,4288,3281,2133,6,43,1050
2018-09-04,Bennett,2,682,810,320,,2,204
2018-09-04,Bon Homme,11,2047,1237,606,2,,305
2018-09-04,Brookings,72,7563,5136,5225,26,22,1724
2018-09-04,Brown,60,10272,8157,4214,7,39,2408
2018-09-04,Brule,9,1443,1201,554,5,2,228
2018-09-04,Buffalo,1,166,614,115,,1,80
2018-09-04,Butte,30,3841,966,1287,9,4,973
2018-09-04,Campbell,,898,122,85,,,121
2018-09-04,Charles Mix,3,2314,2335,860,2,,430
2018-09-04,Clark,3,1368,723,370,3,2,199
2018-09-04,Clay,36,2397,2847,2143,3,10,910
2018-09-04,Codington,28,8087,4701,3663,13,23,1726
2018-09-04,Corson,7,642,1183,442,2,7,248
2018-09-04,Custer,22,3831,1135,1409,10,20,815
2018-09-04,Davison,21,5360,3273,2459,4,26,1187
2018-09-04,Day,11,1514,1763,657,2,12,278
2018-09-04,Deuel,9,1333,819,680,7,,282
2018-09-04,Dewey,4,715,1993,560,1,5,200
2018-09-04,Douglas,2,1564,312,197,,,147
2018-09-04,Edmunds,8,1486,787,402,,4,190
2018-09-04,Fall River,23,2921,938,1193,3,20,609
2018-09-04,Faulk,,1034,276,245,1,,92
2018-09-04,Grant,9,2281,1419,938,2,11,548
2018-09-04,Gregory,5,1519,919,323,2,,128
2018-09-04,Haakon,1,1053,183,132,1,,38
2018-09-04,Hamlin,2,2528,719,556,,2,262
2018-09-04,Hand,3,1453,624,257,1,1,124
2018-09-04,Hanson,3,1586,799,723,3,2,560
2018-09-04,Harding,,764,100,82,,,67
2018-09-04,Hughes,39,6911,2313,1842,4,15,824
2018-09-04,Hutchinson,3,3261,1025,700,7,3,171
2018-09-04,Hyde,,652,208,99,,3,89
2018-09-04,Jackson,4,821,637,296,1,13,153
2018-09-04,Jerauld,3,638,460,183,1,,43
2018-09-04,Jones,1,510,90,82,,,35
2018-09-04,Kingsbury,10,1940,911,573,2,1,212
2018-09-04,Lake,36,4659,2836,2377,3,6,1060
2018-09-04,Lawrence,96,8931,3612,3882,11,15,2117
2018-09-04,Lincoln,105,17948,8681,9187,36,29,3038
2018-09-04,Lyman,5,1117,813,271,,1,146
2018-09-04,Marshall,8,1073,1190,499,,1,210
2018-09-04,McCook,13,1797,1049,724,6,,261
2018-09-04,McPherson,8,1255,269,225,,1,118
2018-09-04,Meade,86,9803,2985,3770,29,8,1564
2018-09-04,Mellette,1,482,472,148,1,,132
2018-09-04,Miner,2,601,611,289,2,1,73
2018-09-04,Minnehaha,432,46082,35634,30818,140,158,14974
2018-09-04,Moody,6,1516,1584,944,4,4,314
2018-09-04,Oglala Lakota,10,529,5365,1827,2,47,889
2018-09-04,Pennington,367,34742,16052,19089,94,146,7880
2018-09-04,Perkins,6,1388,398,340,3,5,165
2018-09-04,Potter,1,1307,283,148,2,2,106
2018-09-04,Roberts,7,1941,3051,1272,4,17,649
2018-09-04,Sanborn,3,831,483,225,1,2,80
2018-09-04,Spink,5,2137,1340,618,,4,336
2018-09-04,Stanley,2,1342,439,276,2,,136
2018-09-04,Sully,,757,214,113,,1,51
2018-09-04,Todd,6,682,2922,887,3,6,732
2018-09-04,Tripp,2,2208,914,534,8,1,310
2018-09-04,Turner,8,3045,1417,1089,2,11,314
2018-09-04,Union,24,5403,2696,3147,11,12,1409
2018-09-04,Walworth,7,2418,765,475,4,1,312
2018-09-04,Yankton,52,6136,4043,3290,6,14,1181
2018-09-04,Ziebach,4,400,844,285,,3,143
