date,county,libertarian,republican,democratic,npa_ind,other,inactive
2018-12-03,Aurora,1,799,736,270,4,86
2018-12-03,Beadle,16,4345,3297,2168,43,1015
2018-12-03,Bennett,2,688,816,339,2,211
2018-12-03,Bon Homme,11,2075,1245,615,2,295
2018-12-03,Brookings,70,7763,5229,5343,48,1675
2018-12-03,Brown,61,10466,8258,4316,50,2304
2018-12-03,Brule,10,1472,1188,573,6,211
2018-12-03,Buffalo,1,169,626,138,1,75
2018-12-03,Butte,31,3910,978,1312,16,939
2018-12-03,Campbell,,906,121,84,,119
2018-12-03,Charles Mix,3,2376,2415,893,2,405
2018-12-03,Clark,3,1398,716,371,5,191
2018-12-03,Clay,36,2455,2941,2248,13,885
2018-12-03,Codington,29,8224,4746,3718,37,1643
2018-12-03,Corson,8,652,1195,470,9,244
2018-12-03,Custer,23,3922,1160,1442,31,793
2018-12-03,Davison,20,5474,3277,2520,31,1139
2018-12-03,Day,10,1552,1749,662,14,269
2018-12-03,Deuel,9,1351,817,689,7,274
2018-12-03,Dewey,3,733,2090,604,8,193
2018-12-03,Douglas,2,1580,316,203,,146
2018-12-03,Edmunds,8,1500,772,408,4,173
2018-12-03,Fall River,23,2984,948,1197,27,599
2018-12-03,Faulk,,1047,278,248,1,88
2018-12-03,Grant,9,2314,1413,948,13,534
2018-12-03,Gregory,5,1558,916,340,2,118
2018-12-03,Haakon,2,1068,178,137,2,37
2018-12-03,Hamlin,2,2540,726,569,2,254
2018-12-03,Hand,3,1452,617,255,2,121
2018-12-03,Hanson,3,1618,803,742,5,555
2018-12-03,Harding,2,772,102,83,,66
2018-12-03,Hughes,41,6991,2385,1880,22,779
2018-12-03,Hutchinson,3,3270,1019,728,10,167
2018-12-03,Hyde,,662,206,104,3,84
2018-12-03,Jackson,6,829,653,299,13,144
2018-12-03,Jerauld,2,625,464,194,1,43
2018-12-03,Jones,1,507,88,90,,34
2018-12-03,Kingsbury,11,1969,918,586,1,205
2018-12-03,Lake,34,4499,2713,2257,9,1037
2018-12-03,Lawrence,102,9138,3723,4028,33,2049
2018-12-03,Lincoln,118,18490,8959,9587,72,2946
2018-12-03,Lyman,6,1126,822,283,1,138
2018-12-03,Marshall,8,1086,1183,507,1,197
2018-12-03,McCook,11,1840,1054,735,7,245
2018-12-03,McPherson,8,1264,268,230,1,115
2018-12-03,Meade,88,10020,3047,3871,39,1526
2018-12-03,Mellette,1,485,488,161,1,130
2018-12-03,Miner,2,632,615,315,3,66
2018-12-03,Minnehaha,449,46876,36184,31925,314,14620
2018-12-03,Moody,6,1524,1591,973,8,351
2018-12-03,Oglala Lakota,11,521,5494,1860,51,848
2018-12-03,Pennington,392,35531,16595,19829,249,7636
2018-12-03,Perkins,5,1394,395,342,9,163
2018-12-03,Potter,1,1319,284,146,4,99
2018-12-03,Roberts,10,1988,3073,1322,21,611
2018-12-03,Sanborn,3,840,472,226,3,78
2018-12-03,Spink,5,2159,1346,637,4,316
2018-12-03,Stanley,2,1368,449,279,2,128
2018-12-03,Sully,,756,212,122,1,49
2018-12-03,Todd,3,690,3025,941,10,686
2018-12-03,Tripp,3,2230,913,550,9,288
2018-12-03,Turner,9,3111,1420,1119,13,297
2018-12-03,Union,25,5481,2732,3218,23,1464
2018-12-03,Walworth,8,2435,766,487,7,299
2018-12-03,Yankton,57,6269,4079,3419,20,1135
2018-12-03,Ziebach,5,399,890,317,4,135
