date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-07-31,Aurora,445,2,1025,227,3,99,72
2026-07-31,Beadle,2238,28,5386,1318,45,1205,698
2026-07-31,Bennett,649,7,735,199,2,202,126
2026-07-31,Bon Homme,790,10,2465,462,0,233,251
2026-07-31,Brookings,4838,94,10643,3538,21,2791,1289
2026-07-31,Brown,5718,84,13168,2975,8,1822,2760
2026-07-31,Brule,800,13,1830,422,2,217,185
2026-07-31,Buffalo,523,4,162,85,4,112,54
2026-07-31,Butte,710,53,4734,814,24,661,985
2026-07-31,Campbell,91,2,896,63,0,46,77
2026-07-31,Charles Mix,1677,7,2833,571,0,380,289
2026-07-31,Clark,449,4,1780,241,0,178,149
2026-07-31,Clay,2661,37,3137,1381,19,1087,1065
2026-07-31,Codington,3494,57,10835,2484,23,2169,1600
2026-07-31,Corson,914,4,761,269,3,299,206
2026-07-31,Custer,978,40,5339,1087,26,674,706
2026-07-31,Davison,2609,35,7206,1864,34,1531,727
2026-07-31,Day,1119,10,2072,539,3,182,164
2026-07-31,Deuel,521,8,1871,467,1,307,69
2026-07-31,Dewey,1747,5,822,424,3,447,165
2026-07-31,Douglas,177,2,1695,120,0,95,91
2026-07-31,Edmunds,424,5,1859,231,2,176,132
2026-07-31,Fall River,756,31,3989,774,3,642,898
2026-07-31,Faulk,147,0,1161,194,0,37,84
2026-07-31,Grant,923,19,2798,646,8,388,293
2026-07-31,Gregory,534,4,1935,303,0,99,154
2026-07-31,Haakon,102,3,1159,84,4,34,53
2026-07-31,Hamlin,499,8,3129,363,1,293,209
2026-07-31,Hand,326,10,1675,178,3,58,57
2026-07-31,Hanson,483,4,1837,421,9,343,484
2026-07-31,Harding,54,4,832,69,3,48,32
2026-07-31,Hughes,1893,48,7555,1255,16,1009,964
2026-07-31,Hutchinson,648,15,3498,501,5,320,170
2026-07-31,Hyde,133,3,661,95,0,33,48
2026-07-31,Jackson,552,8,934,164,1,175,113
2026-07-31,Jerauld,298,7,789,129,2,85,33
2026-07-31,Jones,52,1,508,51,0,27,61
2026-07-31,Kingsbury,560,8,2363,354,3,332,244
2026-07-31,Lake,1687,26,4481,910,6,609,1480
2026-07-31,Lawrence,3728,161,12840,3276,53,2933,1928
2026-07-31,Lincoln,9803,208,27420,7754,93,5532,3996
2026-07-31,Lyman,613,4,1191,219,1,190,52
2026-07-31,Marshall,846,2,1404,357,3,185,131
2026-07-31,McCook,709,11,2481,471,3,277,169
2026-07-31,McPherson,162,7,1334,108,1,66,64
2026-07-31,Meade,2546,141,13314,2729,27,2105,1459
2026-07-31,Mellette,396,0,507,214,0,71,65
2026-07-31,Miner,381,4,878,217,1,108,61
2026-07-31,Minnehaha,34122,681,61728,21937,219,19020,13574
2026-07-31,Moody,1218,15,2087,682,4,420,111
2026-07-31,Oglala Lakota,5043,17,593,932,1,1223,762
2026-07-31,Pennington,16541,626,47043,12629,228,11530,11395
2026-07-31,Perkins,228,5,1606,176,4,138,170
2026-07-31,Potter,159,0,1373,110,5,53,90
2026-07-31,Roberts,2193,9,2349,896,14,657,431
2026-07-31,Sanborn,333,7,1016,162,1,108,71
2026-07-31,Spink,852,12,2636,429,4,248,193
2026-07-31,Stanley,299,8,1640,187,0,127,169
2026-07-31,Sully,133,4,872,102,0,42,63
2026-07-31,Todd,2604,7,656,611,3,539,376
2026-07-31,Tripp,499,4,2504,314,4,178,171
2026-07-31,Turner,1032,18,3823,850,2,373,204
2026-07-31,Union,2128,50,6826,2095,12,1476,1456
2026-07-31,Walworth,523,10,2445,315,9,290,372
2026-07-31,Yankton,3093,57,7855,2375,22,1299,1288
2026-07-31,Ziebach,706,4,441,178,1,271,82
