date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-03-01,Aurora,806,1,816,,252,3,92
2017-03-01,Beadle,4417,20,3562,5,2082,42,1001
2017-03-01,Bennett,689,1,890,,324,2,200
2017-03-01,Bon Homme,1970,11,1388,2,634,1,204
2017-03-01,Brookings,7581,78,5455,24,5297,21,2491
2017-03-01,Brown,10145,63,8945,7,4289,37,2392
2017-03-01,Brule,1468,11,1314,5,562,2,201
2017-03-01,Buffalo,170,,662,,107,2,49
2017-03-01,Butte,4119,34,1164,8,1418,6,487
2017-03-01,Campbell,913,,143,,90,,98
2017-03-01,Charles Mix,2219,4,2434,2,791,,438
2017-03-01,Clark,1386,2,787,2,376,2,176
2017-03-01,Clay,2502,35,3094,3,2142,7,1156
2017-03-01,Codington,7663,32,5255,15,3818,31,1569
2017-03-01,Corson,678,7,1263,2,416,7,206
2017-03-01,Custer,3726,14,1227,11,1413,24,545
2017-03-01,Davison,5454,20,3636,2,2435,23,1093
2017-03-01,Day,1519,9,1944,2,665,12,194
2017-03-01,Deuel,1277,8,900,7,697,1,211
2017-03-01,Dewey,710,3,2100,1,554,4,150
2017-03-01,Douglas,1570,2,340,,198,,137
2017-03-01,Edmunds,1511,8,862,,424,6,172
2017-03-01,Fall River,2870,14,1031,2,1203,29,631
2017-03-01,Faulk,840,1,421,1,280,,87
2017-03-01,Grant,2341,9,1536,2,974,12,459
2017-03-01,Gregory,1525,4,969,2,321,,149
2017-03-01,Haakon,1051,1,206,,123,1,46
2017-03-01,Hamlin,2425,1,812,3,608,1,219
2017-03-01,Hand,1473,3,686,1,278,1,149
2017-03-01,Hanson,1729,3,892,2,783,2,481
2017-03-01,Harding,778,3,110,,78,,54
2017-03-01,Hughes,6889,35,2416,5,1812,15,923
2017-03-01,Hutchinson,3177,4,1055,7,616,4,282
2017-03-01,Hyde,666,2,228,1,105,4,41
2017-03-01,Jackson,860,4,719,1,289,18,76
2017-03-01,Jerauld,607,1,480,3,183,,77
2017-03-01,Jones,523,1,102,,82,,36
2017-03-01,Kingsbury,1825,5,1044,1,610,2,199
2017-03-01,Lake,4687,34,3162,5,2296,6,521
2017-03-01,Lawrence,9103,90,4013,11,3933,18,1955
2017-03-01,Lincoln,17485,83,8918,29,8725,25,2395
2017-03-01,Lyman,1131,4,873,1,272,2,149
2017-03-01,Marshall,1072,9,1240,,487,1,244
2017-03-01,McCook,1815,14,1154,6,675,,230
2017-03-01,McPherson,1319,2,292,,233,,71
2017-03-01,Meade,9608,77,3231,33,3604,6,1838
2017-03-01,Mellette,499,1,518,1,143,,82
2017-03-01,Miner,587,2,667,2,292,1,108
2017-03-01,Minnehaha,47368,404,38494,135,29781,163,11173
2017-03-01,Moody,1532,7,1713,2,944,3,301
2017-03-01,Oglala Lakota,566,11,5740,1,1775,65,604
2017-03-01,Pennington,35095,346,17518,93,18760,145,6133
2017-03-01,Perkins,1414,6,442,3,332,3,167
2017-03-01,Potter,1378,1,315,2,172,2,50
2017-03-01,Roberts,1899,10,3345,4,1287,18,497
2017-03-01,Sanborn,844,3,532,1,221,3,65
2017-03-01,Spink,2026,5,1553,1,664,6,260
2017-03-01,Stanley,1365,4,505,2,278,,17
2017-03-01,Sully,758,,236,,112,1,22
2017-03-01,Todd,713,6,3154,3,819,10,745
2017-03-01,Tripp,2238,3,1009,7,516,1,274
2017-03-01,Turner,3056,6,1506,3,1050,10,317
2017-03-01,Union,5335,26,2911,8,3045,15,1355
2017-03-01,Walworth,2444,6,823,5,468,1,319
2017-03-01,Yankton,6039,49,4413,8,3209,16,1296
2017-03-01,Ziebach,406,3,892,,289,5,117
