date,county,constitution,democratic,republican,other,npa_ind,inactive
2016-06-01,Aurora,,822,762,6,237,104
2016-06-01,Beadle,4,3575,4334,62,1946,1141
2016-06-01,Bennett,,882,667,3,266,227
2016-06-01,Bon Homme,2,1398,1857,11,579,233
2016-06-01,Brookings,28,5361,7187,70,4790,2747
2016-06-01,Brown,7,8902,9620,91,3826,2655
2016-06-01,Brule,5,1340,1431,12,522,212
2016-06-01,Buffalo,,656,166,2,103,49
2016-06-01,Butte,8,1161,4019,32,1325,525
2016-06-01,Campbell,,146,886,,90,109
2016-06-01,Charles Mix,2,2439,2166,2,741,487
2016-06-01,Clark,2,789,1367,4,338,191
2016-06-01,Clay,3,2986,2387,33,1936,1239
2016-06-01,Codington,18,5283,7280,58,3509,1767
2016-06-01,Corson,2,1260,670,11,385,231
2016-06-01,Custer,13,1187,3533,29,1300,607
2016-06-01,Davison,2,3608,5228,33,2236,1218
2016-06-01,Day,2,1979,1468,19,616,217
2016-06-01,Deuel,7,915,1208,7,668,233
2016-06-01,Dewey,1,2084,691,5,526,169
2016-06-01,Douglas,,344,1554,2,183,160
2016-06-01,Edmunds,,891,1492,13,422,189
2016-06-01,Fall River,1,1023,2732,43,1071,666
2016-06-01,Faulk,1,425,817,1,279,110
2016-06-01,Grant,4,1565,2275,18,916,517
2016-06-01,Gregory,2,990,1479,5,304,166
2016-06-01,Haakon,,214,1028,1,120,49
2016-06-01,Hamlin,3,841,2341,3,578,242
2016-06-01,Hand,1,708,1461,4,258,168
2016-06-01,Hanson,2,896,1671,5,727,493
2016-06-01,Harding,,113,760,3,72,70
2016-06-01,Hughes,3,2386,6693,37,1613,1039
2016-06-01,Hutchinson,5,1049,3111,8,546,302
2016-06-01,Hyde,,233,645,6,93,48
2016-06-01,Jackson,1,697,845,23,268,85
2016-06-01,Jerauld,2,486,598,1,171,81
2016-06-01,Jones,1,106,512,1,66,37
2016-06-01,Kingsbury,2,1068,1776,5,550,226
2016-06-01,Lake,5,3114,4391,37,1967,586
2016-06-01,Lawrence,11,3948,8625,94,3521,2155
2016-06-01,Lincoln,30,8488,16447,86,7657,2678
2016-06-01,Lyman,1,883,1112,6,253,170
2016-06-01,Marshall,,1243,1038,12,435,278
2016-06-01,McCook,5,1168,1764,9,605,267
2016-06-01,McPherson,,298,1322,2,229,84
2016-06-01,Meade,37,3175,8996,72,3182,1994
2016-06-01,Mellette,1,508,488,1,137,89
2016-06-01,Miner,2,685,577,3,267,125
2016-06-01,Minnehaha,142,37729,45582,479,26670,12398
2016-06-01,Moody,1,1681,1461,10,883,326
2016-06-01,Oglala Lakota,1,5663,579,69,1584,620
2016-06-01,Pennington,95,17176,33515,408,16926,6759
2016-06-01,Perkins,3,454,1361,7,298,174
2016-06-01,Potter,2,330,1347,2,160,57
2016-06-01,Roberts,2,3328,1849,25,1193,544
2016-06-01,Sanborn,1,541,810,2,195,84
2016-06-01,Spink,1,1564,1973,10,620,286
2016-06-01,Stanley,1,501,1331,4,255,20
2016-06-01,Sully,,245,744,1,111,27
2016-06-01,Todd,4,3155,701,15,774,768
2016-06-01,Tripp,6,1025,2167,2,500,299
2016-06-01,Turner,2,1508,2966,11,958,428
2016-06-01,Union,7,2877,5019,32,2776,1423
2016-06-01,Walworth,5,829,2403,8,435,357
2016-06-01,Yankton,6,4377,5823,52,2956,1425
2016-06-01,Ziebach,,895,389,6,261,126
