date,county,libertarian,republican,democratic,npa_ind,constitution,other,inactive
2018-11-06,Aurora,1,794,739,267,,4,88
2018-11-06,Beadle,16,4327,3292,2153,5,39,1033
2018-11-06,Bennett,2,686,816,338,,2,211
2018-11-06,Bon Homme,11,2077,1240,607,2,,296
2018-11-06,Brookings,70,7717,5220,5328,27,22,1689
2018-11-06,Brown,62,10406,8234,4295,7,40,2358
2018-11-06,Brule,10,1462,1191,568,5,2,216
2018-11-06,Buffalo,1,169,627,138,,1,77
2018-11-06,Butte,31,3888,972,1302,9,5,954
2018-11-06,Campbell,,908,120,84,,,119
2018-11-06,Charles Mix,3,2375,2414,889,2,,410
2018-11-06,Clark,3,1385,717,375,3,2,196
2018-11-06,Clay,36,2447,2931,2226,3,10,896
2018-11-06,Codington,29,8188,4744,3690,13,25,1679
2018-11-06,Corson,8,651,1195,465,2,7,246
2018-11-06,Custer,23,3894,1151,1430,10,21,802
2018-11-06,Davison,20,5440,3280,2494,3,28,1158
2018-11-06,Day,11,1536,1761,660,2,12,273
2018-11-06,Deuel,9,1347,812,688,7,,276
2018-11-06,Dewey,3,728,2068,585,,7,195
2018-11-06,Douglas,2,1582,316,203,,,146
2018-11-06,Edmunds,8,1494,776,409,,4,179
2018-11-06,Fall River,23,2987,950,1202,4,23,600
2018-11-06,Faulk,,1042,280,248,1,,88
2018-11-06,Grant,9,2315,1416,946,2,11,539
2018-11-06,Gregory,5,1551,913,336,2,,125
2018-11-06,Haakon,2,1064,180,137,1,1,37
2018-11-06,Hamlin,2,2538,728,565,,2,259
2018-11-06,Hand,3,1452,620,255,1,1,124
2018-11-06,Hanson,3,1614,809,743,3,2,557
2018-11-06,Harding,2,774,102,82,,,67
2018-11-06,Hughes,43,6963,2369,1874,4,18,802
2018-11-06,Hutchinson,3,3271,1023,723,7,3,167
2018-11-06,Hyde,,660,206,102,,3,86
2018-11-06,Jackson,6,830,655,302,1,12,145
2018-11-06,Jerauld,3,628,465,193,1,,43
2018-11-06,Jones,1,508,89,90,,,34
2018-11-06,Kingsbury,11,1961,925,585,,1,207
2018-11-06,Lake,35,4545,2759,2301,3,6,1046
2018-11-06,Lawrence,101,9097,3697,3982,11,19,2083
2018-11-06,Lincoln,117,18286,8907,9437,34,33,2979
2018-11-06,Lyman,6,1123,824,281,,1,140
2018-11-06,Marshall,8,1087,1186,508,,1,199
2018-11-06,McCook,11,1826,1052,729,6,,253
2018-11-06,McPherson,8,1257,269,225,,1,116
2018-11-06,Meade,88,9966,3036,3843,31,9,1543
2018-11-06,Mellette,1,484,483,157,1,,132
2018-11-06,Miner,2,622,620,312,2,1,68
2018-11-06,Minnehaha,449,46887,36204,31876,138,170,14675
2018-11-06,Moody,6,1516,1591,957,4,4,353
2018-11-06,Oglala Lakota,11,518,5478,1855,2,50,859
2018-11-06,Pennington,384,35329,16506,19623,94,150,7733
2018-11-06,Perkins,5,1388,394,344,3,5,164
2018-11-06,Potter,1,1318,284,147,2,2,103
2018-11-06,Roberts,9,1974,3073,1320,4,17,627
2018-11-06,Sanborn,3,838,474,227,1,2,78
2018-11-06,Spink,5,2157,1341,635,,4,323
2018-11-06,Stanley,2,1372,449,280,2,,129
2018-11-06,Sully,,756,211,120,,1,51
2018-11-06,Todd,3,685,2990,922,4,6,710
2018-11-06,Tripp,3,2231,914,548,8,1,298
2018-11-06,Turner,8,3095,1417,1110,2,11,306
2018-11-06,Union,24,5443,2730,3177,11,11,1478
2018-11-06,Walworth,8,2435,765,484,4,3,304
2018-11-06,Yankton,57,6214,4078,3378,5,14,1156
2018-11-06,Ziebach,5,394,894,311,,4,138
