date,county,constitution,democratic,republican,other,libertarian,npa_ind,inactive
2016-07-05,Aurora,,827,764,3,1,236,102
2016-07-05,Beadle,4,3567,4339,42,20,1957,1124
2016-07-05,Bennett,,881,675,2,1,271,221
2016-07-05,Bon Homme,2,1398,1870,1,10,579,227
2016-07-05,Brookings,26,5378,7234,17,53,4820,2719
2016-07-05,Brown,7,8909,9671,38,55,3860,2626
2016-07-05,Brule,5,1342,1429,1,11,527,212
2016-07-05,Buffalo,,655,164,2,,102,49
2016-07-05,Butte,8,1157,4040,6,27,1335,522
2016-07-05,Campbell,,146,887,,,89,109
2016-07-05,Charles Mix,2,2436,2169,,2,757,483
2016-07-05,Clark,2,790,1364,2,2,342,187
2016-07-05,Clay,3,3011,2404,7,26,1940,1230
2016-07-05,Codington,15,5286,7354,28,30,3531,1750
2016-07-05,Corson,2,1271,671,4,6,386,227
2016-07-05,Custer,13,1190,3555,20,11,1300,600
2016-07-05,Davison,2,3620,5266,19,16,2246,1205
2016-07-05,Day,2,1975,1473,12,7,619,213
2016-07-05,Deuel,7,914,1210,2,5,669,230
2016-07-05,Dewey,1,2101,694,4,2,533,166
2016-07-05,Douglas,,343,1556,,2,182,158
2016-07-05,Edmunds,,885,1503,6,7,419,189
2016-07-05,Fall River,1,1025,2760,31,13,1091,660
2016-07-05,Faulk,1,430,824,,1,282,110
2016-07-05,Grant,2,1570,2282,9,9,927,503
2016-07-05,Gregory,2,988,1483,,5,300,166
2016-07-05,Haakon,,216,1035,,1,116,48
2016-07-05,Hamlin,3,842,2355,1,2,576,240
2016-07-05,Hand,1,703,1463,1,3,260,167
2016-07-05,Hanson,2,896,1674,2,3,730,492
2016-07-05,Harding,,112,763,,3,72,69
2016-07-05,Hughes,4,2382,6722,11,29,1646,1025
2016-07-05,Hutchinson,5,1049,3119,5,4,551,301
2016-07-05,Hyde,1,232,649,4,2,92,47
2016-07-05,Jackson,1,696,844,19,4,267,85
2016-07-05,Jerauld,2,484,602,,1,171,80
2016-07-05,Jones,1,107,511,,1,67,37
2016-07-05,Kingsbury,2,1069,1781,2,3,551,223
2016-07-05,Lake,5,3142,4433,5,32,2007,584
2016-07-05,Lawrence,11,3971,8700,18,76,3533,2122
2016-07-05,Lincoln,29,8550,16536,16,71,7772,2659
2016-07-05,Lyman,1,873,1118,2,4,256,166
2016-07-05,Marshall,,1244,1040,4,7,443,272
2016-07-05,McCook,5,1172,1769,,9,611,265
2016-07-05,McPherson,,299,1325,,2,230,84
2016-07-05,Meade,35,3180,9098,8,64,3196,1982
2016-07-05,Mellette,1,512,489,,1,136,87
2016-07-05,Miner,2,684,581,,3,266,124
2016-07-05,Minnehaha,142,37855,45637,139,340,26842,12306
2016-07-05,Moody,1,1696,1475,3,6,880,323
2016-07-05,Oglala Lakota,1,5648,573,62,7,1601,620
2016-07-05,Pennington,91,17281,33810,115,296,17112,6690
2016-07-05,Perkins,3,455,1378,3,4,295,173
2016-07-05,Potter,2,328,1357,2,,161,57
2016-07-05,Roberts,4,3343,1860,19,8,1207,540
2016-07-05,Sanborn,1,540,809,1,1,196,82
2016-07-05,Spink,,1566,1984,6,4,626,282
2016-07-05,Stanley,1,502,1339,,4,256,20
2016-07-05,Sully,,241,748,1,,112,27
2016-07-05,Todd,4,3149,703,10,5,773,763
2016-07-05,Tripp,6,1024,2174,1,1,502,294
2016-07-05,Turner,2,1506,2968,8,5,971,426
2016-07-05,Union,7,2873,5053,13,21,2799,1418
2016-07-05,Walworth,5,825,2411,1,6,435,354
2016-07-05,Yankton,8,4383,5835,14,39,2993,1408
2016-07-05,Ziebach,,900,392,5,1,266,122
