date,county,republican,democratic,libertarian,other
1992-10-19,Aurora,843,1294,0,95
1992-10-19,Beadle,4661,6166,7,1229
1992-10-19,Bennett,810,1099,0,108
1992-10-19,Bon Homme,2405,2167,1,237
1992-10-19,Brookings,7618,5680,11,2624
1992-10-19,Brown,9409,11407,5,2045
1992-10-19,Brule,1239,2011,0,198
1992-10-19,Buffalo,220,759,0,37
1992-10-19,Butte,3151,1269,11,288
1992-10-19,Campbell,1233,209,0,27
1992-10-19,Charles Mix,2001,3463,1,281
1992-10-19,Clark,1657,1140,0,140
1992-10-19,Clay,3176,3692,3,1157
1992-10-19,Codington,5766,6293,10,1884
1992-10-19,Corson,920,1110,0,141
1992-10-19,Custer,2407,1336,8,607
1992-10-19,Davison,4621,4917,3,1105
1992-10-19,Day,1921,2661,0,279
1992-10-19,Deuel,1402,1363,0,327
1992-10-19,Dewey,1051,1837,0,224
1992-10-19,Douglas,1896,588,0,79
1992-10-19,Edmunds,1488,1404,0,175
1992-10-19,Fall River,2752,1921,0,577
1992-10-19,Faulk,961,805,0,52
1992-10-19,Grant,2461,2270,0,479
1992-10-19,Gregory,1654,1741,0,134
1992-10-19,Haakon,1101,445,0,58
1992-10-19,Hamlin,1971,1242,0,229
1992-10-19,Hand,1630,1357,0,174
1992-10-19,Hanson,744,972,0,316
1992-10-19,Harding,760,295,0,54
1992-10-19,Hughes,6211,3152,0,950
1992-10-19,Hutchinson,4129,1436,1,193
1992-10-19,Hyde,618,519,0,74
1992-10-19,Jackson,981,642,2,100
1992-10-19,Jerauld,891,767,1,111
1992-10-19,Jones,666,260,1,34
1992-10-19,Kingsbury,2365,1376,0,245
1992-10-19,Lake,3450,3065,1,462
1992-10-19,Lawrence,7097,4481,38,1390
1992-10-19,Lincoln,5109,3911,1,1024
1992-10-19,Lyman,1161,748,2,68
1992-10-19,Marshall,1259,1668,0,119
1992-10-19,McCook,1822,1689,2,309
1992-10-19,McPherson,1834,453,0,83
1992-10-19,Meade,7759,4596,16,1577
1992-10-19,Mellette,616,562,0,59
1992-10-19,Miner,754,1174,0,165
1992-10-19,Minnehaha,37173,37041,72,7726
1992-10-19,Moody,1543,2039,0,408
1992-10-19,Pennington,27582,18340,139,6921
1992-10-19,Perkins,1605,1030,2,164
1992-10-19,Potter,1539,643,0,80
1992-10-19,Roberts,1952,3258,0,466
1992-10-19,Sanborn,1095,902,1,115
1992-10-19,Shannon,680,3142,0,582
1992-10-19,Spink,2126,2577,3,441
1992-10-19,Stanley,979,738,0,166
1992-10-19,Sully,716,509,0,46
1992-10-19,Todd,727,2301,0,383
1992-10-19,Tripp,2432,1743,0,260
1992-10-19,Turner,3550,1941,0,392
1992-10-19,Union,2480,3318,0,718
1992-10-19,Walworth,2532,1168,0,254
1992-10-19,Yankton,5452,5211,4,1175
1992-10-19,Ziebach,471,622,0,106
